G	c	dx1dt	d2x1dt2	dx2dt	m1	d1	W	Fg	Fc	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	2.298392714286825012e+00	4.539877103092379684e+00	4.837189551505586271e-01	4.209078879199337209e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	1.977430232259847820e+00	5.257968064005016373e+00	2.189923499232077353e-01	1.786264052289780357e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	8.337906273900962395e-01	8.685525872437979800e+00	6.025511309623027278e-01	9.462453300507300824e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	5.553973844199749266e+00	4.042305032873931836e+00	1.614316556321902241e-01	1.386413772546830181e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	5.246639952298068010e+00	8.835122024870853963e+00	3.475624553363593772e-01	1.431936706858046637e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	4.976086558836796847e+00	1.787722215460613606e+00	6.230656910074248295e-02	8.852598294746305996e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	4.311040908293868767e+00	7.988923319095138531e+00	2.405824345394659280e-01	3.544966657876401861e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	4.756357321214281231e-01	8.619946899114850680e+00	1.799760030930682708e+00	7.396019805232515232e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	1.983370114342440926e+00	2.641691065202905531e+00	2.297954697661550028e-01	7.625102848734455208e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	1.939002967255215371e+00	4.873905667023544552e+00	1.229525156699300181e+00	5.385503659828769329e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	9.050013828871868782e+00	2.484964380966560693e+00	2.801924788715106640e-01	5.783470674983784976e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	4.532014761450971818e+00	1.585918670971317113e+00	7.357285317592912932e+00	4.146667768811006516e-01	2.447001866473854925e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	7.285646265236402463e+00	1.035621177481343302e+00	5.827336707800848004e+00	3.264136804369646705e-01	8.834266249544279859e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	2.737138973480741200e+00	3.049427694618664919e+00	6.717509796532821653e+00	2.374810015751524173e+00	3.747124798765031350e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	6.772999369976015593e+00	1.945959365492086590e+00	2.767385677027430990e+00	1.145749482393250140e-01	4.582160014071649634e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	3.336969344863224052e+00	2.396954912619318367e+00	2.900548171339344172e+00	1.533688091056603919e-01	2.360783775087078151e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	8.964128413732796119e+00	1.690460503752350796e+00	1.363081916021086526e+00	1.379979662811126884e-01	6.486487307564800631e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	9.059518784780649980e+00	1.027525918898423374e+00	3.897729818965346205e+00	2.737473934748746451e-01	1.354139949229170270e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	3.680383939834062534e+00	8.775167833542283358e-01	6.039487620044583061e+00	8.096228676245365019e-01	1.415902263139413864e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	3.072888353071217438e+00	5.247296618319470696e+00	8.727446748739231097e+00	1.659989678200110452e+00	3.727635172524719565e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.505399196849892540e+00	7.284520605866596554e+00	9.669089179732344164e+00	3.576209901550470693e+00	4.705107863771348597e+00	1.516363066672592463e+00	6.990011372377046506e+00	5.381654917800903215e-01	1.284077678436516123e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.253242561337372329e+00	3.668597595783949394e+00	6.043533249188643985e+00	4.890977974818873086e+00	3.162738892145307013e+00	3.094294964448444318e+00	4.912394428579615280e+00	5.464939213277280050e-01	9.930907344350794475e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626407571668317065e+00	9.318476576044735893e+00	9.420681499173436890e+00	7.169287551943595460e+00	7.047880862536102242e+00	2.032060854346517065e+00	9.574894979609986478e+00	2.862939139347114303e-01	9.528384954503131610e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.298853066658552713e+00	9.733725890825573046e+00	1.457152292835720786e+00	3.992785051634235138e+00	8.441495729520559266e+00	9.495247622649632957e-01	7.473187713436773016e+00	3.852858808759187514e-01	2.182530441114810260e-01
