G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	Fg	Fc	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.044044947708267834e+00	3.500812690073312972e+00	3.660221555041661023e+00	6.845367831226997879e+00	-5.505063710518103726e+00	6.628539872287856127e+00	5.024245462100432214e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.891946478907930995e+00	5.612661271680080333e+00	2.860819438272832915e+00	7.234385275968090667e+00	-5.352547336502943232e+00	8.810074300250535728e+00	6.822327443688104509e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.845665836991143394e+00	8.847757012879812422e+00	9.027505063213434156e+00	3.972670543799747822e+00	-1.018703873154179895e+01	7.393262578776155003e+00	6.328277604428311776e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.543506028776565842e+00	8.028556404009874470e+00	3.586460358348809940e+00	6.322058735866860957e+00	-5.445956120520949462e+00	2.299272801370321861e+00	1.432332951603224380e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.884174763705523725e+00	8.550099487394598796e+00	3.056159205248085708e+00	6.679102432370832787e+00	-6.993705238608249886e+00	3.014200374018944029e+00	1.452933534617532274e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.981375525694326178e+00	7.346572047996087207e+00	8.324056186200873952e+00	8.229098783959704733e+00	-6.044480008119496262e+00	2.744327155515554395e+00	1.632833331691988743e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.739592117009637340e+00	7.731411750747779976e+00	5.135001997026148679e+00	8.507918833275285309e+00	-4.636458405699936058e+00	4.865113601058313364e+00	1.951657146890015682e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.971941373821042731e+00	7.671370094771461368e+00	8.201111303570186806e+00	1.745766198378484901e+00	5.947178848288185549e+00	4.356626063482435640e+00	4.441094080678644751e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.916964566423042804e+00	2.460188404193319300e+00	2.383692263092755947e+00	7.114197849733863599e+00	-6.191125314657227818e+00	6.651433826752843004e+00	6.087750776289614585e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.762274814739684281e+00	6.056364593874497437e+00	5.585024544689163761e+00	2.487977026678890979e+00	1.115973317763940997e+01	1.492739247769388822e+00	1.428029429502355674e+00	0.000000000000000000e+00	0.000000000000000000e+00
