G	c	dx1dt	d2x1dt2	dx2dt	Fc	Fg	d2	d1	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	3.084200419890445133e+01	-7.441712503329815931e-01	6.145140650786507841e+00	4.547856830343945944e+00	-1.878813819692020104e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	7.802256999911284652e+01	-1.306376849288496678e-01	8.245959210392964422e+00	5.259864256330250676e+00	-2.248206902713097421e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	2.464710770828284936e+01	-3.111771250927450327e-01	7.836086323422342126e+00	8.686686634731104917e+00	-3.192783156645758957e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	4.229424088443904139e+01	-1.590296820153943580e-01	2.367491524495710209e+00	4.059414064345844508e+00	-8.806298843293999257e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	1.478135477241138851e+01	-5.937265345767739344e-01	2.351460920070128857e+00	8.824981947965222062e+00	-7.735854692706159774e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	2.041573634983371832e+01	-1.611702956544190268e+00	3.408120888573418217e+00	1.803924086139575111e+00	-6.641092885397057444e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	1.398348231971098521e+01	-2.669066489719336133e+00	4.247426109365330049e+00	7.984462425424242227e+00	-2.530833552599747449e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	9.714781463225520497e+00	-2.363876534187492606e-01	4.668175508171026777e+00	8.628668244926700481e+00	-3.479131775140815730e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	4.527259335587169886e+01	-1.824421166777858150e-01	7.122569003946172650e+00	2.636258274058211892e+00	-1.357253003852026407e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.085639354443136817e+01	-3.151754159859315174e-01	1.510905139947840814e+00	4.872474655911181785e+00	-5.411534855405670363e+00
