G c dx1dt d2x1dt2 dx2dt d2 d1 m1 W Fg Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 5.44038250e+00 6.14796290e+00 6.30890586e+00 7.06239658e+01 7.06239658e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 7.31519683e+00 8.24889096e+00 5.97260986e+00 1.45826045e+02 1.45826045e+02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.82534519e+00 7.84144837e+00 2.88044673e+01 -1.35062965e+01 5.00955356e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 5.58693151e+00 2.38509914e+00 2.44624163e+00 1.45444875e+02 1.45444875e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 3.58943889e+00 2.34324523e+00 3.87100900e+00 1.46555673e+02 1.46555673e+02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 4.96151013e+00 3.41356931e+00 3.59941241e+00 2.50739911e+02 2.50739911e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 3.14278653e+00 4.24967254e+00 6.92073397e+00 1.90730811e+02 1.90730811e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.83278241e-01 4.67610023e+00 -2.36964051e+01 -2.79454527e+01 -2.79454527e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 5.96381725e+00 7.11727495e+00 6.65814894e+00 7.47698007e+01 7.47698007e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.26760843e+00 1.51012389e+00 -1.30996512e+01 -1.52083269e+01 -1.52083269e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 9.28400735e-01 1.31205434e+00 8.52268930e+00 1.48474992e+01 1.48474992e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 3.21983600e+00 4.52719507e+00 1.27043232e+01 -4.06259209e+01 1.09196403e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 3.31810237e+00 7.27447323e+00 1.87291095e+01 -1.52826574e+01 7.79279876e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74187836e+00 2.74091809e+00 7.67272422e+00 1.01083716e+01 1.01083716e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 4.09141573e+00 6.77354033e+00 9.50666039e+00 1.58585589e+02 1.58585589e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 2.49494726e+00 3.33845324e+00 1.06874806e+01 6.23924524e+01 6.23924524e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 5.56274373e+00 8.97477498e+00 8.76065703e+00 8.36062207e+01 8.36062207e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 3.82982523e+00 9.06120950e+00 1.66313821e+01 4.16472983e+01 4.16472983e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 1.28470779e+00 3.67558484e+00 -4.80334418e+01 -9.83510639e+00 -9.83510639e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 5.82967396e+00 3.06994379e+00 2.80232327e+00 4.75160639e+01 4.75160639e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 3.02287721e+00 4.70173575e+00 1.41378606e+01 7.00569881e+00 2.44865078e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 2.72464174e+00 3.16478427e+00 7.85606082e+00 3.77327009e+01 3.77327009e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 5.19368530e+00 7.05145459e+00 7.53208549e+00 2.59165734e+02 2.59165734e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 3.06311611e+00 8.43458216e+00 2.20724118e+01 5.49969939e+01 5.49969939e+01
