G	c	dx1dt	d2x1dt2	dx2dt	d2	d1	m1	W	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	7.061364269700170837e+00	5.434632721594425675e+00	6.147171189268908265e+00	6.323637349958361575e+00	7.067922901746257480e+01	7.069329099575288922e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	8.175331062402117155e+00	7.316968257390473518e+00	8.250783216010281862e+00	5.985949941639560734e+00	1.457981554776760333e+02	1.458665138429826982e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	3.244498455833112693e+00	2.826984063755867638e+00	7.836066770122211977e+00	2.880306143535105790e+01	-1.343256646894125872e+01	5.027321490325824271e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	6.629730371681221257e+00	5.583182798978827854e+00	2.384297388754851088e+00	2.433258964247446698e+00	1.455420947551907602e+02	1.454487414337404800e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	6.135761258457383960e+00	3.593902632606951641e+00	2.342160946640210017e+00	3.853940016178804218e+00	1.465038621062159052e+02	1.466065049975548220e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	8.500335236255562421e+00	4.964717965777722952e+00	3.414576053223223884e+00	3.594939156677980918e+00	2.508036384386996360e+02	2.506121479469602775e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	9.152792584280366128e+00	3.146672303725499997e+00	4.251485068991349259e+00	6.919291008341339477e+00	1.906701203936039519e+02	1.906581674292663706e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	1.113214016580328813e+00	9.833135127862646652e-01	4.679149586395445759e+00	-2.368693007505807202e+01	-2.776605337324010137e+01	-2.805119322966480055e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	7.058966226851910442e+00	5.958180567603871047e+00	7.118569377168422641e+00	6.664470882018992626e+00	7.471413139097188605e+01	7.488199092864074657e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	1.472862160087173855e+00	1.271502362679260756e+00	1.503529037988676320e+00	-1.309799455943799273e+01	-1.512589526503972870e+01	-1.543309595154100933e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	5.931797531704026127e+00	9.273241035660687581e-01	1.306942558566245971e+00	8.516206802124543174e+00	1.491528581215413851e+01	1.481207298264236627e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	3.585075962609598044e+00	3.214301831100488283e+00	4.524218816162919765e+00	1.269732394389545682e+01	-4.060052770744411532e+01	1.089327861502750778e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	3.755586339065330126e+00	3.323486253376619182e+00	7.272935880199651315e+00	1.873096081412279190e+01	-1.533652607327339190e+01	7.785478687417514720e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	4.167129927480702989e+00	2.750238297983194080e+00	2.746641602818129080e+00	7.677802219710707199e+00	1.009620894963373239e+01	1.006514010383766689e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	6.592143753211830770e+00	4.091251478039948708e+00	6.767205861924116661e+00	9.509515235623526408e+00	1.584125786091750854e+02	1.587075366065879791e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	4.016226728454690864e+00	2.503544980439891710e+00	3.336506418852827061e+00	1.067994357860692212e+01	6.241048138071180773e+01	6.242737827007609042e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	7.608728419204352278e+00	5.563107349478681130e+00	8.979965973087940867e+00	8.765397128114880587e+00	8.363430735440527997e+01	8.353285674925083981e+01
