G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	Fc	m1	d2	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	4.614497483093424002e+00	-3.642479238192941615e-01	6.853816795229035641e+00	1.817132005189056940e+02	-3.954364039824282556e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	5.252738073087538595e+00	-1.303069286982426300e+00	2.553362765493986775e+00	3.236787302172588454e+01	-3.428758644656504373e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	8.634155261917655366e+00	-1.515599086646668425e-01	8.835031101951654975e+00	-3.357931294737592793e+02	4.143769365858025050e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	3.972883584954926217e+00	-1.734499269036513525e+00	6.581833220390882033e+00	3.283644376302461865e+01	-1.166479476342716426e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	8.784484812273202436e+00	-3.068574038141617777e+00	2.365673012028348676e+00	-1.240737726032219967e+01	1.954236263812657137e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	1.770709064782641118e+00	-1.034905478415416580e+00	9.675996588939504761e+00	-1.491526491630471440e+01	5.357404383123825831e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	8.036172561896428590e+00	1.946026254572511549e+00	5.744419700694392894e+00	-1.139853782188932207e+01	-5.345109988893237407e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	8.566436887126297250e+00	-5.246610404873564004e-01	1.617647404199118455e+00	8.429267567294625962e+01	-8.620597777481356361e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	2.721600511460393168e+00	-1.174800978150928321e+00	6.625346197016385830e+00	6.313884850732798526e+01	-2.017149572593096574e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	4.799760207455497252e+00	-8.536243203966566995e-01	3.406369558110339035e+00	1.882658974079743786e+01	-8.193962959361147380e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	2.617407503099896893e+00	4.002465259104824313e-01	8.259046898165847139e+00	-1.082065276198122490e+02	-3.762007471450615897e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	7.454102220904407439e+00	-4.495689964465023891e-01	8.332862633165413868e+00	4.430700169202606276e+01	-1.301872577417329813e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	5.825874545109051894e+00	2.556161528475878186e-01	9.854187217589837289e+00	-9.103548490196913008e+02	-2.564111935507629170e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	6.627514680200069286e+00	1.410288660944076788e+00	5.485922743135969171e+00	6.606195237724173808e+01	2.682850286432658660e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	2.765342035973179069e+00	5.278841729737549393e+00	5.009483943528544536e+00	-2.980109388991753860e+01	-5.402909169010516877e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	2.884489967173598401e+00	8.069187045189807339e-02	7.855934023293728252e+00	-3.405537773285706038e+01	-8.567104559828070398e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	1.303566234095762111e+00	-1.529447457174712088e+00	2.132231917687144485e+00	-1.893358586222532836e+02	7.348336300154426071e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	3.914573133139815919e+00	3.508228978817757859e+00	6.055607382084445156e+00	-9.041657168425517455e+01	-2.082923972642460431e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	5.992515402022251081e+00	-3.094283544292630861e-01	5.889609797491097254e+00	2.810848772805250206e+01	-7.421746181741029069e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	8.682193205521910429e+00	8.354235674947347867e-01	1.921303005968998834e+00	-6.570091964063864864e+00	-1.763997033502526790e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	6.991172852665747506e+00	-6.197701428240512955e-01	4.687404081060385863e+00	-4.733087542561069938e+01	6.207090723018181544e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	3.126998903098987537e+00	4.887026374506557858e+00	1.440038563074820255e+00	8.735347780427858311e+00	-1.620889160780660987e+01	-4.610134680207111479e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626293109120901637e+00	9.194962663206332820e+00	9.456845314513040890e+00	7.196639915186946901e+00	7.039383968785225321e+00	9.692092451063848202e+00	-1.174278850086756254e+00	8.732566607621135901e+00	-3.892692693640564983e+01	2.505299283645529673e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.316908599076862529e+00	9.659241458861918872e+00	1.448599150411121972e+00	3.904988658252869893e+00	8.528858761864260174e+00	7.443816538790357207e+00	1.664884262765295164e-01	1.938710527887715918e+00	2.547516651527430298e+01	1.349569923745866720e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.063379489064411487e+00	9.492426529078166197e+00	4.818652948808580305e+00	1.507227804877244282e+00	7.021535228345361368e+00	9.395674357646040420e+00	-2.894037702646258259e-01	1.869146241270722042e+00	1.953653140983554124e+02	-9.648207295123546051e-03
1.000000000000000000e+00	1.000000000000000000e+00	7.941602393384615155e+00	5.354233508835794630e+00	3.304460048783061321e+00	4.386182707130630298e+00	8.509533638651605614e+00	5.756275386449063447e+00	2.958355729465877992e+00	3.337183051521798838e+00	4.822986580900125375e+01	6.855584226685076388e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.802412702662744337e+00	8.770947792968179613e+00	7.674095386004435859e+00	9.468095257012805632e+00	4.619165158059432841e+00	3.349490983728385274e+00	-1.676896491153750501e+00	8.801696340295871224e+00	-2.420480772946258696e+01	4.743269890499976604e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.585474039082747311e+00	8.525755900131828824e+00	9.826998578088527836e+00	6.695498936809621604e+00	2.428437445623373492e+00	1.498980743908860935e+00	5.098772581489960931e-01	2.157353457715916356e+00	-8.041585418960224274e+00	-1.556210922887555359e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.289307183167157866e+00	3.805304017903934355e+00	3.223757794222930073e+00	7.058386359690315359e+00	7.682308238409489398e+00	7.583116741154514173e+00	-3.286598215087723623e-02	7.492103574350167605e+00	1.187325233531325210e+02	-8.323900563346312703e-03
1.000000000000000000e+00	1.000000000000000000e+00	1.398857313029454819e+00	8.553310292791671543e+00	6.821605151950111079e+00	6.810242262565770588e+00	4.245014366895050628e+00	2.106344692384166439e+00	1.216383258008501445e+00	1.884823272774234892e+00	-2.552058593689229493e+00	-7.611803454698706339e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.460668716467147910e+00	1.298514013747442020e+00	2.785288539545682784e+00	2.769980347858616465e+00	7.111487909165332688e+00	3.737314339025392229e+00	-2.273203091272575804e+00	6.623339004118600215e+00	8.116618526795305399e+01	-5.124150722862600427e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.534225521119531255e+00	6.313970388958453306e+00	6.095692954240464978e+00	4.849953696543382264e+00	3.466678599561074936e+00	5.795446327470331838e+00	-1.470580515188365744e+00	4.222536592247860376e+00	-1.102752828484765146e+01	3.655747072594190072e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.537620075319058754e+00	3.152268076503506933e+00	5.284149958578438167e+00	7.717733971760955214e+00	1.640393221034867288e+00	6.072155436911182314e+00	9.283075669254804430e-01	8.050722237429736694e+00	-5.920104406653281082e+00	-6.281527174596815755e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.528051419852975101e+00	2.141350871168699044e+00	9.690705655383867523e+00	1.924024374445828967e+00	9.949372848392002311e+00	6.355225893304736751e+00	2.042112595440556788e+01	3.124699607023476489e+00	-1.412891424417283815e+03	-4.364611508249049976e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.595571117108478987e+00	1.763456732257852044e+00	6.478924415133602288e+00	3.542440391122513077e+00	2.448516178673181720e+00	2.492958621006573949e+00	4.971392945365271654e-02	6.738280714970644958e+00	4.865346574064960095e+01	4.858600633751499615e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.292410525265974997e+00	7.213746670544121109e+00	4.087059791613946835e+00	3.486416516673553012e+00	9.880047204183439291e+00	4.430873003459756987e+00	1.448119224105630654e+00	3.083065392112541492e+00	6.328755366959162387e+01	3.010062707958264250e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.586933469312489464e+00	3.974030667892171298e+00	1.999659375735388656e+00	4.872052801537440025e+00	9.802396481611346246e+00	6.576811513089020345e+00	-3.908071788698940008e+00	7.465774021778215364e+00	1.573994602679591708e+02	-3.673323260397654000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.863380932380713562e+00	7.530309199205354354e+00	2.454204527446957496e+00	9.862626678830451965e+00	8.110980884310041716e+00	9.738260527884715856e+00	6.877710551466998945e-01	8.820835700934036794e+00	-2.812637047177003069e+02	-5.140860448562291352e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.207846434737638752e+00	1.606850658730010206e+00	2.965107843491573636e+00	1.709914486477381645e+00	6.859768108214340465e+00	7.535899907705243095e+00	3.178037949571982068e+01	2.116374479817038523e+00	2.557653400065755633e+01	8.009111280684470202e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.904037648854678189e+00	3.857896406194538663e+00	3.291114387019525189e+00	5.684580848723876478e+00	6.115815229538507758e+00	9.300302303537026916e+00	1.696305280466362309e+00	8.803280607416555270e+00	1.585780327179301992e+02	3.061954105277953087e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.137119526247408974e+00	5.937655304558897562e+00	8.677239495220067766e+00	2.586345865200259109e+00	8.711190617508977496e+00	7.829534475064725108e+00	2.890305862046407270e-01	6.416936812541312207e+00	-1.835396085458894433e+01	-8.873168208243965571e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.519144015361992395e+00	8.020056316501801064e+00	6.049670428065465622e+00	9.725816945821470938e+00	3.641398208570866490e+00	6.342636753210937783e+00	1.680920005755391466e+00	2.154481448842391789e+00	-7.095575871044093219e+01	-3.059070245109442032e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.130462923824214538e+00	3.916598704648389884e+00	5.739199680277715210e+00	2.156132774594426316e+00	5.073486562704063729e+00	2.716078826495492482e+00	1.339880786767409404e+00	4.876614420693323737e+00	-7.676984636713785726e+00	-4.939111380872156509e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.175691391977501610e+00	6.572015430839289074e+00	1.968867566774347377e+00	4.639712048689021096e+00	6.538206905593613172e+00	7.010076768806194458e+00	-2.126982102128331664e-01	2.431551542184433146e+00	2.038433644297445824e+01	-5.039252908374158152e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.173374086534321847e+00	9.021405618677043492e+00	8.832713597176354625e+00	7.608787014889280442e+00	4.659009544434233874e+00	6.665321950434978326e+00	-1.431692981021120747e+00	7.298861337461580057e+00	-2.205494317257696224e+01	4.333404031406186796e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.956302753685339901e+00	6.516346108799174530e+00	7.611611990827480412e+00	7.279003024753580853e+00	4.832009007071106588e+00	6.383305820514888040e+00	1.974686143419619899e+00	7.827154396244699441e+00	-4.881750963573053923e+02	-2.393702996237715708e-01
