G c dx1dt d2x1dt2 dx2dt d2x2dt2 Fg m1 Fc d1 d2 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 5.98177270e-01 2.57495012e+01 4.54271968e+00 8.29723617e+00 1.93706749e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 3.16950972e-01 9.49523495e+01 5.26092093e+00 1.50712291e+01 6.13333447e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 9.52681254e-01 5.52741311e+02 8.69092654e+00 8.53663542e+01 3.30335463e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 1.69104901e-01 3.52002452e+01 4.06003947e+00 1.25149002e+01 2.46683624e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 4.75775299e-01 2.92835714e+01 8.82684716e+00 5.38587225e+00 1.86388629e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 5.01437538e-01 5.03185333e+01 1.79320988e+00 8.83484451e+00 1.84894424e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 9.14532865e-01 3.89950101e+01 7.99118593e+00 3.34588975e+00 1.75151175e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 1.43763248e+00 9.02571539e+02 8.62792870e+00 2.53246266e+02 1.69077248e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 4.71400392e-01 3.13529766e+01 2.63635888e+00 5.73793965e+00 7.66693447e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.19007105e-01 1.01008213e+02 4.87311879e+00 1.08292660e+02 6.36620503e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 5.59104164e-01 2.50414322e+00 2.48949797e+00 1.00185195e+00 4.51555397e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 3.88989018e-01 1.60392276e+02 7.35943716e+00 1.69443880e+01 8.39479198e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 6.83300188e-01 4.92409796e+02 5.81812991e+00 8.26800440e+01 2.37840172e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.76303610e-01 6.59499639e+00 6.71791012e+00 6.25771891e+00 8.53356688e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.16930726e+00 1.07403897e+02 2.76838270e+00 9.20197801e+00 1.29348379e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 9.43096243e-01 9.36566436e+01 2.90571276e+00 1.23565752e+01 1.96511814e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 9.48412636e-01 3.71986609e+01 1.37347593e+00 8.03310630e+00 4.66729008e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.02355319e+00 2.85433103e+02 3.89860782e+00 4.48232479e+01 2.62552929e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 1.39681815e+00 1.53073569e+02 6.03770195e+00 1.43380424e+01 1.34214753e+00
