G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	Fc	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	6.087867119079549028e+00	5.966979405929143665e-01	2.526778365294074646e+01	4.537281749503044637e+00	8.540230652575298009e+00	1.943767153138434400e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	8.262424578637828532e+00	3.103070518329094085e-01	9.766599154808632477e+01	5.287446321586919851e+00	1.510823219656233007e+01	6.152091310865771545e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	7.784901463983708858e+00	9.660386942219778561e-01	5.542189299196534193e+02	8.733740450173119285e+00	8.530692258292991426e+01	3.661063597931912827e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.346583167784840995e+00	1.532416383507740620e-01	3.494764274450953678e+01	4.003780344361742571e+00	1.243014610056451019e+01	2.452885149834648004e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.362526441459011473e+00	5.022940210302705433e-01	3.045766082237251027e+01	8.927454092900978466e+00	5.185700372605388075e+00	1.857226528801160370e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	3.281256826486515177e+00	5.112925510216552727e-01	4.867062916535577699e+01	1.820613394834288634e+00	9.241170917485092673e+00	1.836710663918347475e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.339134260676367205e+00	8.945616696797412670e-01	3.932970241092552754e+01	8.019686791583390928e+00	3.349846623685972968e+00	1.746043582585968679e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	4.678477285280257192e+00	1.435114520971256580e+00	9.013171904548657949e+02	8.536746879701240687e+00	2.528480883077486112e+02	1.830524137500316728e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	7.046847764899460742e+00	4.695071919298959284e-01	2.909470559478775087e+01	2.679949041009694888e+00	5.617484407549095948e+00	7.104158953364523299e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.454715064688146819e+00	4.234089903225170537e-01	1.020574275096333139e+02	4.900901374905634711e+00	1.083329222682135224e+02	6.033908164189105694e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	5.888647286554402172e+00	1.366068801606943106e+00	5.479909252040170431e-01	3.719264861029561331e+00	2.578604036322703852e+00	1.283509664203376088e+00	4.514335777668812710e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	3.525294857228431944e+00	4.559934110243600180e+00	3.893487442027073753e-01	1.610037380446491397e+02	7.342360588812629985e+00	1.675470788565603897e+01	8.913878349926529499e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	3.828822443914433826e+00	7.350010449932732115e+00	6.819397085615782617e-01	4.921651015364893169e+02	5.763945192276627161e+00	8.251133379235203336e+01	2.017688991380894303e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.120465916107197479e+00	2.703729442931302351e+00	6.680182764263692397e-01	4.901407475295392224e+00	6.680481257969590914e+00	6.265069991027989005e+00	8.533983943709856135e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	6.691987042793133611e+00	6.789695097098649157e+00	1.159459098582460657e+00	1.058507475988833306e+02	2.740678683033482610e+00	9.475987133580590083e+00	1.312982984795919794e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	3.857232010208233142e+00	3.361688171926241253e+00	9.534167601850274121e-01	9.236035852100724242e+01	2.844330821586768643e+00	1.192717220831693226e+01	2.015013233984672247e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	7.671301878903957316e+00	9.012645838525994435e+00	9.293556913892275784e-01	3.688615346380620963e+01	1.444256436386416320e+00	8.191645164906303123e+00	4.928789802189255664e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	4.667103914076850657e+00	9.122611915514937664e+00	1.028920988029802031e+00	2.868723511675700593e+02	3.971447719962294620e+00	4.467766311209024366e+01	2.993308017382368402e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	1.621598761358980623e+00	3.636515848720846211e+00	1.405776222705566791e+00	1.544917208088228335e+02	6.026960464062078415e+00	1.423626204597794320e+01	1.371206103007297061e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.613097760201319009e+00	1.313622590119733147e+00	7.036773744015782484e+00	8.044340356187779761e+00	3.063724994994245332e+00	3.133454970003790585e-01	6.538304438798465235e+00	8.699866712125233548e+00	1.316586432191799183e+01	6.432891598735239747e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.508351056160433856e+00	7.305241040781356610e+00	9.636465607106524445e+00	3.674177225069385599e+00	4.668501211227291670e+00	6.075064274297414801e-01	2.466614781672263064e+02	6.902746417058184036e+00	7.038018975973307079e+01	5.814252466301620403e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.173985609795511476e+00	3.696470612563533820e+00	6.007335540782873906e+00	4.933177670515551227e+00	3.161918528667428063e+00	8.730506532904391825e-01	3.311653151666270389e+01	4.956748599998364035e+00	1.133613704499328634e+01	4.262776780587955727e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.684335869516643047e+00	9.312807243112471767e+00	9.484219488039618895e+00	7.120101147754174242e+00	7.089497859777211808e+00	8.051352506585934821e-01	2.027941989894524397e+02	9.668791737219628146e+00	1.931227504074242418e+01	2.115065869805340615e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.331209526187143055e+00	9.691680932885450517e+00	1.414494962789612176e+00	3.899054360778399619e+00	8.344487708001853576e+00	1.468240280286316590e+00	1.496972666524600015e+02	7.438249158295112018e+00	5.911205819192739241e+00	2.027490750808754516e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.134773600249389780e+00	9.493829009481533632e+00	4.829200350861690083e+00	1.518868673774395939e+00	7.118256071440360877e+00	2.742714225829060659e+00	6.500725504611446013e+02	9.365079820233551899e+00	6.374716930719472430e+01	4.555940406315526769e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.022580341163264350e+00	5.322823035626956134e+00	3.359878999079894957e+00	4.365231435520263936e+00	8.357103373169811888e+00	7.303667725872601268e-01	1.497033616693835256e+02	5.772117773040998934e+00	2.492730689382869258e+01	4.768874750454430433e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.755192261200174464e+00	8.733823873367461132e+00	7.605975416513810927e+00	9.417761077097962286e+00	4.556187158816468852e+00	5.307990063849054030e-01	7.748359444500783866e+01	3.424743172159134375e+00	8.567693091040618825e+00	2.477685053069430321e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.640211843352028076e+00	8.650642889575717476e+00	9.817497863999330221e+00	6.772610920501789700e+00	2.474609608597848620e+00	1.736682061083252016e-01	7.738992404423692051e+01	1.486400263931431764e+00	3.212540368342453689e+01	5.144514265540435227e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.294142720176743033e+00	3.912908649368012082e+00	3.273993829028643443e+00	7.012243103589532289e+00	7.659425048455694274e+00	5.253507813714263230e-01	5.382095669246199066e+01	7.545485297753923071e+00	1.221018989991360471e+01	1.481556462618005332e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.441591460872025721e+00	8.443608917019343352e+00	6.968297559586937417e+00	6.691042286275134643e+00	4.262764569397377912e+00	1.351254006759107007e+00	8.230564642418681842e+01	2.101564716468918625e+00	5.423548482013246463e+00	2.752557400786206809e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.350948403152234079e+00	1.410329822771493768e+00	2.769254717160951174e+00	2.830226220432744633e+00	6.977129344382227316e+00	1.187678088092090745e+00	4.188886117191043468e+01	3.646796295875143645e+00	2.544207063079632647e+01	3.223634293922160166e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.508329692192494687e+00	6.346649294930271523e+00	6.065281887036587882e+00	4.845805360160111874e+00	3.378924663011976914e+00	8.577318014092356613e-01	6.792575815735000333e+01	5.712864624682503667e+00	1.354232457865707495e+01	3.886051256576024571e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.682710189156301661e+00	3.154057983033092150e+00	5.170967490361326746e+00	7.807659765779778382e+00	1.782336455561246424e+00	4.216881960798649076e-01	9.097983242562088790e+00	6.035421217377822778e+00	3.700788863647637150e+00	2.587921208942021778e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.563756170934089695e+00	2.109253130120573694e+00	9.758705979554070709e+00	1.873301783707477464e+00	9.901145818002930810e+00	1.646277621263117164e+00	3.142810063255507771e+02	6.460817774172924466e+00	1.939887814040017986e+02	8.611254180753891152e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.699715688483347975e+00	1.691696164245823253e+00	6.419826878567536532e+00	3.520645740941186652e+00	2.378855978095051338e+00	2.206040173004744920e-01	2.623051948070311923e+01	2.477899676116871674e+00	7.154803199923598811e+01	2.831950347712258176e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.383022724061895303e+00	7.217209206492506191e+00	4.114367114469459352e+00	3.490288205409360245e+00	9.948294872456326488e+00	1.054031288919184295e+00	3.418011174038462059e+02	4.388581606463072937e+00	3.921331179484115381e+01	1.623663659105975821e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.615094892522843661e+00	4.053964615935394811e+00	1.992736482504497530e+00	4.816057208475560181e+00	9.738331146156028240e+00	1.617539291769980236e+00	6.239680812410676225e+01	6.524729054099296377e+00	5.875105390832655594e+00	1.974062455796885551e+00
