G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	Fg	d1	Fc	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	6.168726755396424011e+00	4.284406722571052484e+00	1.355315574512234500e+00	1.836184686938552968e+00	6.814079551759095743e+00	5.147152626611148918e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	8.142713016237127732e+00	5.742216019987103515e+00	1.505569476367648152e+00	3.491501643888553774e-01	2.525837854213339728e+00	1.589844427632696178e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	7.596082644131248784e+00	8.296162260081180406e+00	9.112841531945182760e-01	5.423191014474182836e+00	9.362632128181729740e+00	7.822530523495346833e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.280383868036645723e+00	4.026788265284423574e+00	5.054553998618918076e-01	1.190253225990313801e+00	6.266257324826442598e+00	2.715560930024587538e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.711017098202794129e+00	8.874430356776025874e+00	2.119754266818089927e-01	6.257010576930081669e+00	1.779936190393361706e+00	9.888735796462145428e-03
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	3.207242008029061786e+00	1.551095983898048258e+00	1.958070935417493219e+00	2.530923920547931250e+00	9.747383886685291543e+00	6.953794951127362234e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	3.950230151658970623e+00	7.820775740083433902e+00	5.008825511823369325e-01	1.329273450791893829e+01	5.991949707937195946e+00	9.098111906918950054e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	4.599865824935446490e+00	8.846451626193452711e+00	6.073689776883640645e-01	3.983764998648463784e+00	1.715895528567869643e+00	2.752658706216445372e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	6.496380130213753823e+00	3.031790623193193479e+00	2.688716398780732764e+00	2.393483895321637522e-01	6.778089970477068071e+00	8.773956747375530885e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	1.562113031448890910e+00	4.293062093503801080e+00	2.122953425849879172e-01	1.817696689877042138e+00	3.483432866541011474e+00	1.410476426318293952e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	1.559733405870137313e+00	2.538938436287387912e+00	6.103358423167863922e-01	1.580261515606691924e+00	8.263407659469349298e+00	2.749581570576193346e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.327244847490439028e+00	9.912885195753197820e+00	1.457698896005978018e+00	3.966724956627352139e+00	4.495249708561997792e+00	7.328355505676974246e+00	5.213771757121105077e-01	1.066505618289685264e+00	8.511708201773684479e+00	4.588780242934172859e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.295891110047316275e+00	9.525151677548125306e+00	9.477087007477404512e+00	3.521919166899499132e+00	7.410317897446414115e+00	5.847589699076899628e+00	1.207406013054773242e+00	3.166304144173818891e+00	9.957294688655265347e+00	1.073130710835808577e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.960001903277911683e+00	1.085415304121849500e+00	2.362983420104185051e+00	4.054025191035004916e+00	2.601277258547491478e+00	6.631018218463211156e+00	3.937637939582223634e-01	2.666052401059037624e+00	4.984106917930214209e+00	2.378526564637060692e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.720998743356403793e+00	7.020074015774738108e+00	6.026992973584919255e+00	6.774448027228070046e+00	6.350143316485924672e+00	2.414390483888535055e+00	2.518461846068963617e+00	2.877619541657165492e+00	5.125582460016422814e+00	6.375963690410819673e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.949264061772774781e+00	9.193282224441460926e+00	4.468846752691008284e+00	3.970712747943098808e+00	3.338913866946518816e+00	3.328778732799193563e+00	1.111391056481487727e+00	2.476723423163779803e+00	7.353500855160914895e+00	7.590058471536089701e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.972845223363607570e+00	2.643239723644104533e+00	4.185254500263307698e+00	7.335983586446992888e+00	9.160074258692050719e+00	1.691490496127539656e+00	6.468280338736669854e+00	7.310462299321208723e-01	2.181853681349573471e+00	6.271066726588001572e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.749039616649934459e+00	5.984234811326317960e+00	8.709753393656328058e+00	4.787095674819876301e+00	8.700515843815880501e+00	3.870082647489426986e+00	2.335814719241070314e+00	3.332475713402900830e+00	5.787528661064000879e+00	1.014592266238055318e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.969611161161159529e+00	8.947085490172344890e+00	1.668870825858804530e+00	1.796930096421543332e+00	3.548881403138460122e+00	5.903753231169171833e+00	5.935171911218962704e-01	9.012446191447216481e-01	6.197468063978398334e+00	7.982031642101319324e-01
