G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d2	d1	Fg	Fc	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	6.101435608729842919e+00	-7.245018556749512229e+00	4.584952918396552057e+00	1.785829117575805469e+01	8.285580481651825480e+00	1.536708758274525088e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	8.289775197376487270e+00	-1.252955413606778023e+01	5.673895120719499197e+00	2.953348869920651865e+01	1.301642647716506396e+01	3.848830460467557657e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	7.750308088049854938e+00	-6.715488494328864633e+00	8.666303221729695139e+00	2.068566931318424551e+01	7.212046079388835906e+00	1.162056590113215435e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.262416306849603043e+00	-2.903563094892096075e+00	4.083655932766159680e+00	1.712152974903789016e+01	2.307984391192194007e+00	8.844569099882303220e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.904019591426791891e+00	-1.596163722390396611e+00	8.841992406615275968e+00	3.797561241830499768e+01	5.646343682578312873e+00	5.198278571792414482e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	3.505416143578832688e+00	-1.254885300636944034e+00	1.606036649141084016e+00	1.108724379405402161e+01	9.446122191782901911e-01	-1.140427000208161568e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	3.725552343449346715e+00	-2.096344694056990310e+00	7.718699825405343162e+00	4.855691482274223603e+01	6.709545282753176743e+00	3.826344776603759268e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	4.684564655834606128e+00	-4.820129375812616246e+00	8.356565108818569954e+00	7.164388124628592536e+00	4.963456461738418923e+00	2.306880345068008182e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	6.627279547845912333e+00	-1.138729585715062065e+01	2.737354851999948213e+00	1.193679454808367524e+01	1.150960438703610222e+01	1.476825521871993807e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.523878765366553978e+00	-1.565994679985064808e+00	5.081010014986516943e+00	3.815125350898769696e+00	6.861333802227133072e-01	2.956521398607132411e+01
