G c dx1dt d2x1dt2 dx2dt d2x2dt2 Fg m1 W Fc d2 d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 8.71516581e-01 4.54271968e+00 6.05589134e+00 2.07897562e+00 2.06940989e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 1.00963979e+00 5.26092093e+00 1.54595016e+01 3.76965076e+00 1.41985231e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.40963114e+00 8.69092654e+00 3.84856499e+01 2.13500098e+01 2.96734252e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 3.60076550e-01 4.06003947e+00 1.54078985e+01 3.13029706e+00 1.88582397e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 3.81281212e-01 8.82684716e+00 3.64506875e+01 1.34866069e+00 3.31126518e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 4.01810370e-01 1.79320988e+00 6.21262072e+00 2.21693996e+00 1.23713770e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 4.64202405e-01 7.99118593e+00 2.88900913e+01 8.39597653e-01 8.10709125e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 4.21493970e+00 8.62792870e+00 3.72845622e+01 6.33491146e+01 6.49321929e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.00723102e+00 2.63635888e+00 4.28014456e+00 1.44081108e+00 4.22997927e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.02973136e+00 4.87311879e+00 1.31691763e+01 2.70878227e+01 2.29030196e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.20894684e-01 2.48949797e+00 3.72290104e+00 2.59915654e-01 1.82740550e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.26151585e+00 7.35943716e+00 3.63887815e+01 4.23977910e+00 7.59578128e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 1.93419137e+00 5.81812991e+00 2.76260344e+01 2.06778177e+01 2.52758360e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.56251658e-01 6.71791012e+00 4.55085105e+00 1.57045563e+00 1.85163131e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.02759685e+00 2.76838270e+00 1.01740508e+01 2.31651402e+00 8.19882136e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 8.33269727e-01 2.90571276e+00 1.35511327e+01 3.10939654e+00 8.85336870e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.18177911e+00 1.37347593e+00 1.80280947e+00 2.03100812e+00 3.06047141e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.95253276e+00 3.89860782e+00 1.19131846e+01 1.12199553e+01 2.16152694e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 2.27565198e+00 6.03770195e+00 2.78923556e+01 3.62031921e+00 1.11418197e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 3.81177715e-01 8.72141423e+00 5.69296335e+00 3.13560746e+00 8.34320602e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.31633992e+00 7.00234703e+00 2.54772778e+01 1.76165229e+01 3.09372591e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 6.46547024e-01 4.91856691e+00 9.04067290e+00 2.78377390e+00 1.33962152e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.83604346e-01 9.57808103e+00 4.46317780e+01 4.77464490e+00 1.71268264e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 2.11281549e+00 7.47320681e+00 3.63927393e+01 1.58271027e+00 7.05766126e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 4.67631699e+00 9.37148683e+00 4.45070577e+01 1.61301021e+01 1.87414495e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.92865884e+00 5.74829176e+00 1.51407934e+01 6.17458370e+00 2.91963970e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 4.81359109e-01 3.33013847e+00 1.45833155e+01 2.23098509e+00 9.40703323e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 3.55223056e-01 1.47544018e+00 6.34508960e+00 8.16660709e+00 1.73486408e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 1.08493819e+00 7.53476366e+00 1.45869418e+01 2.97448765e+00 1.84591026e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 6.34368965e-01 2.09172698e+00 8.84825538e+00 1.45981447e+00 2.40509200e+01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 2.52297238e+00 3.72497615e+00 2.48282458e+00 6.44924672e+00 3.28233129e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 7.21047646e-01 5.79223817e+00 1.84379363e+01 3.23846214e+00 1.28464507e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 2.23119939e-01 6.07974929e+00 9.33265694e+00 1.05760705e+00 9.34904332e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 5.19423986e+00 6.40524877e+00 6.67779842e+00 4.86290627e+01 5.55082096e+01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 6.87242769e-01 2.49629797e+00 2.11259053e+00 1.79291484e+01 1.33617185e+01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 2.83801327e+00 4.41763664e+00 1.60505970e+01 9.83886867e+00 5.60609821e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 2.00392349e+00 6.55474804e+00 1.33024504e+01 1.55140929e+00 1.14698712e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 8.29084672e-01 9.72836978e+00 3.65927811e+01 4.51665169e-01 1.21322185e+00
