G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	W	Fc	d2	d1
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	1.056557307760739972e+00	4.976949823492048175e+00	7.292214795680471262e+00	5.154490947572549775e-01	-1.448066831084705797e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	1.169778426156336204e+00	5.329865320369070680e+00	1.666541163581647922e+01	4.343970755295372577e+00	1.041153464391497030e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	2.449416914362696929e+00	8.477836797288057724e+00	3.868577150883506022e+01	2.167772739301370066e+01	3.023122959912555530e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	4.454435461354188108e-01	3.754450219014993984e+00	1.741242831342683317e+01	3.616260596188775267e+00	3.428236685544030493e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	2.440375783082111005e-01	8.247042017598657182e+00	3.599895595335944876e+01	2.096209141931499431e+00	3.683130551416891052e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	3.906854185051751860e-01	1.572232117562918141e+00	9.468565821538154736e+00	2.357464068079722974e+00	1.259015518195736760e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	5.133341618301106024e-01	7.658512551046036343e+00	2.744262297115101745e+01	6.737259868520151240e-01	8.520600540450624649e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	3.988003492840206388e+00	9.506583697487789308e+00	3.555037194471906048e+01	6.271075998112758043e+01	6.619144548277890294e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	1.068802507750492792e+00	2.061990030448611844e+00	2.137076026008807084e+00	1.091986792559225705e+00	2.914089917621848769e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	8.921952681849159017e-01	5.442234361936817422e+00	1.129358538306526505e+01	2.803758828188672325e+01	2.377433146557594057e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	5.740608791589111526e+00	1.845860323939269243e+00	9.907946083746468902e-02	2.342612104229090164e+00	1.219757042859820562e+00	-3.996013772121992935e-01	-1.035331290185040887e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	3.783660147696235487e+00	4.416365041328848662e+00	1.185597036064737875e+00	7.246162372559552090e+00	3.671769334462094747e+01	2.788874222019974702e+00	-7.718827426078795906e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	3.304349940874462987e+00	7.541864615632919211e+00	1.929817256510466983e+00	6.038228934048076368e+00	2.893774242964429178e+01	1.990042112515111583e+01	2.473234294248813470e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	4.216872678695136045e+00	3.674118384254634773e+00	4.658359770477955575e-01	5.939674828114747562e+00	4.603295613681041232e+00	2.047538966312762110e+00	2.521414197143043712e-01
