G c dx1dt d2x1dt2 dx2dt d2x2dt2 W Fg d2 d1 Fc m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 5.41346447e+00 4.16266506e+00 6.83431259e+00 8.33386650e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 6.27182280e+00 1.07641348e+01 2.55147726e+00 6.32386589e-02
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 3.60902757e+00 1.42422773e+01 8.85155107e+00 6.33151164e-02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 2.34982852e+00 3.72945195e+00 6.51804615e+00 1.35271233e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 1.06187189e+00 3.81466415e+00 2.41483495e+00 2.03475988e-02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 7.61443342e+00 4.73450788e+00 9.66104252e+00 5.60599928e-01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 2.12717991e+00 5.80901308e+00 5.66528917e+00 7.17292490e-02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 2.16789007e+00 9.05208128e+00 1.65608607e+00 1.14725306e-02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 1.07986436e+01 6.49020841e+00 6.64149614e+00 8.50810013e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 1.23955434e+00 2.81537247e+00 3.27879016e+00 6.67731297e-02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 2.10814285e+00 1.32127591e+00 8.23324107e+00 1.09803870e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 2.46062027e+00 8.23293698e+00 8.36039866e+00 6.31689845e-02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 5.00124496e+00 1.31084621e+01 9.81052620e+00 9.85356903e-02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 1.63200641e+00 1.25706417e+00 5.51682578e+00 1.32161592e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 9.78699993e+00 1.05098281e+01 5.09461192e+00 1.61364248e-01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 4.59570993e+00 5.95990165e+00 7.78128045e+00 1.60824304e-01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 2.61374074e+01 4.96813419e+00 2.19223591e+00 1.09834230e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 9.29686691e+00 1.46821239e+01 5.92223962e+00 1.53400013e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 2.43508863e+00 7.02989718e+00 5.91622840e+00 5.54507239e-02
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 1.40800274e+00 -3.32949972e+00 1.80525811e+00 -1.46191580e-01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 2.68580562e+00 8.24954274e+00 4.76185677e+00 5.32625125e-02
