G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	Fg	d2	d1	Fc	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	6.168726755396424011e+00	4.284406722571052484e+00	5.421262288048314559e+00	4.331279142540823024e+00	6.814079551759095743e+00	8.577559409677395497e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	8.142713016237127732e+00	5.742216019987103515e+00	6.022277905490542871e+00	9.784006581484510079e+00	2.525837854213339728e+00	6.190940897532935805e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	7.596082644131248784e+00	8.296162260081180406e+00	3.645136614775186246e+00	1.456944661202592606e+01	9.362632128181729740e+00	5.208103778217864493e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.280383868036645723e+00	4.026788265284423574e+00	2.021821595473790811e+00	4.018661248939168651e+00	6.266257324826442598e+00	1.600177897614501743e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.711017098202794129e+00	8.874430356776025874e+00	8.479017047443423438e-01	3.683872184522048343e+00	1.779936190393361706e+00	1.254026788370328147e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	3.207242008029061786e+00	1.551095983898048258e+00	7.832283721652556707e+00	4.021835414852335866e+00	9.747383886685291543e+00	5.523743639653582171e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	3.950230151658970623e+00	7.820775740083433902e+00	2.003530206739233765e+00	5.896544218029101003e+00	5.991949707937195946e+00	6.585636184101967272e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	4.599865824935446490e+00	8.846451626193452711e+00	2.429475912732542486e+00	9.170003155799927086e+00	1.715895528567869643e+00	1.322572018081273615e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	6.496380130213753823e+00	3.031790623193193479e+00	1.075486563512643023e+01	6.331197479197433253e+00	6.778089970477068071e+00	8.607232248003087172e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	1.562113031448890910e+00	4.293062093503801080e+00	8.491813663711611504e-01	2.882769541909159017e+00	3.483432866541011474e+00	3.856481388269902832e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	1.559733405870137313e+00	2.538938436287387912e+00	2.441343367240506712e+00	1.708201467572955323e+00	8.263407659469349298e+00	1.107905470250815982e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.327244847490439028e+00	9.912885195753197820e+00	1.457698896005978018e+00	3.966724956627352139e+00	4.495249708561997792e+00	7.328355505676974246e+00	2.085508700878431654e+00	9.098422690903639420e+00	8.511708201773684479e+00	5.726346625790809663e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.295891110047316275e+00	9.525151677548125306e+00	9.477087007477404512e+00	3.521919166899499132e+00	7.410317897446414115e+00	5.847589699076899628e+00	4.829624052232813547e+00	1.316149312316768771e+01	9.957294688655265347e+00	9.413856944244328173e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.960001903277911683e+00	1.085415304121849500e+00	2.362983420104185051e+00	4.054025191035004916e+00	2.601277258547491478e+00	6.631018218463211156e+00	1.575055181837442531e+00	1.377604275093172292e+00	4.984106917930214209e+00	1.339881861359708770e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.720998743356403793e+00	7.020074015774738108e+00	6.026992973584919255e+00	6.774448027228070046e+00	6.350143316485924672e+00	2.414390483888535055e+00	1.007384739425292253e+01	1.021244706072360664e+01	5.125582460016422814e+00	1.636358740157641822e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.949264061772774781e+00	9.193282224441460926e+00	4.468846752691008284e+00	3.970712747943098808e+00	3.338913866946518816e+00	3.328778732799193563e+00	4.445564235937955466e+00	5.778903226485387457e+00	7.353500855160914895e+00	1.655921011144078081e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.972845223363607570e+00	2.643239723644104533e+00	4.185254500263307698e+00	7.335983586446992888e+00	9.160074258692050719e+00	1.691490496127539656e+00	2.587312135496780741e+01	4.919023914267445896e+00	2.181853681349573471e+00	1.097825158882565377e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.749039616649934459e+00	5.984234811326317960e+00	8.709753393656328058e+00	4.787095674819876301e+00	8.700515843815880501e+00	3.870082647489426986e+00	9.343258866960573172e+00	1.510727046836096399e+01	5.787528661064000879e+00	1.615324274437692498e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.969611161161159529e+00	8.947085490172344890e+00	1.668870825858804530e+00	1.796930096421543332e+00	3.548881403138460122e+00	5.903753231169171833e+00	2.374068766492463567e+00	7.325534224814761686e+00	6.197468063978398334e+00	7.268173331643805468e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.710656510892142101e+00	1.385977139551603621e+00	6.418077333808787976e+00	7.963330798246106568e+00	3.002642281913479927e+00	8.554239168229072376e+00	1.274709845568172906e+00	-2.633018959145649429e+00	1.871735686507886465e+00	-1.725497966345459211e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.108949178538838787e+00	7.426672413472954482e+00	9.572609113530470282e+00	3.588430114944910265e+00	5.478309194719832576e+00	6.293079027501287115e+00	2.747544045692967618e+00	7.711583291621940006e+00	4.890560008449950757e+00	6.481315569356305151e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.213127129983623487e+00	3.709880972404666188e+00	5.784285140534179526e+00	4.738841595751539515e+00	3.225618833034734845e+00	5.015622947967041334e+00	2.230497149202737450e+00	3.744704233505653068e+00	8.627490704946589872e+00	3.762536471781996461e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.696542531451764368e+00	9.162967734006612019e+00	9.617675189162653737e+00	6.872548381433608355e+00	6.532476589519306209e+00	9.792130829441466844e+00	2.453786303187916573e+00	1.178861701645779014e+01	8.991564305943516189e+00	6.570857386077096074e-02
