G	c	dx1dt	d2x1dt2	d2	m2	Fc	Fg	d1	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	7.683333297460799294e+00	8.855822727484236268e+00	9.179747476530673467e+00	3.267770138091547594e+00	7.734131413687814316e+00	1.589964294073641327e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.453209344205457665e+00	8.240736044047874742e+00	3.475278633095627345e+00	6.109824073934452926e+00	2.413573701947016481e+00	9.654261517326894193e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.438444318902482255e+00	6.926256721251734305e+00	7.857630848851412608e+00	8.519985152943510442e+00	3.418538842930340049e+00	7.774277859401249202e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.814793834463825917e+00	8.724855219811491480e+00	7.880578523594907736e+00	1.095002199325655345e+00	4.696946683172003034e+00	8.948060976544100598e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.374403740682089925e+00	3.256924371299686261e+00	1.594748120928626500e+00	7.116297064111424042e+00	7.071285231668343663e+00	8.232248967270992424e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.361843602897227612e+00	5.360497264584848764e+00	5.327280307116482483e+00	1.396313344300295745e+00	1.577933480174820824e+00	2.353921913879220185e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.181060876686043981e+00	2.951206377293658978e+00	1.311857457871961286e+00	6.067913783363674263e+00	1.248998195081615803e+00	5.940042647829812950e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.758807466256097740e+00	9.922209473213248643e+00	1.501552684581825226e+00	3.635028049725248067e+00	4.571440473582160102e+00	3.360234678802003572e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.992373779402495604e+00	1.427284562682080038e+00	2.188591367575523972e+00	4.085480035624241779e+00	2.784552818073788405e+00	6.266786877737756889e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.710912383005728898e+00	9.342960714113297982e+00	4.787379588360209937e+00	3.968073594590396436e+00	3.286653162527433558e+00	5.010259641828358212e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.811008771215440127e+00	9.277812217545076123e+00	1.254728928731364324e+00	1.659349078402802435e+00	3.781048134230537539e+00	1.684114700420283128e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.518748050368906810e+00	7.310794590062211995e+00	9.670324009448433955e+00	3.635494386204781048e+00	4.714046973785089634e+00	2.447375161523963882e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.295151924756200223e+00	3.755298833247559198e+00	6.051589325107713968e+00	4.826042226965014059e+00	3.199554153380652188e+00	2.450398504086838258e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.662654741498014843e+00	9.210814391232123199e+00	9.417882976274754014e+00	7.207587379696995811e+00	6.970251941234806736e+00	4.187469999491602834e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.070717891972285507e+00	9.535616977489933532e+00	4.800215970887203198e+00	1.403871397364897300e+00	7.170436700072442271e+00	8.951916584055314985e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.223636853919636280e+00	5.322802375803664887e+00	3.304553995019833934e+00	4.360454128116096228e+00	8.354039818070081225e+00	1.021770642677170038e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.728236756140796526e+00	8.683707634462466629e+00	7.631578630603726765e+00	9.560226628011072592e+00	4.627426454133201972e+00	8.160986149059918660e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.569732516828613811e+00	8.551540551842492732e+00	9.817872654984476810e+00	6.745758864169904001e+00	2.353957056397581127e+00	1.081518639887220985e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.344320509489413951e+00	3.824446189205543689e+00	3.285875756583707119e+00	6.961750370187815840e+00	7.608644610877985492e+00	1.322751765718904515e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.532136840464034755e+00	8.419586145815532774e+00	6.888755449173128653e+00	6.698453236484214202e+00	4.286211513533061179e+00	5.992912619103285721e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.422837726797331115e+00	1.306197735073606925e+00	2.750642683560282187e+00	2.758198921453137054e+00	7.096076200129470379e+00	-5.086811927951578660e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.520390537649288110e+00	6.379961696713717600e+00	6.105895766535133440e+00	4.799079543162932282e+00	3.368196604602040622e+00	3.997119603493411688e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.748748039831973244e+00	1.740867575782230947e+00	6.447442368239839183e+00	3.452756804139304858e+00	2.463797999786174309e+00	1.065951261272083173e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.274613465787261646e+00	7.326916630793663288e+00	4.171106552183031724e+00	3.445053110702151589e+00	9.951354419589536704e+00	1.012995290048866259e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.723490756687695580e+00	4.012139512036063671e+00	2.093172480076213482e+00	4.778783867113688189e+00	9.745644945588548325e+00	4.511905639308263716e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.188581498792698810e+00	1.541088137725719953e+00	2.988626821702473624e+00	1.616721154972334151e+00	7.019812652609220827e+00	-4.218818929003093743e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.976059543441321509e+00	3.911011761515067686e+00	3.251579500275578738e+00	5.659599991531568008e+00	6.122796953146024457e+00	1.449987303893244395e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.239418159286183041e+00	6.669098837862247109e+00	2.058076814536409227e+00	4.568087857126766238e+00	6.541288255953170427e+00	1.946998342408311089e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.032303073760544976e+00	6.547391028121137602e+00	7.481560860850219541e+00	7.351479179709270895e+00	4.872848427356775147e+00	4.425096690595708537e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.821945324180415771e+00	3.123038773707993432e+00	1.634335264829908763e+00	4.860147773961819517e+00	3.927174740423019728e+00	1.373194469187015798e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.471213133708330290e+00	9.449946785686966777e+00	2.522257483123453436e+00	3.405136213619687879e+00	8.423487144451003772e+00	1.634188229334017350e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.064985462109669712e+00	8.218311322443460298e+00	9.570354995307669199e+00	3.601669480633852949e+00	6.018535134838795209e+00	2.189829707126890668e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.323229356099556497e+00	4.137659983071459102e+00	6.988155613653966647e+00	9.731628925177046696e+00	1.135856150641473272e+00	1.589857999173595147e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.799405890178824574e+00	7.919688984440782953e+00	5.109249288448423520e+00	6.367550617646836386e+00	8.409685628740719565e+00	2.579033210517369668e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.407012806411576111e+00	5.234619819526994178e+00	6.841988604413322683e+00	1.791564955100780843e+00	8.997077603853313121e+00	3.632228158807286889e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.992464084933929680e+00	6.609183422918535555e+00	5.856114024696982057e+00	9.537324305320190376e+00	9.939976623167213532e+00	2.762917297358445978e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.579805280437447834e+00	8.825329225285091894e+00	1.591240772168181161e+00	3.711129312507072786e+00	3.707569300959093095e+00	3.974098339852412920e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.360893127181663775e+00	9.835867123878724527e+00	5.549172028744325580e+00	1.870236544978673088e+00	2.934910713937705307e+00	2.835156222412186722e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.459177660646018282e+00	7.862778276146690004e+00	8.384854983390521710e+00	6.383845712237643966e+00	7.930065710271849255e+00	2.838511394809876975e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.847148204501661617e+00	7.608478762890621638e+00	8.147172423876220648e+00	3.439460950346532542e+00	1.864477209323792239e+00	6.120374410192569314e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.203013312245841959e+00	1.909790495409792621e+00	3.328273283092737511e+00	9.698443262816052624e+00	9.840269158068158717e+00	3.546782207986144186e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
