G	c	dx1dt	d2x1dt2	Fc	m2	Fg	m1	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.256723838941596227e+00	2.994950062148534986e+00	3.417243199832698419e+00	7.128941689480967625e+00	5.945612080075208361e+00	-5.725123908625168845e+00	3.367936340777174520e-01	-6.391093717959681064e-02	1.594023385454732544e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.541700703518724680e+00	5.937060428596975470e+00	3.098064941807734396e+00	8.287595259850260021e+00	8.040386208274844293e+00	-1.271922433463377899e+01	5.734136117116743481e-02	-1.999463127244837865e-02	5.983953031147465351e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.365882421722969475e+00	9.061127772255176183e+00	9.783433349891586417e+00	3.323296033999824761e+00	7.961936699727104383e+00	4.246042361960202238e-01	8.757673608404034638e-02	-1.658715599943191323e-03	2.717800089636323579e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.904339526759135204e+00	7.921042526421287810e+00	2.790862770531892689e+00	6.703533663737334614e+00	2.340447833001434663e+00	2.027764734736682506e+00	9.609735239911770810e-02	3.369439434522208694e-03	-2.397853246038872399e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.614958841768991515e+00	8.222412197703784287e+00	3.716896815110960706e+00	6.102722890087723506e+00	2.432457842048673324e+00	1.955670441635731338e+00	2.182826748190238586e-01	3.837655674512019388e-02	-2.408523924173249231e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.396986717555205981e+00	6.928821323607067484e+00	7.803810516646141338e+00	8.427339471972501883e+00	3.007789080639637902e+00	4.822241717801807326e+00	3.517098443864736801e-01	6.729497746057469532e-02	-2.610245509306762468e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.535628235335769531e+00	6.792795778723885292e+00	5.264396384954900476e+00	9.632019932063203171e+00	4.224448044217919751e+00	1.466750956900744196e+00	7.162975907885132942e-01	8.430656415133815085e-02	-3.318518287074840867e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.528549124260562664e+00	8.987547936518316405e+00	8.020475233010506244e+00	1.238662833054799073e+00	4.956650143175322043e+00	4.457527906278381802e-01	1.052611852932195668e-01	9.587508337883165685e-03	-1.317193153063728195e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.359834989199528721e+00	3.206485213674664880e+00	1.071401178909737295e+00	6.911003531007877676e+00	6.812538837789330337e+00	-2.454813097487852502e+01	1.626679815635881932e-01	-9.601210289269417053e-02	2.510999722760727693e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.669408420625745570e+00	5.125072885471559481e+00	5.414495711861305516e+00	1.391433954643778614e+00	1.514624815840805994e+00	9.617354448488698582e-01	8.174776471235127573e-02	6.146105285243716465e-04	-5.026668288469803708e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.185482716421350391e+00	3.196644550074780433e+00	1.395163524992113047e+00	6.225624167975436940e+00	8.069563251456811637e-01	2.272954521220479224e-02	5.412562001411144408e+00	-3.195094822352016750e-02	5.743180621167313760e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.737086245789555505e+00	9.282688956793842650e+00	9.587098805874537666e-01	3.389431807589735612e+00	4.171655888759469910e+00	-6.995158734615790408e+00	4.562951350245210425e-02	-1.284638335170782721e-02	1.337859720644798966e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.548144128093376537e+00	9.377128092010581284e+00	9.694654942277324494e+00	3.359850788043372116e+00	7.494437568928095317e+00	6.294592014154976045e-01	4.215826676801854439e-02	-3.154797692050587826e-03	4.986702374696867501e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.576467895190656776e+00	1.607495089424989976e+00	2.339127334503075861e+00	3.795403331400760472e+00	2.656685318353708691e+00	-7.014402236841703608e-01	1.154905064435663320e+00	-8.144500138320472094e-02	2.185391905169171700e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.805537831979848296e+00	7.228420808194019109e+00	5.977310246840620955e+00	6.123652338348605007e+00	7.269777128712940240e+00	-1.256729425629522723e+00	2.863753353347341379e-01	-6.466102388117820482e-03	1.538545424894798508e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.310964588553119814e+00	9.127539278653173938e+00	4.378078062849082741e+00	3.654901067914756219e+00	3.456227994677004034e+00	9.430556960578730941e-01	2.108266153197151938e-01	1.619210675559049767e-02	-5.204495187002482481e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.483905697588538963e+00	2.509421412451001476e+00	4.316757405061971475e+00	7.274667926774416316e+00	9.119281327213407451e+00	-9.060913756424275434e+00	3.902780501134610058e-01	-1.349575176149050426e-01	2.860127707493864690e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.438874154191892352e+00	5.552429593118671569e+00	9.399293308575694894e+00	5.015686969766795400e+00	8.768032417779471288e+00	2.121098206701155231e-01	1.248506453885215584e-01	-2.168411958683663134e-03	5.085178484721342151e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.840086586979965411e+00	9.438410577462455819e+00	1.266416339805974900e+00	1.602679529240932599e+00	3.570702393756036042e+00	-3.545774215992634204e+00	9.832137837356098864e-02	-3.820488528890945285e-02	1.197938326129771358e+00
