G	c	dx1dt	d2x1dt2	Fc	m2	Fg	d2	m1	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.452656382238261656e+00	2.664088322750513438e+00	3.389877457967348295e+00	6.981188217226667270e+00	1.791183392920329964e-01	6.087867119079549028e+00	2.502325265426596501e-01	4.522958572934016708e+00	1.289822079300692792e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.485383514591990917e+00	5.948400114944314865e+00	3.224481346882574595e+00	8.124744218393567863e+00	7.193484078311848662e-02	8.262424578637828532e+00	5.479765924152904533e-02	5.372240460248278282e+00	5.671143699482609009e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.643229948689745257e+00	8.859164637376689910e+00	9.243154309308454941e+00	3.276433363788353592e+00	3.189583550420995728e-01	7.784901463983708858e+00	3.346170634240790975e-01	8.751541698929226953e+00	4.124500298338143978e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.432434066077546753e+00	7.498425987179970775e+00	3.331237819768116282e+00	6.624381811606296466e+00	6.685112664777358160e-02	2.346583167784840995e+00	1.661516377547967230e-02	4.049677164955165942e+00	3.433517293024116412e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.441967278359393756e+00	8.282976859606513642e+00	3.471458852011360285e+00	6.128999415058649092e+00	7.373305273696159623e-02	2.362526441459011473e+00	7.872326805907341185e-02	8.875010875277093092e+00	6.059585465884556044e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.464405057866025484e+00	6.884332282889741528e+00	7.851880284584092706e+00	8.446134401035044093e+00	1.342992442212269932e-01	3.281256826486515177e+00	1.936433667010137583e-01	1.725609249219623109e+00	8.070615853598152398e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.517740744614537007e+00	7.162797399685957522e+00	5.051299066068876797e+00	9.240144341024709718e+00	7.580595039324337925e-02	4.339134260676367205e+00	2.033831545604623536e-01	8.004915740405987634e+00	1.053407297971862100e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.694430658261644851e+00	8.596355293057886371e+00	7.843790633004779522e+00	1.064047979084964624e+00	8.303384861096433367e-01	4.678477285280257192e+00	4.418503771754586085e-01	8.576472580018950964e+00	5.861439589758045798e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406122407886449821e+00	3.277192435227424649e+00	1.511292703226221112e+00	7.079798933211677081e+00	7.664549125092914861e-02	7.046847764899460742e+00	7.596875637344488452e-02	2.543719665608840330e+00	-3.488739377313098089e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.319006706351058433e+00	5.474851518244049586e+00	5.393699690462210761e+00	1.440112004656184830e+00	6.817126402965510978e-01	1.454715064688146819e+00	1.413165836287280930e-01	4.916159863314892853e+00	4.389317200918728901e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.145649968264480290e+00	3.017751124996571388e+00	1.336537193002937274e+00	5.941691924313821538e+00	6.985684944721913536e-02	1.366068801606943106e+00	7.591482382269214291e-02	2.539344916604220792e+00	6.399204747777072377e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.661945078424874822e+00	9.924172506283674977e+00	1.579873387628299319e+00	3.613466693334983049e+00	3.976941013037467443e-02	4.559934110243600180e+00	2.067517942355517543e-02	7.384520670046209823e+00	3.075804759311571246e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.466148391361256742e+00	9.522850305279291661e+00	9.108658274410968758e+00	3.686812266473371569e+00	2.610054477706287845e-01	7.350010449932732115e+00	2.190032986400827220e-01	5.808092008077168522e+00	1.057038488599677777e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.878760882234203677e+00	1.360478288662248847e+00	2.304968648384976060e+00	4.176268367864613751e+00	3.943802834083512399e-01	2.703729442931302351e+00	3.710029274343814021e-01	6.648435399650807653e+00	5.660190803611602206e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.507743274590986893e+00	7.388947886667840415e+00	5.873641533468950016e+00	6.656090652120536078e+00	1.263450128225135083e-01	6.789695097098649157e+00	3.024793658075962122e-01	2.704669115572153615e+00	-1.907778118991122369e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.688538763383698793e+00	9.192674613609522538e+00	4.751652937162440082e+00	4.101806400699343769e+00	1.156537694345672190e-01	3.361688171926241253e+00	1.632778630742100778e-01	2.852536311704954031e+00	2.773488297069912889e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.858350869303925013e+00	2.631358127999273488e+00	4.180732166572483699e+00	7.587253315516383267e+00	2.121832011839305809e-01	9.012645838525994435e+00	4.878859289169387159e-01	1.360656191663206727e+00	-8.073974149688044122e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.755619310063215366e+00	6.053376262890108883e+00	9.067621610143202560e+00	4.643002830230361866e+00	3.225861363373292989e-01	9.122611915514937664e+00	5.104727491464330358e-01	3.957648926780304777e+00	-3.796620920296302870e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.876522298478088935e+00	9.304088761290337573e+00	1.255819903001482274e+00	1.734886558843357740e+00	8.060596471132165652e-02	3.636515848720846211e+00	6.452163446996136975e-02	6.095877638016860445e+00	6.744579064225545650e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.618099215910633770e+00	1.297327331181592935e+00	6.982155464145801460e+00	8.115276292207948217e+00	6.626473405328687782e-01	3.063724994994245332e+00	5.611802866770276843e-01	8.630970837425930853e+00	1.212903788900979229e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.483890994061328961e+00	7.278504100350894568e+00	9.698796223692911056e+00	3.538408988795435750e+00	3.790054519268114541e-01	4.668501211227291670e+00	2.691343695722015483e-01	6.964314998536536905e+00	2.197028865795782693e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.260318078729293578e+00	3.592411577538945799e+00	6.061691522958636114e+00	4.861394021954644984e+00	3.383395944916944287e-01	3.161918528667428063e+00	4.772806596014186331e-01	4.879057577276869395e+00	1.105628182859925523e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.627298847601177378e+00	9.376133646034000790e+00	9.424694065377645202e+00	7.220776563539136994e+00	1.378491514015077746e-01	7.089497859777211808e+00	2.705310188458818765e-01	9.439193812527877370e+00	3.169919590910118501e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.251736450276077051e+00	9.774423450372236033e+00	1.422834570131543463e+00	3.937374174415039452e+00	3.150816457262411302e-02	8.344487708001853576e+00	7.103270676315141807e-02	7.504265226446748649e+00	4.390696681771213150e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.195712979397054454e+00	9.529382278121268257e+00	4.764604569656087030e+00	1.568153642701318073e+00	3.333273648816217904e-01	7.118256071440360877e+00	4.573416518976021750e-01	9.357982057959089772e+00	9.208884923519264021e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.986094267755419196e+00	5.222698222479455588e+00	3.395905657998333549e+00	4.383386332099828309e+00	1.453002844648637049e-01	8.357103373169811888e+00	1.578363456616146965e-01	5.742084556328312495e+00	1.930334956242433009e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.835942362617899892e+00	8.715345070509343373e+00	7.553011924419374523e+00	9.528063408635279785e+00	8.549176916670847559e-02	4.556187158816468852e+00	1.557436395792732853e-01	3.403975384249273262e+00	1.178732100663569611e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.622632821729227182e+00	8.613383775899082551e+00	9.881001332838504680e+00	6.761711615362188788e+00	1.685036689089920436e-01	2.474609608597848620e+00	6.474303804175303434e-02	1.480284971780562397e+00	3.375864117487168983e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.434610011019979758e+00	3.833268231781142621e+00	3.349469033998048406e+00	7.009217558795572067e+00	1.192230741731266919e-01	7.659425048455694274e+00	1.517655589143190042e-01	7.511133009642877667e+00	9.192122449037640308e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.436502355314479784e+00	8.484433042844178985e+00	6.871065128628824681e+00	6.769682540692978812e+00	1.217149689977664317e-01	4.262764569397377912e+00	3.685376803086541919e-01	2.123112190331404747e+00	-1.324084096487802299e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.448424470291802102e+00	1.212853776362988745e+00	2.859563392239313995e+00	2.777572434678139413e+00	7.506488258907871858e-01	6.977129344382227316e+00	8.225524793995587780e-01	3.783067769735794617e+00	6.210999856685909890e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.521310431055221457e+00	6.339306046993664623e+00	6.068340241772627763e+00	4.742759321531950789e+00	2.061614630020857375e-01	3.378924663011976914e+00	2.740692468764217571e-01	5.808502915508746867e+00	8.972513668934121611e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.587624213611082302e+00	3.170035733661772603e+00	5.258744297510692611e+00	7.754120069657159497e+00	2.206144163309809170e-01	1.782336455561246424e+00	2.369984807748867772e-01	6.117559474700741795e+00	3.406561154756558629e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.478118476593019537e+00	2.109551251095068025e+00	9.772018949140019117e+00	1.922805092706802776e+00	2.442030296015104351e+00	9.901145818002930810e+00	2.551529189833966260e+00	6.397262666127236486e+00	1.268160048164230460e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.649182951827773636e+00	1.701857801333103826e+00	6.475869389270172860e+00	3.444872545865036884e+00	1.094444277723189973e+00	2.378855978095051338e+00	2.750782296308827424e-01	2.491807106361181745e+00	6.282026995493622223e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.178969447268887194e+00	7.377040224099649102e+00	4.096536051455012206e+00	3.456293365322150812e+00	1.638437902080490949e-01	9.948294872456326488e+00	2.075522513080664544e-01	4.423837160059327367e+00	-5.389585663372204181e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.691569558446711863e+00	3.928921932020773777e+00	2.021988637647971654e+00	4.854713953562329820e+00	9.726970159235318047e-02	9.738331146156028240e+00	2.725405518513654979e-01	6.513430466009261899e+00	1.076606351060138280e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.884131538939635364e+00	7.477543912866057241e+00	2.349970569695467582e+00	9.869076866323286623e+00	3.341295845207679915e-02	8.159028037425184010e+00	1.393024684649796507e-01	9.697204895037591754e+00	2.646307942158843574e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.174343641147905792e+00	1.565889181642639016e+00	2.958373628329195704e+00	1.559562440025871632e+00	1.192774047553689876e+00	6.937143799702971236e+00	1.142738150996137403e+00	7.624273202881274081e+00	2.097858951141865802e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.854245001175486074e+00	3.885364455943835171e+00	3.246683984671156598e+00	5.573262644182219283e+00	1.499251527455878752e-01	6.200117159911408216e+00	1.841324954847960438e-01	9.413593903824612141e+00	2.798210047345359897e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.090917788674637734e+00	5.904135757290262632e+00	8.611161309367950878e+00	2.507795926248935992e+00	5.595865348497439662e-01	8.766674991220472890e+00	2.362330335278854498e+00	7.947259369931046535e+00	1.327505871838434892e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.487085677362109060e+00	8.068331178004417126e+00	6.083361513506673646e+00	9.656491713063481086e+00	7.668373228875989545e-02	3.573371280352208856e+00	4.944778853445752631e-02	6.252856434216604420e+00	4.236417349381179065e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.300679378728513358e+00	3.924290283219419084e+00	5.782646455939190133e+00	2.093436714541545562e+00	7.263633310513917252e-01	5.150392975792286165e+00	2.912076225965653187e+00	2.650314374192333844e+00	1.128970820399457722e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.149581020210854732e+00	6.610585361345379773e+00	1.965173841726933546e+00	4.633286344074489804e+00	6.932998357053746230e-02	6.600800232515002364e+00	4.734349372305109160e-02	6.934846402492357065e+00	7.491094232279255039e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.306712395334814314e+00	9.041205129460808010e+00	8.835804905966952560e+00	7.668099354907769616e+00	1.294081312913963888e-01	4.664320541623032668e+00	1.854296125555901231e-01	6.617788827499987647e+00	2.707830969207138949e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.933432776378451123e+00	6.485321168398919589e+00	7.498230589836640370e+00	7.370031944804360968e+00	1.556348978641281244e-01	4.900145104829160658e+00	1.105790234068664557e-01	6.268130831850224460e+00	6.154399350258890422e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.770937854771499786e+00	3.089775253690486778e+00	1.555177976732159406e+00	4.807599176433798860e+00	1.069323404428066254e-01	3.960330613870750138e+00	1.107600951164923742e-01	5.375770093841742536e+00	2.133404340082943662e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.690020056266040349e+00	1.192338258827311037e+00	7.412356458452749486e+00	4.114669317660924364e+00	1.466511214125827633e+00	6.020433103261023433e+00	1.570421520643364710e+00	5.835105445447502426e+00	5.288095428450996849e+01
