G c dx1dt d2x1dt2 d1 d2 m2 m1 W Fc Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 2.43545835e+00 3.95460739e+00 2.83817938e+01 1.18969913e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 3.16590734e+00 8.22522822e+00 1.77810555e+02 -2.67838648e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 4.20847087e+01 7.41818299e+01 2.82820749e+03 -1.21719419e+03
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 9.50251334e-01 1.09253929e+01 4.60724743e+01 3.52884002e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 9.60727464e-01 1.28286830e+01 1.90763415e+01 5.70852566e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.64288222e+00 2.66252986e+01 2.73656456e+01 1.06716032e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 1.73552958e+00 1.64082099e+01 1.91086066e+01 7.88033827e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 -1.11272765e+00 -6.27132387e+01 -8.45874869e+01 2.00619098e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.56457517e+00 2.15998770e+00 5.33776864e+01 -4.81947549e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 -2.24022665e+00 4.39276410e+01 -8.92683230e+01 1.06959051e+02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 4.71841470e-01 1.62975567e+00 1.67266748e+00 8.91715743e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.76552474e+00 6.77671729e+00 1.69864779e+02 -3.16172131e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 1.28747370e+01 6.78113149e+01 1.03827561e+03 -3.10659341e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.11395907e+00 1.36878213e+00 4.39346960e+00 5.76549916e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 3.19304400e+00 2.06586322e+01 6.18754040e+01 7.90969581e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.82736057e+00 2.29096134e+01 4.51781045e+01 8.06536204e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 3.65320493e+00 4.86088658e+00 3.58503203e+01 1.55184732e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 8.71746448e+00 3.65894365e+01 3.04893153e+02 -1.35466581e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 1.62689011e+00 5.19061160e+00 7.34664351e+01 2.35509086e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 1.43854332e+00 4.40476624e+00 6.80049311e+00 1.68132669e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.60717556e+01 6.13906742e+01 7.60960114e+02 -2.22632328e+02
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 1.79231335e+00 1.17954901e+01 1.48606669e+01 4.28056761e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 4.18628597e+00 4.77125980e+01 1.41594915e+02 1.37853935e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 3.20500248e+00 6.18358192e+00 1.34139721e+02 2.64500046e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 -4.41399817e+01 4.92354814e+01 -2.14016268e+03 1.19419876e+03
