G	c	dx1dt	d2x1dt2	d1	d2	m2	m1	W	Fc	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.044044947708267834e+00	3.500812690073312972e+00	3.660221555041661023e+00	6.845367831226997879e+00	6.214894211541912128e+00	2.534652483159987479e+00	4.935870691790525733e+00	2.664906592064518520e+01	9.895820541539137594e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.891946478907930995e+00	5.612661271680080333e+00	2.860819438272832915e+00	7.234385275968090667e+00	8.200694375678196479e+00	3.281739138421325475e+00	6.270810315411734948e+00	1.675259644138476460e+02	-2.863894543456484243e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.845665836991143394e+00	8.847757012879812422e+00	9.027505063213434156e+00	3.972670543799747822e+00	8.006302661636476969e+00	4.199220031191926239e+01	7.251750902851917147e+01	2.828672146302402325e+03	-1.213505510553433851e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.543506028776565842e+00	8.028556404009874470e+00	3.586460358348809940e+00	6.322058735866860957e+00	2.629787466812014252e+00	9.325362337068319185e-01	8.915457283651791798e+00	5.325690331966452362e+01	4.275470197747779366e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.884174763705523725e+00	8.550099487394598796e+00	3.056159205248085708e+00	6.679102432370832787e+00	1.427161426675199518e+00	1.099216858494600269e+00	1.312129053178415283e+01	9.377672079728624155e+00	5.803893270966185725e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.981375525694326178e+00	7.346572047996087207e+00	8.324056186200873952e+00	8.229098783959704733e+00	2.713719154579000481e+00	1.504746397402899838e+00	2.537382723647257876e+01	2.806040535181847417e+01	1.135913087208880370e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.739592117009637340e+00	7.731411750747779976e+00	5.135001997026148679e+00	8.507918833275285309e+00	4.664384736946150412e+00	1.862560515902137892e+00	1.811764915770185524e+01	2.271926468509570896e+01	8.072507038912038979e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.971941373821042731e+00	7.671370094771461368e+00	8.201111303570186806e+00	1.745766198378484901e+00	5.506394970987670945e+00	-1.178669142918095103e+00	-6.168419375911599190e+01	-8.017809184152663704e+01	2.011570596748935316e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.916964566423042804e+00	2.460188404193319300e+00	2.383692263092755947e+00	7.114197849733863599e+00	6.590332825679823259e+00	2.468422609483433394e+00	2.440318670653430999e+00	4.934728608537794514e+01	-7.879995149217521089e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.762274814739684281e+00	6.056364593874497437e+00	5.585024544689163761e+00	2.487977026678890979e+00	1.651148418286986885e+00	-2.243814950346877612e+00	4.435340941274757398e+01	-9.522181005232947371e+01	9.501738872162806615e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.016010849256991921e+00	2.555991319386894833e+00	1.341953537278725905e+00	5.687181615364872656e+00	1.751668187337207305e+00	3.462586686656433654e-01	5.610287535984674889e-01	-1.498180673057572188e+00	1.504123946030347980e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.472242843644504973e+00	9.514808710225180377e+00	1.518276358590739283e+00	3.347837084831347454e+00	4.656590377092117983e+00	1.552259919692252854e+00	5.708348199675556955e+00	1.762970395667260277e+02	-3.188369193800614454e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.071845569844160906e+00	8.793995096593491212e+00	9.083584199133092341e+00	4.304920405744740997e+00	7.138971519432276480e+00	1.288328490037157614e+01	6.880731087384017997e+01	1.029041774355836424e+03	-3.037086257681438042e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.454511391601565951e+00	1.129562482235565657e+00	2.425649166372812360e+00	4.724326223933761781e+00	2.391959375610862804e+00	1.174025746300405126e+00	2.648248814406405138e+00	-2.174341989957327748e+00	1.011018207270045544e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.011782961877429887e+00	7.155846583297945429e+00	6.544565584791991242e+00	6.674689668455694225e+00	7.854906123200652068e+00	3.329677199163729284e+00	2.164235144138090661e+01	5.939744896516059214e+01	9.125721156747576401e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.899701948880608615e+00	8.805710878821461307e+00	4.362058887306151433e+00	5.811955577080111013e+00	3.390857803700558115e+00	1.895601800563164296e+00	2.225042784158476650e+01	3.990820428143521070e+01	7.940802961329895027e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.601326456275613097e+00	2.039331777633609732e+00	3.746500063502451461e+00	7.442413370026254249e+00	9.186629678137027355e+00	3.874171503282056950e+00	4.312728124371902005e+00	3.562523304372469113e+01	1.205292495711084122e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.128728187833975660e+00	6.288784311242517688e+00	9.808054360983073039e+00	3.953538360384329042e+00	9.237864958376086122e+00	8.870488039659798929e+00	3.528424472096274656e+01	3.125334424955875079e+02	-1.462069497086923420e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.125983889533614501e+00	8.790075687666242032e+00	8.838039580505787640e-01	1.072458117620798346e+00	3.233064766153896041e+00	1.709871165346515953e+00	6.266770756749375337e+00	6.696424155418363000e+01	3.208506561148832148e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.288025004048551914e+00	9.682128583436190317e-01	7.093427235049770019e+00	7.905111779868223998e+00	3.097625736637575677e+00	1.491229411551103112e+00	1.657186909734836178e+00	6.009924390378780679e+00	1.646329199932829468e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.036864885960000926e+00	6.060521715176084179e+00	9.343779972000220368e+00	4.393994849825955562e+00	4.526211836696984570e+00	1.621005409064508740e+01	5.830301102401374891e+01	7.609155479775031381e+02	-2.252124071546802782e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.111190453062998351e+00	4.754392051704601663e+00	5.114160856254100551e+00	4.794026991514434677e+00	2.979507649153472659e+00	1.543506688266986115e+00	8.987111323320302603e+00	1.305346370276900458e+01	3.377646986000755902e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.753087475959215880e+00	9.843517136173570492e+00	9.540855204281225355e+00	8.016757745122292889e+00	7.224100582854370067e+00	4.132313897481322051e+00	4.471114902595963514e+01	1.330693564166087981e+02	1.338269480733984267e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.983790519272536912e+00	9.464255896104608823e+00	2.086077761380935591e+00	4.227276034571507246e+00	7.935836202693835162e+00	2.996056323149005607e+00	8.084645783682434583e+00	1.306946292549354496e+02	8.024324141984028103e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.995506114543227127e+00	8.998225672625412841e+00	4.734875343234574707e+00	2.095739383041523851e+00	6.401587203761181399e+00	-4.406543065621580268e+01	5.033762727356683797e+01	-2.143591626315485428e+03	1.189794296065420212e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.026211296922026506e+00	5.273985557489960563e+00	2.523299891987998755e+00	4.574878333060580005e+00	8.692985751361614888e+00	3.684213703196500322e+00	6.634713388891968933e+00	1.635279906355178809e+02	-3.126881273309372133e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.469181721399182461e+00	8.749185966602004427e+00	7.637613655232149412e+00	9.705338424088195026e+00	4.283363939721020586e+00	2.415849924081558964e+00	3.143639227604989372e+01	5.313232388674204287e+01	1.220395518563795747e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.208692516480306622e+00	7.891104514650097101e+00	9.414263795451590866e+00	7.183080087384536405e+00	2.218924474589864637e+00	1.495620211565975133e+00	4.970759001455851944e+01	6.683503752563207456e+01	1.414214940351527900e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.684950266942306207e+00	2.453001232149064847e+00	1.862371133620812858e+00	6.736531762716676752e+00	6.590953096187206484e+00	3.032068266530981049e+00	6.356567844422110980e+00	7.194954210507756898e+01	-4.052700053373694544e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.951674990367352258e+00	8.167575049201923676e+00	6.842910237379031813e+00	6.389710775188954806e+00	4.768856724089836518e+00	2.108623804176843031e+00	3.231313410171698308e+01	2.313786521687664788e+01	1.201737816020039844e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.236969971532030144e+00	4.633391094541532418e-01	3.068725862381673775e+00	2.980152156649551465e+00	7.326866330668983629e+00	3.460689648062802437e+00	1.693485208448207935e+00	4.087039149943436200e+01	-7.040919627776410117e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.179510889207960656e+00	6.461770243544479264e+00	6.738260216108145073e+00	5.815801296818182919e+00	3.821476858541191568e+00	1.854676717730945334e+00	1.990704477381069637e+01	3.376949595864775944e+01	7.741428269597606970e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.522782041485530424e+00	3.169149089090871119e+00	6.145466347164884269e+00	6.924390624681595163e+00	1.942040957584627137e+00	5.980870388508774393e-01	5.819593773386784186e+00	-2.207830280183963545e+00	3.508662765738012013e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.828609454212072549e+00	1.543688588468163925e+00	1.010747196822144645e+01	8.138817225037233705e-01	9.107502304989179009e+00	-4.981008245730503603e+00	-4.173226738991180582e+02	-9.840276350689519802e+01	1.092153207602611218e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.947290199299153812e+00	1.395181255942011145e+00	6.992228841473438372e+00	3.357900539717509236e+00	2.530548113047346614e+00	2.153595445166640587e+00	8.271794698160414683e+00	3.227330271496663272e+01	4.890702400490735791e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.887017251106551718e+00	8.247406531999407875e+00	3.436265071079416700e+00	4.044908205751867492e+00	9.563997104668812810e+00	5.416236889182973968e+00	1.594748425073381348e+01	3.305352536847884721e+02	-6.951271721217163702e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.463262405689977008e+00	4.490090741517712480e+00	2.922377752657804528e+00	4.915982153990501757e+00	9.271056140965361791e+00	4.006245718258341526e+00	3.086531038569849450e+00	6.015812381941833564e+01	1.348887343781882819e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.856087831666068944e+00	7.271305679977378311e+00	3.061013589194708118e+00	9.190316523781440594e+00	8.416736612019661834e+00	2.811373958560938746e+00	9.224238961584543262e+00	4.280145259166884131e+01	4.725943825453032332e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.094281392691899946e+00	2.863259740031940392e+00	2.825143991891966966e+00	1.650339199260058676e+00	7.838187826639523514e+00	6.377468503847555148e+00	3.826977970452162481e+00	6.948255541588510198e+01	-2.489690821609477211e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.697890336627527752e+00	3.171738115842501315e+00	3.635088917713027890e+00	4.730185488872077570e+00	7.013677651671573976e+00	2.733468911396742751e+00	5.493231462937380627e+00	4.794458993567783978e+01	1.535458707062004180e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.100774037144120587e+00	5.403306897151093580e+00	8.976390122706705554e+00	2.954738556477489286e+00	9.133793060400673625e+00	-2.814784750700858851e+01	5.893554643922751524e+01	-3.483045394435181379e+02	3.029019395282533083e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.165344283684764726e+00	8.055027725615982348e+00	6.862805758727891892e+00	9.568757135855079810e+00	3.588490569021885790e+00	1.542042089371075342e+00	2.207731952066277969e+01	5.749552828818746519e+01	7.031219995341351137e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.758021079865433212e-01	3.017049454636558270e+00	5.627081753790596608e+00	1.975324268250830517e+00	5.091726130703926323e+00	3.013621565209632536e+01	2.099945385245398199e+01	1.525360131073616401e+02	-2.543255562024846483e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.623437859172012665e+00	7.628999261715731173e+00	1.620876191059155591e+00	4.863660553007101761e+00	6.081831328646758905e+00	2.710478252453371706e+00	4.819615323140700625e+00	1.532564963675961280e+02	-2.846110426067218668e+01
