G	c	dx1dt	d2x1dt2	d1	m2	Fc	m1	W	Fg	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.324050220040057901e+00	2.501870559031354357e+00	1.629193269126740118e+00	3.334793027915063046e+00	7.012022716663444122e+00	6.121196030612463090e+00	7.244914152133230800e+01	1.282465911842268902e+01	-2.489135070786683723e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625449068596536151e+00	5.848007422691523516e+00	1.608696362105417332e+00	3.309248141261048382e+00	8.177885231858669002e+00	8.322233056565423226e+00	1.078953655274121530e+02	2.296663251223802860e+01	-1.143510542704084365e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.523763487896014013e+00	8.808303850404261226e+00	8.562035867325230587e-01	9.186598378977404167e+00	3.312437080485556518e+00	7.926406701291511148e+00	1.168275111594956570e+02	3.599587153199978573e+00	-7.177133793833364805e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.432961751031650799e+00	7.609440076078068493e+00	8.649257750626282437e-01	3.224155497018159178e+00	6.640880560582893999e+00	2.322619074368805325e+00	2.620014456840478445e+01	4.334121491648471824e+00	-1.091958348978352866e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.448581572108500026e+00	8.441840257590818908e+00	2.922118837285813120e-01	3.511601371881222011e+00	6.085562300723884377e+00	2.356848223511817331e+00	2.424150601301958829e+01	3.666584291846405996e+00	-1.422890217305330474e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.351225728805578896e+00	6.967723468256636465e+00	3.424323982687031420e-01	7.859177617704199648e+00	8.476832653388486349e+00	3.390096025695887416e+00	1.135711613534044062e+02	1.028387823541783774e+01	-7.604308278015957967e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.630098817426910429e+00	7.382694804827872659e+00	2.208478380771440597e-01	4.996165900213232369e+00	9.124927291233786875e+00	4.211705598995413524e+00	9.764551157837384210e+01	1.487750277562759216e+01	2.654733851804192923e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.808116346725885393e+00	8.674402403990455923e+00	1.015531170176969811e+00	8.093031614259780682e+00	1.112276752166137195e+00	4.691615299813388873e+00	2.089397859729655593e+01	2.580816545462319422e-01	-4.213536096609084680e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.445425798464731848e+00	3.211970527578249968e+00	1.999515587973867525e+00	1.602622936417902322e+00	7.138201613894915809e+00	7.179422606519739958e+00	3.949830040045890200e+01	1.470417528135178209e+01	3.807667137498542131e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.290000704059817593e+00	5.424179783292874646e+00	1.364034228234125790e+00	5.389178600223284654e+00	1.458462605300872239e+00	1.534725709617688283e+00	5.372846497867891813e+00	1.603830162964572648e-01	-2.698576594560992969e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.299878541123292486e+00	3.089944678570707204e+00	4.058089845707739118e-01	1.255282867199901231e+00	5.934955835988318107e+00	1.294650663308959615e+00	4.529704822258688424e+00	1.898738338646091206e+00	7.786418930333387500e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.662911864759962555e+00	9.990793486712510330e+00	9.735849916807021165e-01	1.629008822859039141e+00	3.684925147852683658e+00	4.555239290244405659e+00	1.310791717281943392e+01	2.382771444664484761e+00	1.244636901713747357e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.547453790434571985e+00	9.464527146148121517e+00	9.010550674148081196e-01	9.186499226574969867e+00	3.808421719868377853e+00	7.254865515361439421e+00	1.251993419846924098e+02	4.290009609635157872e+00	-6.547927168252017260e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.857211880980678576e+00	1.368926303316420512e+00	2.152367370995780238e+00	2.287952679640952613e+00	4.207703705073153166e+00	2.763365741262062247e+00	1.255328270188380202e+01	1.915118491708854176e+00	-2.577314722704872274e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.602923113438775804e+00	7.270664207451181582e+00	3.579208381481229773e-01	5.763762027779704589e+00	6.697633055747655106e+00	6.849605089188623985e+00	1.295076193967564961e+02	1.217178407842956567e+01	-2.644451291867327214e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.693330395946694100e+00	9.373112459983858002e+00	2.773651894207642687e-01	4.745916547032149602e+00	4.032965012119855253e+00	3.225311435493467105e+00	3.109844101426373086e+01	2.023107209954760233e+00	-1.642911183286015486e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.793794517795652244e+00	2.711593651203589417e+00	1.415302706113732878e+00	4.176437109285558336e+00	7.486753287788093125e+00	9.018200897357822043e+00	1.415152039493354152e+02	2.170695205914308090e+01	-5.141204083095535005e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.654002048424889182e+00	6.113721175618718640e+00	9.402353052123467725e-01	9.061572506112730352e+00	4.685821793550202230e+00	8.977377980221806553e+00	1.905178806687943904e+02	8.175683785601354003e+00	-1.095072822893593489e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.946524893129399914e+00	9.202267065628840115e+00	5.375312278951890343e-01	1.118169312201789278e+00	1.528997405340568161e+00	3.742491210472820740e+00	3.401320007294664993e+00	3.901741794104354732e-01	-4.182980310662479662e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.677619833176506425e+00	1.325548455710814810e+00	2.771940457765095900e+00	7.006208574454947602e+00	8.078307327564626661e+00	3.035245336900756374e+00	8.508936388629624048e+01	8.243576400334085008e+00	-1.510012094930599424e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.455911113425622183e+00	7.300006306092438280e+00	8.980726790631718970e-01	9.583675174006533126e+00	3.479053546426769117e+00	4.635409824430692716e+00	8.092413130418938749e+01	2.268747614075521835e+00	-1.051937301156029392e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.341968497265206839e+00	3.680655227744447977e+00	6.130207910214610090e-01	6.049907431530391122e+00	4.869629283920298590e+00	3.202655222585879979e+00	4.544741900690721081e+01	3.101103861536722572e+00	-7.118620766919070775e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.550452203761682135e+00	9.329507960709305436e+00	3.907669491085943303e-01	9.406706843806388108e+00	7.149301927656358302e+00	7.071290743618089181e+00	2.389863624842326431e+02	1.515764491107896106e+01	-2.697709737894802373e+01
