G c dx1dt d2x1dt2 d1 W Fc Fg m1 d2 m2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 7.50132297e-01 3.35535115e+00 7.05432695e+00 1.57770464e+01 0.00000000e+00 -9.85401080e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.40303398e-01 3.22280919e+00 8.17013257e+00 3.86872105e+01 0.00000000e+00 -5.73777119e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 2.25822523e-01 9.15629122e+00 3.25421109e+00 6.59732787e+01 0.00000000e+00 -3.62362964e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 2.63503779e-01 3.24591580e+00 6.62386690e+00 4.07973546e+01 0.00000000e+00 -4.03256705e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 2.42158592e-01 3.44754754e+00 6.14571385e+00 4.37474476e+01 0.00000000e+00 -1.82143689e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 2.88639844e-01 7.83458436e+00 8.49547339e+00 1.15296804e+02 0.00000000e+00 -2.17072826e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 2.76606462e-01 5.04765858e+00 9.15478354e+00 8.35306259e+01 0.00000000e+00 -8.26594093e-03 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 2.31407536e-01 7.99039501e+00 1.10941094e+00 1.91537229e+01 0.00000000e+00 -3.83886544e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 6.15950896e-01 1.58829542e+00 7.06617927e+00 9.11045039e+00 0.00000000e+00 -9.43626820e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 3.70039755e-01 5.38814074e+00 1.46652219e+00 1.06769987e+01 0.00000000e+00 -5.89506951e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 6.68698401e-01 1.30252240e+00 5.93972799e+00 5.78484168e+00 0.00000000e+00 3.55138543e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 2.02244672e-01 1.56387883e+00 3.58869456e+00 1.38749847e+01 0.00000000e+00 -3.42127102e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 2.10603151e-01 9.15793708e+00 3.76098940e+00 8.17720533e+01 0.00000000e+00 -3.46805613e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 1.47618765e+00 2.25320834e+00 4.17662653e+00 3.18753843e+00 0.00000000e+00 -1.43108233e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 2.72102307e-01 5.79178614e+00 6.59163204e+00 7.01525163e+01 0.00000000e+00 -2.34578127e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 2.14425822e-01 4.69986042e+00 4.00644969e+00 4.39073853e+01 0.00000000e+00 -1.86164096e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 7.61853070e-01 4.12608994e+00 7.59429146e+00 2.05648115e+01 0.00000000e+00 -9.12296552e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 3.27251523e-01 9.09850011e+00 4.64074647e+00 6.45128124e+01 0.00000000e+00 -4.82951845e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 2.16464397e-01 1.19641057e+00 1.61517880e+00 4.46359082e+00 0.00000000e+00 -3.00060763e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 1.53196388e+00 6.97410718e+00 8.05383858e+00 1.83321337e+01 0.00000000e+00 -1.79471688e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 2.74846751e-01 9.67054991e+00 3.57182492e+00 6.28377652e+01 0.00000000e+00 -4.22971309e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 5.44048763e-01 6.04151365e+00 4.89490192e+00 2.71782777e+01 0.00000000e+00 -3.64450320e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 2.14602274e-01 9.43140216e+00 7.16899495e+00 1.57532521e+02 0.00000000e+00 -2.51813178e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 2.05348840e-01 1.47032091e+00 3.99210541e+00 1.42919631e+01 0.00000000e+00 -2.67339585e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 2.10561814e-01 4.76913987e+00 1.50927091e+00 1.70921876e+01 0.00000000e+00 -2.97376078e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.79655914e-01 3.34142012e+00 4.36528942e+00 1.92098495e+01 0.00000000e+00 -6.18116027e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 2.28352631e-01 7.57738868e+00 9.50003724e+00 1.57619105e+02 0.00000000e+00 -2.11784916e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 2.32532599e-01 9.83167381e+00 6.77560958e+00 1.43239235e+02 0.00000000e+00 -3.41116341e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 5.16541698e-01 3.30877056e+00 7.04331234e+00 2.25583962e+01 0.00000000e+00 -7.88343835e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 2.36399933e-01 6.88757141e+00 6.69053938e+00 9.74652723e+01 0.00000000e+00 2.73220912e-02 0.00000000e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 1.50029776e+00 2.78287869e+00 2.79092925e+00 2.58842537e+00 0.00000000e+00 -2.30471421e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 3.14147857e-01 6.08797229e+00 4.76500478e+00 4.61712795e+01 0.00000000e+00 -2.56481611e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 6.51448921e-01 5.17539238e+00 7.75845819e+00 3.08182761e+01 0.00000000e+00 -7.02326110e-02 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.59185703e-01 9.74804797e+00 1.91235608e+00 9.71748157e+00 0.00000000e+00 -1.61673973e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 1.18162887e+00 6.47674545e+00 3.50067498e+00 9.59395174e+00 0.00000000e+00 -1.99745436e+00 0.00000000e+00
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 2.75231921e-01 4.14555735e+00 3.48687198e+00 2.62597225e+01 0.00000000e+00 -4.50688824e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 4.92747414e-01 2.02686206e+00 4.88817035e+00 1.00534744e+01 0.00000000e+00 -5.90403878e-01 0.00000000e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.65854890e-01 2.36122146e+00 9.82331867e+00 4.36234798e+01 0.00000000e+00 -1.07258550e-01 0.00000000e+00
