G	c	dx1dt	d2x1dt2	d1	W	Fc	Fg	m1	d2	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.335167139249831436e+00	2.580267871532689661e+00	7.564887854478272722e-01	3.296923739481836257e+00	7.062547027943186784e+00	1.572044404856680266e+01	0.000000000000000000e+00	-9.948145325564297092e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.565655917682747145e+00	5.941210028353396844e+00	3.373209616006240807e-01	3.244391664263921893e+00	8.132993483888155239e+00	3.866699645046757894e+01	0.000000000000000000e+00	-5.811350965801950208e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.565479454307545204e+00	8.851971073409941937e+00	2.312225416073183104e-01	9.109920533566407741e+00	3.235146240152617647e+00	6.649648222115658314e+01	0.000000000000000000e+00	-3.674016657327328073e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.426091184189496097e+00	7.569629308069308671e+00	2.619085929995302875e-01	3.217694351198085112e+00	6.620049411859385557e+00	4.161792918567500266e+01	0.000000000000000000e+00	-4.013383999800030910e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.416903852241187423e+00	8.269364234748049824e+00	2.427201361053690776e-01	3.246824450836435449e+00	6.061002405045914365e+00	4.383055315711672506e+01	0.000000000000000000e+00	-1.805203513661558234e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.407009049937478995e+00	6.964203900029821703e+00	2.969840331268359113e-01	7.950102752893035252e+00	8.536920525806982241e+00	1.149443290547918366e+02	0.000000000000000000e+00	-2.212055448247411960e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.607095224831343927e+00	7.180175871483476691e+00	2.712848359418275623e-01	5.078058415332338704e+00	9.128870134659162972e+00	8.330315632085981292e+01	0.000000000000000000e+00	-2.181959965636356968e-02	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.831431364817960983e+00	8.597377318288286219e+00	2.324447764059449084e-01	7.948024755764064864e+00	9.587179299030520463e-01	1.907740698208737129e+01	0.000000000000000000e+00	-3.748964421582517414e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.372671133956601786e+00	3.283150610382876255e+00	6.181861817236536938e-01	1.526195851921921198e+00	7.064887044866659416e+00	8.681074798024024375e+00	0.000000000000000000e+00	-9.453653774139458843e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.368005980386613807e+00	5.309842522362091977e+00	3.726935093694621060e-01	5.360772743028528353e+00	1.426378153675933014e+00	1.018559223485186571e+01	0.000000000000000000e+00	-5.962983232121140675e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.181152573239483194e+00	2.958383405629535279e+00	6.663978986150195238e-01	1.342105989838315638e+00	6.031150275612642275e+00	6.658966440192559233e+00	0.000000000000000000e+00	3.568111880850234896e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.733535813441827500e+00	1.005817022102248437e+01	2.128915678296950664e-01	1.459404493663314817e+00	3.557002223082004200e+00	1.400112009809989466e+01	0.000000000000000000e+00	-3.408832827073716154e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.628618012276740856e+00	9.442681991133877517e+00	2.039946852336436411e-01	9.150119281738740895e+00	3.701569843848217634e+00	8.142478666953996935e+01	0.000000000000000000e+00	-3.487687369584532293e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.931123650291400651e+00	1.418695356967925703e+00	1.483632824728462030e+00	2.350977014129834064e+00	4.204122832356108397e+00	3.527915206334708120e+00	0.000000000000000000e+00	-1.430178685554225781e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.526235362375797155e+00	7.317579196138812136e+00	2.783031887215273170e-01	5.729173574734184093e+00	6.555879544452922758e+00	6.966135795839177547e+01	0.000000000000000000e+00	-2.416051866042188134e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.621262632510849233e+00	9.355553834224910048e+00	2.241266862956116934e-01	4.704299001726788276e+00	3.964254799514657979e+00	4.345054545601679052e+01	0.000000000000000000e+00	-1.815408796499131672e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.633594241982996742e+00	2.661580936203756576e+00	7.537478217395849889e-01	4.247749030234545309e+00	7.621872682672766075e+00	2.023008729151460727e+01	0.000000000000000000e+00	-9.183613688967361410e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.704958179318288636e+00	6.174312691488490046e+00	3.228175885132119616e-01	9.133405320164222019e+00	4.584422068398668060e+00	6.520244677999311023e+01	0.000000000000000000e+00	-4.866360563627299962e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.779945799977647347e+00	9.228254247726139781e+00	2.240782759564456106e-01	1.203363644566740609e+00	1.536291105840771554e+00	4.358185327404313192e+00	0.000000000000000000e+00	-2.961135324835901250e-01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.573889090666236612e+00	1.416158560071549832e+00	1.522384728280969268e+00	7.002081879589250768e+00	8.147273331765767068e+00	1.731438116606025801e+01	0.000000000000000000e+00	-1.787392141614737140e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.424369902092036178e+00	7.243996699041230336e+00	2.666484598213142432e-01	9.648415523076234734e+00	3.603195362277796132e+00	6.334214499508996710e+01	0.000000000000000000e+00	-4.133236514082450075e-01	0.000000000000000000e+00
