G c dx1dt d2x1dt2 W d2 m1 Fg Fc m2 d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 1.78398116e-01 6.14796290e+00 4.54271968e+00 1.36577298e-01 3.37824327e-01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 6.71184285e-02 8.24889096e+00 5.26092093e+00 4.17891694e-02 2.34481353e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 3.17695553e-01 7.84144837e+00 8.69092654e+00 1.54139523e-01 2.50110484e-01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 6.45628220e-02 2.38509914e+00 4.06003947e+00 8.59425174e-02 3.95727955e-01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 6.79215855e-02 2.34324523e+00 8.82684716e+00 7.33620111e-02 8.94087799e-02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.33092831e-01 3.41356931e+00 1.79320988e+00 2.26419575e-01 4.88042519e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 7.62560345e-02 4.24967254e+00 7.99118593e+00 5.49729936e-02 1.58953504e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 8.33342071e-01 4.67610023e+00 8.62792870e+00 5.49599241e-01 2.78897989e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 6.92249622e-02 7.11727495e+00 2.63635888e+00 7.19682426e-02 4.63927418e-01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 6.79780468e-01 1.51012389e+00 4.87311879e+00 1.17928957e+00 5.64845164e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 7.33194053e-02 1.31205434e+00 2.48949797e+00 1.70665722e-01 4.30330525e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.40670215e-02 4.52719507e+00 7.35943716e+00 3.14433428e-02 5.87652179e-02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 2.56407318e-01 7.27447323e+00 5.81812991e+00 1.58635891e-01 5.48505086e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 3.98187186e-01 2.74091809e+00 6.71791012e+00 4.09095184e-01 1.71491581e-01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.19542350e-01 6.77354033e+00 2.76838270e+00 1.21659449e-01 1.51678950e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.25768637e-01 3.33845324e+00 2.90571276e+00 1.61911916e-01 1.12025252e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 2.06962974e-01 8.97477498e+00 1.37347593e+00 3.47492136e-01 4.41993589e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 3.20799471e-01 9.06120950e+00 3.89860782e+00 2.35378504e-01 1.21470243e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 8.01707813e-02 3.67558484e+00 6.03770195e+00 7.01801354e-02 7.10748885e-02
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 6.63291187e-01 3.06994379e+00 8.72141423e+00 5.84225772e-01 2.29058913e-01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 3.72067400e-01 4.70173575e+00 7.00234703e+00 2.64537444e-01 4.06802435e-01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.35745035e-01 3.16478427e+00 4.91856691e+00 3.48697109e-01 5.22448778e-01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 1.41163466e-01 7.05145459e+00 9.57808103e+00 6.95144690e-02 2.06937819e-01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 3.78157217e-02 8.43458216e+00 7.47320681e+00 1.90871741e-02 5.34370473e-02
