G	c	dx1dt	d2x1dt2	W	d2	m1	Fg	Fc	m2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.452656382238261656e+00	2.664088322750513438e+00	3.389877457967348295e+00	6.981188217226667270e+00	1.791183392920329964e-01	6.087867119079549028e+00	4.535494366482524242e+00	1.352088598518745022e-01	3.366077779784042989e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.485383514591990917e+00	5.948400114944314865e+00	3.224481346882574595e+00	8.124744218393567863e+00	7.193484078311848662e-02	8.262424578637828532e+00	5.228470817156718020e+00	4.949794256308766294e-02	2.404154926879887300e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.643229948689745257e+00	8.859164637376689910e+00	9.243154309308454941e+00	3.276433363788353592e+00	3.189583550420995728e-01	7.784901463983708858e+00	8.756166704180115445e+00	1.583370659593330565e-01	2.596886168137522155e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.432434066077546753e+00	7.498425987179970775e+00	3.331237819768116282e+00	6.624381811606296466e+00	6.685112664777358160e-02	2.346583167784840995e+00	3.982560413948153411e+00	8.522493748514420320e-02	3.831419198733342912e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.441967278359393756e+00	8.282976859606513642e+00	3.471458852011360285e+00	6.128999415058649092e+00	7.373305273696159623e-02	2.362526441459011473e+00	8.956369415039187487e+00	7.669730325344850663e-02	1.119161043049272525e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.464405057866025484e+00	6.884332282889741528e+00	7.851880284584092706e+00	8.446134401035044093e+00	1.342992442212269932e-01	3.281256826486515177e+00	1.841343553581567205e+00	2.217382946603748961e-01	4.886555779417904866e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.517740744614537007e+00	7.162797399685957522e+00	5.051299066068876797e+00	9.240144341024709718e+00	7.580595039324337925e-02	4.339134260676367205e+00	7.893642984651603633e+00	5.592377010575688701e-02	1.653295868302824267e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.694430658261644851e+00	8.596355293057886371e+00	7.843790633004779522e+00	1.064047979084964624e+00	8.303384861096433367e-01	4.678477285280257192e+00	8.615630530762173223e+00	5.460359529057918770e-01	2.584992078214121136e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.406122407886449821e+00	3.277192435227424649e+00	1.511292703226221112e+00	7.079798933211677081e+00	7.664549125092914861e-02	7.046847764899460742e+00	2.627112146992265806e+00	6.555306380652731191e-02	4.736792101123173393e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.319006706351058433e+00	5.474851518244049586e+00	5.393699690462210761e+00	1.440112004656184830e+00	6.817126402965510978e-01	1.454715064688146819e+00	4.894618397437549895e+00	1.182270123997490874e+00	5.710605572462486013e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.145649968264480290e+00	3.017751124996571388e+00	1.336537193002937274e+00	5.941691924313821538e+00	6.985684944721913536e-02	1.366068801606943106e+00	2.435218893202797830e+00	1.741175763456611902e-01	4.502649279615332789e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.661945078424874822e+00	9.924172506283674977e+00	1.579873387628299319e+00	3.613466693334983049e+00	3.976941013037467443e-02	4.559934110243600180e+00	7.361194128111741897e+00	3.318035236740476956e-02	5.494492523869551337e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.466148391361256742e+00	9.522850305279291661e+00	9.108658274410968758e+00	3.686812266473371569e+00	2.610054477706287845e-01	7.350010449932732115e+00	5.811485081316411616e+00	1.579407756973765786e-01	5.363831279557200737e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.878760882234203677e+00	1.360478288662248847e+00	2.304968648384976060e+00	4.176268367864613751e+00	3.943802834083512399e-01	2.703729442931302351e+00	6.677443045946295896e+00	4.042841247137597960e-01	1.631181666086197468e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.507743274590986893e+00	7.388947886667840415e+00	5.873641533468950016e+00	6.656090652120536078e+00	1.263450128225135083e-01	6.789695097098649157e+00	2.720282490897404148e+00	1.172473429781180077e-01	1.510591683614933123e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.688538763383698793e+00	9.192674613609522538e+00	4.751652937162440082e+00	4.101806400699343769e+00	1.156537694345672190e-01	3.361688171926241253e+00	2.956120040465838539e+00	1.582294967819984077e-01	1.106520432552014377e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.858350869303925013e+00	2.631358127999273488e+00	4.180732166572483699e+00	7.587253315516383267e+00	2.121832011839305809e-01	9.012645838525994435e+00	1.280398351173740901e+00	3.466043811322955803e-01	4.435770582230922798e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.755619310063215366e+00	6.053376262890108883e+00	9.067621610143202560e+00	4.643002830230361866e+00	3.225861363373292989e-01	9.122611915514937664e+00	3.924825120540398338e+00	2.394670453229099105e-01	1.230997840373829755e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.876522298478088935e+00	9.304088761290337573e+00	1.255819903001482274e+00	1.734886558843357740e+00	8.060596471132165652e-02	3.636515848720846211e+00	6.081454804164901695e+00	7.420874728444037949e-02	6.867185223177665887e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.618099215910633770e+00	1.297327331181592935e+00	6.982155464145801460e+00	8.115276292207948217e+00	6.626473405328687782e-01	3.063724994994245332e+00	8.709423725273763850e+00	5.779626518098717192e-01	2.242384005269112968e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.483890994061328961e+00	7.278504100350894568e+00	9.698796223692911056e+00	3.538408988795435750e+00	3.790054519268114541e-01	4.668501211227291670e+00	7.005220298469293283e+00	2.619037614572389816e-01	3.845202399089573952e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.260318078729293578e+00	3.592411577538945799e+00	6.061691522958636114e+00	4.861394021954644984e+00	3.383395944916944287e-01	3.161918528667428063e+00	4.982398344658977685e+00	3.459611247292410097e-01	5.309906116325525671e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.627298847601177378e+00	9.376133646034000790e+00	9.424694065377645202e+00	7.220776563539136994e+00	1.378491514015077746e-01	7.089497859777211808e+00	9.539411604551014889e+00	5.989665932763497264e-02	2.272312049081262053e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.251736450276077051e+00	9.774423450372236033e+00	1.422834570131543463e+00	3.937374174415039452e+00	3.150816457262411302e-02	8.344487708001853576e+00	7.440199072354337417e+00	2.123794033714376805e-02	4.561648081746188382e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.195712979397054454e+00	9.529382278121268257e+00	4.764604569656087030e+00	1.568153642701318073e+00	3.333273648816217904e-01	7.118256071440360877e+00	9.344303701389300443e+00	1.643341551901632835e-01	1.224817069818482929e-01
