G	c	dx1dt	d2x1dt2	d2	m1	Fc	W	Fg	d1	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.044044947708267834e+00	3.500812690073312972e+00	1.556619269987510323e+00	3.142212517022449525e+00	7.120845727824995919e+00	6.628539872287856127e+00	1.172172308646444394e+00	4.651996487734004759e+00	-2.040327316176439698e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.891946478907930995e+00	5.612661271680080333e+00	6.136937188863800241e-01	2.268345464111757970e+00	8.122233047182218613e+00	8.810074300250535728e+00	7.389327730583360454e-01	5.811023826990849628e+00	-1.339064961745541016e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.845665836991143394e+00	8.847757012879812422e+00	4.278391834519221781e-01	9.889121003796258691e+00	3.418049295859705072e+00	7.393262578776155003e+00	2.330957644485644187e-02	9.835372687493362776e+01	-9.806038978722647625e-03
1.000000000000000000e+00	1.000000000000000000e+00	6.543506028776565842e+00	8.028556404009874470e+00	5.899565333346595830e-01	2.938070993309933154e+00	6.867047080884191246e+00	2.299272801370321861e+00	4.122916226372775328e-01	8.058057377085210859e+00	-2.858059518542687139e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.884174763705523725e+00	8.550099487394598796e+00	4.119698390592058668e-01	3.991604741044444182e+00	5.235276364485001999e+00	3.014200374018944029e+00	4.062668902962027762e-01	1.733694349230830767e+00	-1.002055759548702851e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.981375525694326178e+00	7.346572047996087207e+00	6.677575696741936406e-01	7.562881838833463988e+00	7.799936787970518814e+00	2.744327155515554395e+00	2.547094857346615671e-01	1.178301261513017195e+01	6.170470196260685602e-03
1.000000000000000000e+00	1.000000000000000000e+00	1.739592117009637340e+00	7.731411750747779976e+00	5.693581776200791200e-01	4.387855551913419916e+00	9.566939642345351658e+00	4.865113601058313364e+00	5.290324414616806026e-01	1.057992788901361791e+01	-6.862628304911282118e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.971941373821042731e+00	7.671370094771461368e+00	5.017655552243387440e-01	8.639478384084320339e+00	1.934588127368221055e+00	4.356626063482435640e+00	6.701077237584536495e-02	1.479025862527894901e+02	-2.404159353898067258e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.916964566423042804e+00	2.460188404193319300e+00	1.378929293536930389e+00	1.637274447582506953e+00	6.542484973761147238e+00	6.651433826752843004e+00	1.868236527807319414e+00	2.092594470990321920e+00	-3.717988935444427767e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.762274814739684281e+00	6.056364593874497437e+00	7.764730855303487722e-01	6.430026295492564437e+00	1.606677508174554125e+00	1.492739247769388822e+00	1.104529066162598938e-01	1.316882296204530789e+01	-3.207649609600841112e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.016010849256991921e+00	2.555991319386894833e+00	1.344685566263102983e+00	1.044924696826100563e+00	6.376632260454996981e+00	7.036292193393632877e-01	7.059201248790391015e-01	4.014568118693988552e-01	-1.967906507839730645e-01
