G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	Fc	Fg	m2	m1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	4.614497483093424002e+00	4.062530528216402814e+00	6.853816795229035641e+00	-8.612667684282824254e+00	-4.647803004133220384e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	5.252738073087538595e+00	5.311658432569585919e+00	2.553362765493986775e+00	-9.058552663743656197e+00	-5.334649219549037014e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	8.634155261917655366e+00	2.094657008878761673e+01	8.835031101951654975e+00	-9.177316414204943484e+00	-3.845966114498457955e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	3.972883584954926217e+00	1.403250983456022505e+00	6.581833220390882033e+00	-8.245406180928278594e-01	-1.178362084276355581e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	8.784484812273202436e+00	3.324028031065586752e+00	2.365673012028348676e+00	-4.738147285386260066e+00	-1.768423257944253919e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	1.770709064782641118e+00	6.893155954257799145e-01	9.675996588939504761e+00	-5.393784390179462429e-01	-2.242023377877999835e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	8.036172561896428590e+00	3.819831279955606895e+00	5.744419700694392894e+00	-3.154860964102811582e+00	-3.774745089894187231e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	8.566436887126297250e+00	3.636070513757167788e+01	1.617647404199118455e+00	4.340116265932116413e+00	3.941951597927136675e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	2.721600511460393168e+00	2.554350764174116772e+00	6.625346197016385830e+00	-3.192128997176455929e+00	-1.543228077481698257e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	4.799760207455497252e+00	5.037523438121835895e+00	3.406369558110339035e+00	-6.168884609888194426e+00	-7.512892770796786301e+00
