G c dx1dt d2x1dt2 dx2dt m2 m1 Fc Fg d2 d1 W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 2.10241093e+00 6.14796290e+00 4.34840889e+00 3.25115940e-01 4.54271968e+00 7.40428093e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 2.53509658e+00 8.24889096e+00 1.13181483e+01 6.05499666e-02 5.26092093e+00 2.89608602e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 3.55407119e-01 7.84144837e+00 6.77334648e+00 1.45860094e-01 8.69092654e+00 3.79454693e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.04067736e+00 2.38509914e+00 1.03905957e+01 7.26326237e-02 4.06003947e+00 2.45702867e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.78263353e+00 2.34324523e+00 1.04579336e+01 2.19217359e-01 8.82684716e+00 1.26507625e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 1.08435534e+00 3.41356931e+00 1.28362156e+01 5.93863389e-01 1.79320988e+00 5.29888542e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 1.81366933e+00 4.24967254e+00 1.48063347e+01 6.82577147e-01 7.99118593e+00 6.01046239e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 1.38843066e-01 4.67610023e+00 2.16553938e+00 1.11447086e-01 8.62792870e+00 1.00713482e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 4.44890742e+00 7.11727495e+00 5.35948026e+00 8.27670199e-02 2.63635888e+00 2.25854700e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 2.72175925e-01 1.51012389e+00 1.48867540e+00 1.45055063e-01 4.87311879e+00 1.73411250e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 4.56017338e+00 1.31205434e+00 3.21578408e+00 6.35520880e-01 2.48949797e+00 2.34090397e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 2.29473952e+00 4.52719507e+00 7.98974434e+00 1.71351010e-02 7.35943716e+00 1.27132999e-01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 4.10680851e-01 7.27447323e+00 8.35483400e+00 1.20664059e-01 5.81812991e+00 6.06601441e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 1.85363531e+00 2.74091809e+00 1.19641564e+00 6.89773247e-01 6.71791012e+00 2.81286645e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.13810004e+00 6.77354033e+00 1.12797794e+01 3.68830778e-01 2.76838270e+00 1.34097868e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 8.52461420e-01 3.33845324e+00 8.12534215e+00 2.34295642e-01 2.90571276e+00 4.02445456e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 1.84055403e+00 8.97477498e+00 4.72107290e+00 4.85376678e-01 1.37347593e+00 4.13946328e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 5.10056209e-01 9.06120950e+00 6.71969417e+00 2.85047630e-01 3.89860782e+00 1.76674837e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 1.35002050e+00 3.67558484e+00 3.28407657e+00 2.95133890e-02 6.03770195e+00 4.61674076e-02
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 1.15482002e+00 3.06994379e+00 2.26044240e+00 1.71160961e+00 8.72141423e+00 3.99158454e+01
