G	c	dx1dt	d2x1dt2	dx2dt	m2	m1	Fc	Fg	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	2.086879937687056152e+00	6.140789255783986711e+00	4.324260268830155240e+00	3.246312383950571423e-01	4.585213620210994101e+00	7.434572776787908843e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	2.538594172074036592e+00	8.216672902784335264e+00	1.145418385488033231e+01	6.291426674710834388e-02	5.267391889160375484e+00	2.904566735194046068e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	3.407932883914534528e-01	7.906221991973692909e+00	6.847419886173257808e+00	1.496762463002928867e-01	8.680533367465161021e+00	3.956281408694799051e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.030723395524673069e+00	2.308174148307375884e+00	1.037793267569986710e+01	6.761805271480429702e-02	4.045217999175319434e+00	2.393950232012758583e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	1.787616514535146583e+00	2.471841251952464180e+00	1.051679099652516314e+01	2.281848038529236955e-01	8.791841872226466847e+00	9.639619078146479669e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	1.050160856911834362e+00	3.461358772457051813e+00	1.275360575339034419e+01	5.963059593176402995e-01	1.864266678832743107e+00	5.293354132759485964e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	1.836789576959875658e+00	4.152827138894720882e+00	1.482311290929368575e+01	6.851175276391894275e-01	7.991877892846448894e+00	5.763224751190633377e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	1.394573857861756971e-01	4.663890006816315825e+00	2.102658573568288780e+00	1.033197341213466930e-01	8.558296917135800541e+00	1.070322113299423394e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	4.430706407322144713e+00	7.108094341767912994e+00	5.246272569442265166e+00	8.665236212953832118e-02	2.615294130642066062e+00	2.004093762969163084e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	2.578562169138904347e-01	1.531469750517730821e+00	1.541272785903243348e+00	1.475314211477844473e-01	4.880159700559334013e+00	1.583867845317284972e+00
