G	c	dx1dt	d2x1dt2	dx2dt	d2	d1	Fc	Fg	W	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	4.614497483093424002e+00	1.786782279796004502e+01	3.070107484337823678e+01	6.899564804082904956e+00	-1.449160751074567521e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	5.252738073087538595e+00	5.076038961885743817e+01	3.393079254730606209e+01	2.597489300517441979e+00	-6.241832219392910552e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	8.634155261917655366e+00	1.589314789278802209e+02	1.589701587038672983e+02	8.853078352359752046e+00	-5.560867155320770472e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	3.972883584954926217e+00	9.019234729915305948e+00	2.706427430551803326e+01	6.610594485279080779e+00	-1.550671045068571630e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	8.784484812273202436e+00	7.865410497643818388e+00	6.031691160382214889e+01	2.462323444422481966e+00	-5.213883775380147689e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	1.770709064782641118e+00	1.562179375824473304e+00	2.826389789733157798e+01	9.637206433070737432e+00	-1.439574905310946740e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	8.036172561896428590e+00	6.249209925155478018e+00	8.155084512957877507e+01	5.590201262486921507e+00	-1.189405770320238709e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	8.566436887126297250e+00	3.198320970919161255e+02	1.374549628449934175e+02	1.633510234065791655e+00	-9.147613831533281115e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	2.721600511460393168e+00	1.647109412815799345e+01	8.195585464161339928e+00	6.663981402340095173e+00	-2.554169969501865012e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	4.799760207455497252e+00	3.710226999106365042e+01	5.392852169694089781e+01	3.311276543654855242e+00	-2.284951805952339932e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	2.617407503099896893e+00	9.956769700431394865e-01	6.771352673236032516e+00	8.307175163799769280e+00	-3.955011905809202233e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	7.454102220904407439e+00	9.031566559374371650e+01	2.271325505427939007e+01	8.300857771842148125e+00	-1.731124725129606290e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	5.825874545109051894e+00	9.617494351633534677e+01	1.070481872861565478e+02	9.786637117935988783e+00	-6.999739589013381114e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	6.627514680200069286e+00	1.315735987615019376e+01	2.993109255714329819e+01	5.452764614831227874e+00	-1.115247707385206866e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	2.765342035973179069e+00	7.063429457587608873e+00	3.112398118140091441e+01	5.021784194226484033e+00	-6.843626328464970321e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	2.884489967173598401e+00	6.188350396347500393e+00	2.814054318868279836e+01	7.747128494224779338e+00	-9.074051988813433667e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	1.303566234095762111e+00	6.161759056444660487e+00	1.066893007210807731e+01	2.212178807905623490e+00	-3.926883696110524902e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	3.914573133139815919e+00	4.286949795113969230e+01	7.242156247941208846e+01	5.964201776745769124e+00	-4.599976776853721638e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	5.992515402022251081e+00	6.729287945739827137e+01	1.415203107182856890e+01	5.864640027213500417e+00	-6.354801919446846803e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	8.682193205521910429e+00	1.130476237938723649e+01	1.229346984726759331e+02	1.761235284006016588e+00	-2.844069345612116440e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	6.991172852665747506e+00	6.040101311166098697e+01	1.346076657360209197e+02	4.665038312820835031e+00	-3.568610927320908122e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	3.126998903098987537e+00	4.887026374506557858e+00	7.550091233620953801e+00	6.004963980226230547e+01	8.691223477598263969e+00	-1.020960643126467637e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.626293109120901637e+00	9.194962663206332820e+00	9.456845314513040890e+00	7.196639915186946901e+00	7.039383968785225321e+00	9.692092451063848202e+00	3.440188347143812564e+01	1.809708462491173862e+02	8.665555857707596843e+00	-9.506542677743109238e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.316908599076862529e+00	9.659241458861918872e+00	1.448599150411121972e+00	3.904988658252869893e+00	8.528858761864260174e+00	7.443816538790357207e+00	6.757027903366262933e+01	2.248125807348126770e+01	1.983604220879758406e+00	-3.507514068769393756e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.063379489064411487e+00	9.492426529078166197e+00	4.818652948808580305e+00	1.507227804877244282e+00	7.021535228345361368e+00	9.395674357646040420e+00	2.237763533589847214e+02	8.997166458141680323e+01	1.838780635291659582e+00	-7.342785978551537029e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.941602393384615155e+00	5.354233508835794630e+00	3.304460048783061321e+00	4.386182707130630298e+00	8.509533638651605614e+00	5.756275386449063447e+00	8.921647342555148441e+01	3.811473204438250661e+01	3.354933019502143843e+00	-4.014109455860634057e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.802412702662744337e+00	8.770947792968179613e+00	7.674095386004435859e+00	9.468095257012805632e+00	4.619165158059432841e+00	3.349490983728385274e+00	4.054671890008817670e+00	4.967816093826552759e+01	8.838019457251682809e+00	-1.427403960535802341e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.585474039082747311e+00	8.525755900131828824e+00	9.826998578088527836e+00	6.695498936809621604e+00	2.428437445623373492e+00	1.498980743908860935e+00	2.808774002112267354e+00	2.898138529605162717e+01	2.078816504970069534e+00	-2.422482956934019160e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.289307183167157866e+00	3.805304017903934355e+00	3.223757794222930073e+00	7.058386359690315359e+00	7.682308238409489398e+00	7.583116741154514173e+00	5.205093837380539412e+01	4.999611497322808873e+01	7.405562010760036173e+00	-1.537628119114935465e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.398857313029454819e+00	8.553310292791671543e+00	6.821605151950111079e+00	6.810242262565770588e+00	4.245014366895050628e+00	2.106344692384166439e+00	1.899887732787737704e+00	2.852927470317230174e+01	1.876647483559422014e+00	-2.481511892263876362e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.460668716467147910e+00	1.298514013747442020e+00	2.785288539545682784e+00	2.769980347858616465e+00	7.111487909165332688e+00	3.737314339025392229e+00	6.138918699415907554e+01	2.089970269696054217e+01	6.570221903925029139e+00	-5.755633158629335000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.534225521119531255e+00	6.313970388958453306e+00	6.095692954240464978e+00	4.849953696543382264e+00	3.466678599561074936e+00	5.795446327470331838e+00	1.090489420889438321e+01	7.072476376079782767e+01	4.150252944388834742e+00	-4.783222341385622300e+00
