G c dx1dt d2x1dt2 dx2dt d1 m1 m2 Fc Fg W d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 3.08334830e+01 6.14796290e+00 4.54271968e+00 7.46696385e+00 5.70201451e+02 5.89821834e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 7.80772899e+01 8.24889096e+00 5.26092093e+00 8.51479734e+00 1.92318991e+03 9.57074003e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.46927763e+01 7.84144837e+00 8.69092654e+00 3.07542110e+01 2.39918929e+03 8.96701172e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 4.23127739e+01 2.38509914e+00 4.06003947e+00 5.22881764e+00 4.63292933e+02 6.16397599e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 1.47753271e+01 2.34324523e+00 8.82684716e+00 1.01413323e+01 4.09949961e+02 4.44861709e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 2.04226991e+01 3.41356931e+00 1.79320988e+00 4.94122712e+00 1.66109692e+03 7.96604537e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 1.39404696e+01 4.24967254e+00 7.99118593e+00 1.03343212e+01 1.09134785e+03 2.15408557e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.75791860e+00 4.67610023e+00 8.62792870e+00 4.23069619e+01 6.59561505e+02 1.43717112e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 4.52944572e+01 7.11727495e+00 2.63635888e+00 4.23613929e+00 7.87171311e+02 5.45208032e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.08121595e+01 1.51012389e+00 4.87311879e+00 1.04214563e+01 7.67936827e+01 9.66460076e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 7.04012466e+00 1.31205434e+00 2.48949797e+00 2.77721825e+00 7.80077187e+01 1.85329643e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 3.49150865e+01 4.52719507e+00 7.35943716e+00 9.33229509e+00 6.11200538e+02 1.48518576e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 3.19382609e+01 7.27447323e+00 5.81812991e+00 2.35313328e+01 3.15248592e+03 1.40375234e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 1.21583770e+01 2.74091809e+00 6.71791012e+00 8.19658183e+00 5.67714481e+01 6.47800910e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 1.73783416e+01 6.77354033e+00 2.76838270e+00 8.72000390e+00 3.10111774e+03 5.74789640e+02
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 1.06196582e+01 3.33845324e+00 2.90571276e+00 6.82196417e+00 8.78690462e+02 1.71134200e+02
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 2.83888298e+01 8.97477498e+00 1.37347593e+00 6.24960281e+00 2.44243054e+03 3.55114485e+02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 2.65581005e+01 9.06120950e+00 3.89860782e+00 2.16637273e+01 4.28417517e+03 2.77136245e+02
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 7.89419475e+00 3.67558484e+00 6.03770195e+00 8.76031604e+00 2.38759101e+02 6.43346346e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 2.91634510e+01 3.06994379e+00 8.72141423e+00 1.13797885e+01 1.26352356e+02 3.07621296e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 2.32407077e+01 4.70173575e+00 7.00234703e+00 1.97320780e+01 1.03309014e+03 7.73207452e+01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 1.10401808e+01 3.16478427e+00 4.91856691e+00 8.82468958e+00 3.06522516e+02 6.96977380e+01
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 2.60184465e+01 7.05145459e+00 9.57808103e+00 1.88548492e+01 2.78226489e+03 3.10836008e+02
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 1.71551013e+01 8.43458216e+00 7.47320681e+00 1.05797236e+01 1.39281005e+03 3.84749204e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.70426933e+00 7.05782918e+00 9.37148683e+00 3.16734966e+01 1.02588219e+03 2.62736130e+01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 3.52129723e+01 8.41915403e+00 5.74829176e+00 1.21927512e+01 1.23198519e+03 4.58241607e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 2.65722125e+01 4.57292946e+00 3.33013847e+00 6.97758354e+00 2.39170600e+03 7.05285549e+02
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 3.81338756e+01 2.40685274e+00 1.47544018e+00 4.96787739e+00 1.41681961e+03 4.87122657e+02
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 4.45963599e+01 7.64155853e+00 7.53476366e+00 1.11245752e+01 9.23035826e+02 4.89002131e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 9.48754422e+00 4.24427055e+00 2.09172698e+00 6.46098853e+00 2.22618916e+03 9.87370162e+02
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 1.80514615e+01 7.04143743e+00 3.72497615e+00 1.07461023e+01 2.26731266e+02 1.19111617e+01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 1.20779392e+01 3.43579548e+00 5.79223817e+00 1.01819563e+01 5.49658070e+02 9.81563869e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.23007588e+01 1.73106671e+00 6.07974929e+00 7.23448252e+00 1.47191222e+02 4.61228654e+01
