G	c	dx1dt	d2x1dt2	dx2dt	d1	m1	m2	Fc	Fg	W	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	3.051242934980983890e+01	6.140789255783986711e+00	4.522958572934016708e+00	7.453659109115236880e+00	5.807965413927119016e+02	5.927270466199360044e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	7.814959144259427148e+01	8.216672902784335264e+00	5.372240460248278282e+00	8.579695827049143020e+00	1.924803325863327927e+03	9.578873664433164947e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	2.439068203804970025e+01	7.906221991973692909e+00	8.751541698929226953e+00	3.085896187562001103e+01	2.396597941635340703e+03	9.122127072283656446e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	4.210700748377407621e+01	2.308174148307375884e+00	4.049677164955165942e+00	5.091170958153042214e+00	4.595974690735972672e+02	6.103479092808663609e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	1.487833438643826511e+01	2.471841251952464180e+00	8.875010875277093092e+00	1.038748277474541837e+01	4.012220297622297949e+02	4.159826118262419214e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	1.971583740110702365e+01	3.461358772457051813e+00	1.725609249219623109e+00	5.008274071851641196e+00	1.678813639205410027e+03	7.960740455575948999e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	1.441840684510311377e+01	4.152827138894720882e+00	8.004915740405987634e+00	1.040405298097288878e+01	1.091520378338631872e+03	2.130373647995995441e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	9.770617699050571758e+00	4.663890006816315825e+00	8.576472580018950964e+00	4.208387142593911534e+01	6.422000875840408298e+02	1.497772417503708553e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	4.491820940851066979e+01	7.108094341767912994e+00	2.543719665608840330e+00	4.342789383759702915e+00	7.819191992297342040e+02	5.208040806469704620e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.051614528158644468e+01	1.531469750517730821e+00	4.916159863314892853e+00	1.048943070560987501e+01	7.854920556873692306e+01	8.223643165310271286e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	5.888647286554402172e+00	7.328689677316614137e+00	1.258163421028116735e+00	2.539344916604220792e+00	2.995230069817805596e+00	9.028861047236625836e+01	1.800471270571141247e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	3.525294857228431944e+00	3.508999043190569722e+01	4.528939473769058921e+00	7.384520670046209823e+00	9.290514608440821220e+00	6.029300705561499854e+02	1.710280103041809241e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	3.828822443914433826e+00	3.234180836727931307e+01	7.267875919483699043e+00	5.808092008077168522e+00	2.339876147904857362e+01	3.145129786308160419e+03	1.388110551006999174e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.120465916107197479e+00	1.195970164036296346e+01	2.700740402066851953e+00	6.648435399650807653e+00	8.105006310378167100e+00	5.709197129521928815e+01	6.496094468296206514e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	6.691987042793133611e+00	1.746464627672694903e+01	6.725784092712407514e+00	2.704669115572153615e+00	8.652221723046299218e+00	3.113065136508743763e+03	5.756351945544478212e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	3.857232010208233142e+00	1.074378770780544912e+01	3.388500050437231348e+00	2.852536311704954031e+00	6.671783731678895712e+00	8.599675533003212422e+02	1.732978290321163115e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	7.671301878903957316e+00	2.859114978285703401e+01	8.882363012910618139e+00	1.360656191663206727e+00	6.422778303451186943e+00	2.449343180923522596e+03	3.562484409576595681e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	4.667103914076850657e+00	2.688613467027991533e+01	9.087239316689089463e+00	3.957648926780304777e+00	2.184194141943622824e+01	4.277827355138691019e+03	2.787310645872798887e+02
