G c dx1dt d2x1dt2 dx2dt m2 Fc W Fg d2 d1 m1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 1.88082208e+01 6.14796290e+00 1.11768234e+00 4.54271968e+00 -3.05963222e+00 -3.15031922e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 4.80167558e+01 8.24889096e+00 1.57408816e+00 5.26092093e+00 -3.08051546e+00 -2.86042979e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 2.88209613e+01 7.84144837e+00 9.99574640e-01 8.69092654e+00 -7.42382361e-01 -1.27628536e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 5.02753086e+01 2.38509914e+00 8.73076771e-01 4.06003947e+00 -3.24879084e+00 -2.72099698e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 5.07577600e+01 2.34324523e+00 2.33492439e+00 8.82684716e+00 -1.37649061e+00 -4.14663696e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 5.88655625e+01 3.41356931e+00 1.25585912e+00 1.79320988e+00 -9.42462131e+00 -2.26167125e+02
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 6.61935625e+01 4.24967254e+00 3.99764150e+00 7.99118593e+00 -2.25662672e+00 -1.12621814e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 9.58837348e+00 4.67610023e+00 5.75046962e-01 8.62792870e+00 -2.53311590e-01 -1.56568263e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 2.29439695e+01 7.11727495e+00 2.26989599e+00 2.63635888e+00 -5.22797657e+00 -2.45212886e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 7.92629533e+00 1.51012389e+00 2.05461972e-01 4.87311879e+00 -5.97981957e-01 -1.02556600e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.77650432e+01 1.31205434e+00 2.54186534e+00 2.48949797e+00 -4.60113677e+00 -5.96976229e+01
