G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	W	Fg	d2	d1	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	1.855131263326417823e+01	5.857934779238797240e+00	1.133795019227289425e+00	4.493657365117975644e+00	-3.072996891853775558e+00	-3.152374528532790876e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	4.824250490737436792e+01	8.055832462772160696e+00	1.731644646711567148e+00	5.541990472068440532e+00	-3.238536751245431944e+00	-2.818430226648459325e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	2.831771509519425223e+01	8.234352183100233091e+00	9.901804366695432513e-01	9.006585313539371640e+00	-8.236179674964029251e-01	8.936311757798891531e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	4.959789495965679862e+01	2.645454133268259511e+00	8.820868422964842637e-01	3.683665430213669101e+00	-3.486424642193970413e+00	-2.454585263128613093e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	4.833250268308432140e+01	2.673705876099407241e+00	2.340702552172618134e+00	8.996138219446171647e+00	-1.500748447267994390e+00	-5.029978347592368060e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	5.937271004697880272e+01	3.762913115237260353e+00	1.184449435512926474e+00	2.017524479546828342e+00	-9.367159407623304901e+00	-2.293574021935382632e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	6.329954578058235626e+01	4.122672031814904159e+00	3.893683542620490989e+00	7.622012265969201117e+00	-2.263070064216043953e+00	-1.168691383830645947e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	9.635111213151356324e+00	4.756663840064401683e+00	4.715172620604212717e-01	8.786883321148785342e+00	-2.834808336483138902e-01	-6.535278337994591125e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	2.023837850082801282e+01	7.137929504876832532e+00	2.308427624368259767e+00	2.882127395574472395e+00	-5.334990748242648628e+00	-2.445678751857559803e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	8.002245158963452454e+00	1.689747489449522799e+00	2.847759140407197798e-01	4.612622151292351091e+00	-8.371335473563246143e-01	8.623306196226365739e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	1.775584137127824036e+01	1.233300121649659298e+00	2.626119957538275429e+00	2.424667330945379451e+00	-4.576568111452491650e+00	-6.403681921598230531e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	3.544397690935713108e+00	3.609519855169819635e+01	4.552516339500513709e+00	2.902788772021302588e+00	7.410546399025808917e+00	-9.038877999151211373e-01	-3.849147529531623313e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	3.337822195995070462e+00	3.701307897210753595e+01	7.294156178673760316e+00	1.002718912657978745e+00	5.974611701491949312e+00	-1.418605693586360683e+00	-6.207652144760961832e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	3.882201533332452215e+00	7.234041518956740191e+00	2.885878368156255203e+00	5.983188419138036895e-01	6.446772273860760016e+00	-1.284306504938976579e+00	-2.041062721243034783e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	6.573221830108399999e+00	4.602845891981748139e+01	6.952123207117453241e+00	3.267913906143393721e+00	3.085760073563382999e+00	-4.473881584007337153e+00	-5.514919915941766249e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	4.308070999490610120e+00	3.728156627502362852e+01	3.363964301659380318e+00	2.150078191872109912e+00	2.349044262936012650e+00	-2.555070838920409315e+00	-1.884707214033233313e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.631354844251960756e+00	2.865177532026740970e+00	3.932581402667221226e+00	7.434454900144245038e+00	2.296044348290699588e+01	9.008543547063609935e+00	1.441963020578988175e+00	1.736591274429188259e+00	-1.104697120680518907e+01	7.026250733511398721e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.491247932277187438e+00	5.952469172271389830e+00	8.866600996374156551e+00	4.532495546061613645e+00	2.854105969004616128e+01	9.122732237521693932e+00	9.043560274415241018e-01	4.049551149899694558e+00	-2.369821263292891000e+00	-1.667735159932217570e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.150025424714101518e+00	9.314586639610324070e+00	1.581783664217808250e+00	2.097264782282805662e+00	1.367308360744471152e+01	4.124018830396273927e+00	5.873302993262417893e+00	5.867144416032735066e+00	-2.866579568782142706e-01	-8.213225549075040544e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.377200560400079876e+00	1.268887722023712694e+00	7.584514496135152051e+00	7.973498028571880170e+00	1.039454203921238218e+01	2.598783397910065407e+00	1.686493481335341327e-01	8.958528549708923094e+00	-1.869143753959273679e+00	-6.004880639531490871e+00
