G c dx1dt d2x1dt2 dx2dt d2 W Fg m1 m2 d1 Fc
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 9.19453688e+00 4.54271968e+00 6.83431259e+00 2.42810510e+00 -2.52800748e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 8.65878778e+00 5.26092093e+00 2.55147726e+00 4.14632561e-01 -3.81036501e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 2.50592425e+01 8.69092654e+00 8.85155107e+00 4.36792145e-01 -2.42347821e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 9.37767085e+00 4.06003947e+00 6.51804615e+00 1.66471108e+00 -3.15520299e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 9.96136139e+00 8.82684716e+00 2.41483495e+00 6.99341679e-01 -3.76733904e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 2.31019427e+01 1.79320988e+00 9.66104252e+00 1.90394720e+01 2.14641745e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 1.46787733e+01 7.99118593e+00 5.66528917e+00 4.26215857e+00 -9.45083152e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 1.97562453e+01 8.62792870e+00 1.65608607e+00 2.42105166e-02 -3.49317995e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 3.75765523e+00 2.63635888e+00 6.64149614e+00 2.77706241e+00 -2.81036867e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 1.51346909e+01 4.87311879e+00 3.27879016e+00 1.33835541e-01 -3.52273426e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 3.68667252e+00 2.48949797e+00 8.23324107e+00 1.65734079e+01 8.97779306e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 3.43012064e+00 7.35943716e+00 8.36039866e+00 4.19027240e-01 -3.08975671e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 2.55396199e+01 5.81812991e+00 9.81052620e+00 7.46795756e-01 -1.64757428e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.10337336e+00 6.71791012e+00 5.51682578e+00 1.17823186e+00 -3.20223701e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.63477616e+01 2.76838270e+00 5.09461192e+00 4.60110944e+00 1.47168984e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.32663115e+01 2.90571276e+00 7.78128045e+00 4.04768994e+00 2.46737898e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.11964907e+01 1.37347593e+00 2.19223591e+00 3.24259914e+00 -1.68004528e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 2.53429676e+01 3.89860782e+00 5.92223962e+00 1.23184227e+00 -8.14575328e-01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 1.31357973e+00 6.03770195e+00 5.91622840e+00 3.23822214e-01 -1.51522309e+00
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 2.05411438e+01 8.72141423e+00 1.80525811e+00 4.60383042e-01 -3.83091723e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 2.76953098e+01 7.00234703e+00 4.76185677e+00 3.73304888e-01 -2.84855176e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 1.74779939e+01 4.91856691e+00 8.67956319e+00 3.82975584e+00 2.49788978e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 2.73106021e+01 9.57808103e+00 8.70538260e+00 1.79533105e+00 -9.23868088e-01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 2.29814725e+00 7.47320681e+00 1.89313898e+00 2.35334832e-01 -2.27679843e+00
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 9.63110262e+00 9.37148683e+00 1.81648794e+00 5.73095456e-02 -2.84634030e+00
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 8.09560152e+00 5.74829176e+00 3.36425929e+00 3.16718957e-01 -3.34052007e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 2.22508069e+01 3.33013847e+00 8.87289456e+00 9.04952796e+00 6.19310492e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 2.91397984e+01 1.47544018e+00 2.16012327e+00 1.76255521e+00 -6.55702240e-01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 8.84137350e+00 7.53476366e+00 7.47997122e+00 1.10429416e+00 -3.31505081e+00
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 2.00283453e+01 2.09172698e+00 1.91049058e+00 4.30931609e+00 2.08819345e+00
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 5.82566370e+00 3.72497615e+00 6.60824068e+00 7.65504309e-01 -2.34115204e+00
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 1.75428692e+01 5.79223817e+00 4.20460569e+00 1.36462306e+00 -1.81034082e+00
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 1.53030572e+01 6.07974929e+00 8.10022567e+00 6.51974175e+00 1.99455210e+00
