G	c	dx1dt	d2x1dt2	dx2dt	d2	W	Fg	m1	m2	d1	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	9.177463794286088827e+00	4.541019814974282198e+00	6.836954947400884386e+00	2.428968508923815772e+00	-2.526831831021556507e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	8.678041893780445548e+00	5.265228276086735271e+00	2.562938550123859738e+00	4.136835912595703824e-01	-3.810939403919714419e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	2.503563534864820639e+01	8.695556609634298439e+00	8.856384025446107700e+00	4.419167313853956114e-01	-2.421824691637440630e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	9.409708362003090798e+00	4.058483116214253172e+00	6.517564152314371917e+00	1.663626545064330164e+00	-3.154040526299601854e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	9.955138553967529447e+00	8.834068865250703340e+00	2.414852346363961288e+00	6.985127107122145462e-01	-3.766714723076224125e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	2.310414605006149102e+01	1.777252442425731882e+00	9.658187400239281573e+00	1.903780570206948397e+01	2.146436479344471948e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	1.465014468947292769e+01	7.984477701383476678e+00	5.660121402796109535e+00	4.264592704517411015e+00	-9.446879229182637561e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	1.975530511095023556e+01	8.622905376039703640e+00	1.653079227570352083e+00	2.350044296329069707e-02	-3.491709794890403007e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	3.761112424086507922e+00	2.631861775505803358e+00	6.637295819854966972e+00	2.775681573483494535e+00	-2.808853274570085823e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	1.513338716979334464e+01	4.874963589212926607e+00	3.282344339975056258e+00	1.351821684429242998e-01	-3.521080937181795267e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	3.678152465660309733e+00	2.491089169711135920e+00	8.227414006114381451e+00	1.657077856557607731e+01	8.978304890117962955e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	3.415798046926729725e+00	7.361598663355887417e+00	8.367651031552265195e+00	4.202179678463658363e-01	-3.089069386784970117e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	2.555672604798378345e+01	5.821400120611479601e+00	9.814617166540870130e+00	7.501890154175432368e-01	-1.645910306412524227e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	6.103839506839113582e+00	6.712697674932304182e+00	5.516937304888224425e+00	1.179311150260857310e+00	-3.203009478242127006e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	1.637107492823444943e+01	2.761699566335328981e+00	5.094613653176133461e+00	4.602324526344133027e+00	1.471295482802997157e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	1.325834522577316577e+01	2.907887041272608108e+00	7.778248962526427057e+00	4.049347254749372738e+00	2.467398841302570478e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	1.118991176391936904e+01	1.370018363148451934e+00	2.193705109658560470e+00	3.245855839108845675e+00	-1.678931132829101225e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	2.535530846451541720e+01	3.889991910583282753e+00	5.928158603133646842e+00	1.234146909456156127e+00	-8.134418932589743134e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	3.680052119430257562e+00	1.289022280936689802e+00	6.043030919978058080e+00	5.912403383853730432e+00	3.246597090393268936e-01	-1.515509013696303864e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	3.067396041756753178e+00	2.052278272521153824e+01	8.729068010739124972e+00	1.796916795067247330e+00	4.621047993232227924e-01	-3.832785632971933421e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	4.697387963086131712e+00	2.771191599042975540e+01	7.010889895556807083e+00	4.765682122284395916e+00	3.716173346669944255e-01	-2.848246862790301481e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	4.904091794858275399e+00	3.170332190305779729e+00	1.746026121253023433e+01	4.919592868096694716e+00	8.681327669394532265e+00	3.831234545488180654e+00	2.496752451452059152e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.622631541337138827e+00	9.316691754751460053e+00	9.427337872997981094e+00	7.170792631623955415e+00	7.044430750299156330e+00	2.728307779820996615e+01	9.581515006398303669e+00	8.699288965464099022e+00	1.793415639192819100e+00	-9.257133642738956114e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.302411608476164773e+00	9.733831692950284165e+00	1.468604021385557123e+00	3.995603152512712253e+00	8.432939470498331147e+00	2.326420182311826235e+00	7.480722154201193241e+00	1.889149492615810111e+00	2.346357175525992378e-01	-2.278363726686535973e+00
