G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	Fc	Fg	m2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	9.230921579842270575e+00	6.219227409249849181e+00	4.616981282281581223e+00	6.853816795229035641e+00	2.958827470477110921e+00	3.794733353474419424e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	2.415568001009222243e+01	8.240766619925544489e+00	5.260937660889593026e+00	2.553362765493986775e+00	1.246544619606053494e+01	4.220441679022636450e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	2.608169275689448341e+00	7.785083071848438507e+00	8.694258633418957771e+00	8.835031101951654975e+00	7.919491710615594648e+00	3.773393849979113757e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	1.303966595137196371e+01	2.298566519770745220e+00	4.017930484268439351e+00	6.581833220390882033e+00	3.532349655710090630e+00	1.645910397711813689e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	4.290504684208666042e+00	2.301185821780269869e+00	8.797075804107748809e+00	2.365673012028348676e+00	3.499324231880434954e+00	1.235964476649591637e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	2.595813488173883687e+00	3.391229401489571860e+00	1.770807793049666623e+00	9.675996588939504761e+00	4.101725352640176681e+00	2.494510005125819829e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	2.740298017711632728e+00	4.294337465739364923e+00	8.070348225223421323e+00	5.744419700694392894e+00	4.411081382641292237e+00	8.506760217785249711e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	1.348097391040324222e+00	4.615048154309911332e+00	8.623985739033633635e+00	1.617647404199118455e+00	7.832916932531489351e+00	4.347124552322743973e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	2.854925175248160940e+01	7.201907005759282221e+00	2.563822086363942265e+00	6.625346197016385830e+00	5.008361705735087988e+00	2.552725327142941314e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	2.152827522141441907e+00	1.437289905690196656e+00	4.887127989874214151e+00	3.406369558110339035e+00	2.040943827035017755e+00	3.331129502330688386e+00
