G	c	dx1dt	d2x1dt2	dx2dt	m2	d1	d2	m1	Fc	Fg	W
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	6.168726755396424011e+00	4.284406722571052484e+00	9.557464787300263609e+00	6.961354728705860140e+00	2.791692786160395912e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	8.142713016237127732e+00	5.742216019987103515e+00	1.247829968035646608e+01	1.813000477931540289e+00	4.853785640282926295e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	7.596082644131248784e+00	8.296162260081180406e+00	2.984190014954181347e+00	9.098056513035194470e+00	1.134342622243020671e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	2.280383868036645723e+00	4.026788265284423574e+00	3.454710617371636427e+00	6.735950653094864293e+00	1.261671373906684934e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.711017098202794129e+00	8.874430356776025874e+00	1.346728496173636769e+00	2.316289853591227743e+00	3.299834879851164082e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	3.207242008029061786e+00	1.551095983898048258e+00	1.646197964735393526e+01	9.124080050407838982e+00	5.596674254607751209e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	3.950230151658970623e+00	7.820775740083433902e+00	4.703908991308635379e+00	5.731239432344680473e+00	1.944594822831718872e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	4.599865824935446490e+00	8.846451626193452711e+00	9.494011274801497091e-01	1.744934208163089639e+00	2.326851784398912049e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	6.496380130213753823e+00	3.031790623193193479e+00	1.901802600127064125e+01	6.521689487896213500e+00	5.980609614420351505e+01	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	1.562113031448890910e+00	4.293062093503801080e+00	-6.506844032177117043e-02	3.329570427156980816e+00	2.230232826059485252e+00	0.000000000000000000e+00
