G c dx1dt d2x1dt2 dx2dt m2 Fc Fg d1 W m1 d2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 3.55119796e+01 5.37981482e-01 4.54271968e+00 2.96532549e+00 3.79933072e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 2.51331141e+01 2.84978583e-01 5.26092093e+00 3.91846750e+00 1.66388971e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 3.44035576e+01 1.42955301e-01 8.69092654e+00 -2.00898405e+01 -2.61651701e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 5.27024743e+00 3.45645129e-01 4.06003947e+00 1.36664762e+00 2.26698067e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 5.16321256e+00 8.52091652e-01 8.82684716e+00 8.68356184e-01 4.48547123e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 7.72281951e+00 1.17798775e+00 1.79320988e+00 1.49927215e-01 3.02356338e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 9.75144398e+00 2.00399901e+00 7.99118593e+00 3.70502537e-01 5.86172838e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 3.79689398e+02 4.20442341e-02 8.62792870e+00 -1.16860663e+00 3.32309038e+00
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 3.74992933e+01 3.67454008e-01 2.63635888e+00 2.98721167e+00 2.43680207e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87956458e+00 6.63045877e-02 4.87311879e+00 -1.08538582e+00 -4.33251960e-02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 3.07889872e+00 1.67044242e+00 2.48949797e+00 3.41279397e-01 5.21944039e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 1.21557442e+01 1.22952855e-01 7.35943716e+00 -8.29472699e+00 -1.89760500e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 2.45488363e+01 1.47629007e-01 5.81812991e+00 -3.75444753e+01 -6.73751581e+00
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 1.75422092e+02 4.78249391e-01 6.71791012e+00 2.44339516e+01 3.63847200e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 1.88052421e+01 8.33405436e-01 2.76838270e+00 3.14998791e-01 2.59863691e+00
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 8.12942842e+00 5.03834143e-01 2.90571276e+00 4.54907838e-01 1.86723242e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.80111556e+02 6.77182575e-01 1.37347593e+00 6.31671450e-01 1.37152570e+01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 5.01963405e+01 2.70307080e-01 3.89860782e+00 3.13188968e+00 2.06840563e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 1.44878506e+01 1.10157006e-01 6.03770195e+00 -4.02699271e+00 -6.80890476e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 1.47575888e+01 7.41388208e-01 8.72141423e+00 8.70199307e+00 6.30750850e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 1.47341742e+01 1.82982570e-01 7.00234703e+00 3.98722886e+01 1.18651968e+01
