G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	Fg	d1	W	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	3.765358649126833512e+01	5.757446250786903974e-01	4.984221297463622413e+00	2.217942934342785666e+00	3.608952984337594927e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	2.698651152636314876e+01	2.909743825017174212e-01	5.691561656649930079e+00	4.192998656919294298e+00	1.643393247779581845e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	3.486402643862367512e+01	1.244237951539997611e-01	8.762391667984221755e+00	-1.993318795317967584e+01	-2.586326749518246260e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	6.258259909257511744e+00	3.190693355383745766e-01	4.775874109240825227e+00	1.598943435753170661e+00	2.183468275517106427e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	3.574795151344405841e+00	8.016684723142641911e-01	8.665529983993357277e+00	1.225692413006678860e+00	4.505597841487502642e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	7.594062596841367530e+00	1.158770256730159209e+00	2.955935558378924632e+00	2.170992554690724385e-01	3.035404395078711737e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	1.032008046802858914e+01	1.975067825474483341e+00	7.474282683136941330e+00	2.912140901746068655e-01	5.884108901218369603e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	3.770629051535893268e+02	1.184571107374907395e-01	8.008634615447688176e+00	-1.473747028174174023e+00	3.391245388361378232e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	3.821190357115721525e+01	3.175035995112602261e-01	1.871050885765000338e+00	2.820469895419414286e+00	2.429680031813183927e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	3.287762347131808927e+00	1.157981410459904409e-01	4.203329326957748968e+00	-6.313876201577852676e-01	3.833148795805943476e-03
