G c dx1dt d2x1dt2 dx2dt d2x2dt2 d1 d2 m1 Fc W m2 Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 1.83228599e+00 4.54271968e+00 6.83431259e+00 1.34919509e+00 1.41470948e+02 1.25534303e+02
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 2.55953439e+00 5.26092093e+00 2.55147726e+00 2.68095275e+00 4.13009346e+01 5.21985517e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.56400062e-01 8.69092654e+00 8.85155107e+00 8.48121225e+00 7.11252513e+01 2.21283938e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 7.34800066e-01 4.06003947e+00 6.51804615e+00 7.90091521e+00 7.98871122e+00 1.18524069e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 6.79684675e-01 8.82684716e+00 2.41483495e+00 4.15578422e+00 1.20187088e+01 2.07749355e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 4.35705221e-01 1.79320988e+00 9.66104252e+00 4.39129565e+00 1.34670094e+01 7.63653312e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 8.41909663e-01 7.99118593e+00 5.66528917e+00 5.80198990e+00 3.31597934e+01 3.70078165e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 5.85215152e-01 8.62792870e+00 1.65608607e+00 1.00216904e+00 6.66702801e+01 1.54116349e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 4.48107756e+00 2.63635888e+00 6.64149614e+00 3.17119902e+00 3.92971177e+01 1.84936345e+02
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 2.80268085e-01 4.87311879e+00 3.27879016e+00 2.87408628e+00 8.39524546e+00 5.85666645e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 1.00731806e+00 2.48949797e+00 8.23324107e+00 3.25434652e+00 8.26362566e+00 9.72086849e+00
