G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	Fc	W	m2	Fg
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	6.845933343442956343e+00	1.685562710704117340e+00	5.161840893931069374e+00	6.376563304404300858e+00	2.156512413201606027e+00	1.416303562088528452e+02	1.262806297424596096e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	7.975846759394341845e+00	2.235566551554101888e+00	4.982987853961061475e+00	1.654481173678432615e+00	2.612020731510073190e+00	4.092697442778901262e+01	5.449030757494512756e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	7.798624793636090402e+00	7.744543443186165943e-01	9.054115028441946933e+00	8.209404849994228925e+00	8.430666486444366114e+00	7.683672567409122678e+01	1.862300120296956152e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	2.146428331779571153e+00	7.381173755597838504e-01	4.616924359375460085e+00	7.109576740114762927e+00	7.507178716214942149e+00	9.768911537056634842e-02	1.283376800516335692e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	1.808006261284422544e+00	7.687623059230289657e-01	9.672531248591875297e+00	1.905904661951154377e+00	3.088191227619819124e+00	1.886465366613568762e+01	-2.662075513234611890e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	2.852369589212673695e+00	3.544045272734552832e-01	1.050758426208022289e+00	8.761249472237086167e+00	4.590494429122670361e+00	1.646328829208930244e+01	1.108627007378670193e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	4.417835251627511894e+00	7.622472214053088724e-01	7.224157386477540577e+00	5.622142665393188743e+00	5.465918798114944188e+00	3.380505784042627226e+01	1.843040068768879935e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	4.661726304384762543e+00	7.307710808916483280e-01	9.267189118242180612e+00	1.968711468852861524e+00	-7.125372560461618043e-02	6.059019461728229317e+01	1.487823956447005003e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	7.532613758945637450e+00	4.293073983299962038e+00	3.185791054131972277e+00	6.662521586914805560e+00	3.085637159648115357e+00	3.220528765964704121e+01	1.877469992920833590e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	1.378273193839442357e+00	2.572087691607833904e-01	4.534661254582947443e+00	3.608651336882065852e+00	2.773594241349937928e+00	6.016072392206901931e+00	8.364526279194915759e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.335553313987954072e+00	2.843270210884929927e+00	1.353810011805570257e+00	6.139694777070319631e+00	1.197854242174883010e+00	1.142512543890604526e+00	7.136248337495048055e-01	8.861542885523759239e+00	3.086004890247872279e+00	1.095732186466460689e+01	1.126208393745261915e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.489318773692732023e+00	9.931262644640744597e+00	1.381603420211358735e+00	4.358815282869956675e+00	4.944296707125699797e+00	2.794800092863128693e+00	7.403813292823392622e+00	8.671161615226708363e+00	8.280216530691744126e+00	3.372509598636153072e+01	9.543942290838376152e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.054332040099321688e+00	9.038776564276103542e+00	9.050283549512728953e+00	3.688602326489683669e+00	7.071788163744347600e+00	5.777518712647859989e-01	4.985603264160152648e+00	9.726724868615054476e+00	2.637898713582957022e+00	1.205109246056212413e+02	6.384859639732996328e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.578389037540429030e+00	8.922352991672996003e-01	2.191480551407103405e+00	4.718560461634419667e+00	1.956780699798315482e+00	1.457512112086180922e+00	6.263819254838904449e+00	5.220728965918469910e+00	3.208230790743462624e+00	3.108932689268213068e+01	2.576392152862410967e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.772828815603280761e+00	7.161445399498709286e+00	5.427392619045305011e+00	6.415304406643137725e+00	7.235194759392260089e+00	1.282393671276934155e+00	2.867788145571235514e+00	5.513912638583766679e+00	5.724533832961637536e+00	1.743759179289013517e+01	2.583594514981986556e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.158862634104173228e+00	9.756448371955167786e+00	5.114904502927237750e+00	5.031470335915680714e+00	2.969618053447837358e+00	8.276044861232672023e-01	3.078880372910261176e+00	7.931045377945818764e+00	9.409209460706799533e+00	1.323248246371532488e+01	5.109629654121535580e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.454722190419268202e+00	3.323773771134759691e+00	3.568891283885501142e+00	7.506677919350346784e+00	9.011207740788412579e+00	2.162514988146775341e+00	2.241013710500121103e+00	1.723997900054016430e+00	2.830514518943905156e+00	1.467676717023319277e+01	1.142195689305515849e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.278018023732768071e+00	6.206616424520624342e+00	8.381443007632579878e+00	3.764356222377024608e+00	8.719950721049762876e+00	1.086378159853369274e+00	3.694117819700339478e+00	6.630598034174393085e+00	1.891202291332511498e+00	1.172538001585954817e+02	5.841961197270456552e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.948763251584077594e+00	8.923753058057936727e+00	7.628489947856431641e-01	1.657243506152565438e+00	3.145868220446861763e+00	2.720455550346535301e+00	5.502084734833970536e+00	6.058839374567425828e+00	3.164132275975497066e+00	2.971093743769313633e+01	6.473164017831800265e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.936628190099856983e+00	1.103913646305612728e+00	7.461887174317221039e+00	8.467746243218053692e+00	2.035719957411479264e+00	3.784319828685229203e-01	9.224657157907550697e+00	2.160428647877994379e+00	7.238310091831232640e+00	4.808313999278543527e+00	1.402396037733204537e+00
