G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	W	d1	m2	Fc	Fg	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	3.534621904266727760e-02	-7.917460950064715952e+00	6.939663699725011625e+00	3.858039297370801535e+00	-3.368715682447959853e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	2.606223211637173978e-02	-2.439569458865115692e+01	2.467378129703412082e+00	1.436304587766352725e+00	8.463273464873273880e-03
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	1.131624296150774284e-01	-6.496182205049952252e+00	8.926109144494443370e+00	-6.241765422761420545e+00	9.927883035688336300e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	8.707391447247767036e-02	-4.564488908862049499e+00	6.425361481404013198e+00	4.298854263546228793e+00	-6.327360427771430013e-03
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	2.032244183549212491e-01	-1.567698759374420936e+00	2.342637636861281791e+00	2.652231088344804988e+01	4.685297370856379984e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	2.094256576787933630e-02	-1.080730844641358379e+00	9.569812273115873680e+00	-1.138017300902385287e+01	6.853587956685709692e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	7.021867362144069979e-02	-1.386974469271464061e+00	5.678907800006099293e+00	-7.606707778809117748e+00	2.648663209329646939e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	5.535313864426267827e-01	-5.178865263835905175e+00	1.592239442073297706e+00	-2.095117281978380874e-01	3.081839178235901699e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	1.711636199206371250e-02	-2.869243563576297262e+01	6.568149878462754998e+00	3.485777191173669021e+00	1.055960923227534237e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	7.362965240700624081e-01	-2.020911428947783861e+00	3.289820270534169921e+00	-1.606802081854624920e+00	1.940981578651784223e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	1.070519928957351236e-01	-1.090592588403076713e+00	8.257816655068420886e+00	4.089785365790190141e+00	1.138524475857867646e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	4.621183166844911483e+00	7.358043046436238299e+00	1.503840182496896105e-01	-2.824776801156777495e+01	8.362566374299369443e+00	5.259208586758566284e+00	1.299733107616505290e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.513352649419289264e+00	9.516775070028330674e+00	9.064264572274712606e+00	3.702824696602768029e+00	7.282162482060938302e+00	5.898733609803107569e+00	7.185173425833640826e-02	-6.778874028800246698e+00	9.801701835899711668e+00	-1.250095169971346287e+01	2.140597271356866838e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.882574304372880203e+00	1.374091733215347721e+00	2.181492933621320685e+00	4.208737102683922870e+00	2.651169081558188978e+00	6.760565648132291550e+00	1.949263128539613921e-01	-3.630694566611739393e+00	5.616314432236760190e+00	2.728334991344277594e+00	-2.201193473317070715e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.646541769651306719e+00	7.381010589733135951e+00	5.833562630758079237e+00	6.568258953104088249e+00	6.770521410218030667e+00	2.710825605222531465e+00	1.878432743350878786e-02	-3.185115071318843860e+00	5.102545091392575394e+00	-1.021467160351591374e+01	1.186957792996273520e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.720025220027544766e+00	9.372243810175449497e+00	4.688552891680000556e+00	3.916404322463208132e+00	3.317382214550583797e+00	2.875460161112637358e+00	7.406645532300004664e-02	-1.930566341061308311e+00	7.825108290062472882e+00	-2.684397406715653300e+00	1.192504306285321614e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.733427730699347080e+00	2.606884738974546867e+00	4.197070049890573529e+00	7.675275728011094145e+00	8.905365218824428553e+00	1.385887111917115444e+00	5.389545730039884373e-03	-8.103146245691824845e+00	2.200010558570666852e+00	1.312924840038362406e+00	-2.060688778739270394e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.835338264697727872e+00	6.169074557294291772e+00	9.031974460449967879e+00	4.624847790974027539e+00	9.077060642789202660e+00	3.807197672552654399e+00	3.385490251327745448e-02	-5.640699929687240655e+00	5.862517570149126556e+00	-5.840471008777932838e+01	6.530617430000161816e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.823866646724216167e+00	9.179063890185597430e+00	1.191222847760915027e+00	1.558062187586774394e+00	3.630721427809218582e+00	6.056155087414038185e+00	3.384138864342159381e-01	-1.508738795180055448e+01	5.946141077687155274e+00	9.052301305590154001e+00	4.662407041638202965e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.612912213089021662e+00	1.305217261903687920e+00	6.996170846615738625e+00	8.031396681685693650e+00	3.031003240954921907e+00	8.624770640099782781e+00	1.201473324835209272e-01	-1.655494468892662940e+00	1.769584181938460343e+00	9.038227927139246276e-01	3.401958969900170437e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.477486768205534595e+00	7.323288718880913706e+00	9.605918154393366493e+00	3.528722318970904936e+00	4.690641480885077819e+00	7.058494435673138945e+00	1.373395801998136545e-01	-3.298816670887807501e+00	4.756907324666449277e+00	-3.816489947073547384e+00	4.565203780024295055e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.306131381137167757e+00	3.731495447658788045e+00	6.098483947037141917e+00	4.857349444663392468e+00	3.133469285610020805e+00	4.968341581093262072e+00	1.070692832861373234e-01	-1.165193126959493730e+00	8.696176422645386594e+00	-4.855791642941878195e+02	3.887662256045907871e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.508077396458197939e+00	9.345200161291145946e+00	9.459600068391155858e+00	7.156998726524049559e+00	7.164650698279015906e+00	9.605774246098651048e+00	6.375830227577264364e-02	-2.769141196327165488e+00	8.599773736950128367e+00	-5.666255610944756604e+00	2.815784631494036017e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.219150731613230398e+00	9.717639175981688027e+00	1.381461684875688434e+00	4.085800934397087580e+00	8.405402063031177207e+00	7.436126903629286744e+00	7.498932438044467186e-02	-2.452501635228547627e+01	1.805585612551872332e+00	1.592846152260010584e+00	3.456614585205548817e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.098819918288827857e+00	9.548283650301360836e+00	4.767055899530318719e+00	1.473200657514446288e+00	7.081843739005361016e+00	9.380824464008670205e+00	2.944224791470491098e-01	-7.523159637115426790e+00	1.865960514112680046e+00	-3.884874642137868817e-01	4.404013606599770370e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.150549005706675842e+00	5.230690063603534945e+00	3.362731306051983449e+00	4.455111970452214187e+00	8.427080564338005786e+00	5.720126944888456855e+00	5.153670465410894325e-02	-2.033787013142066513e+01	3.328152946511027110e+00	2.188789582576270654e+00	1.041931041645944266e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.809287297864017319e+00	8.855817474530459421e+00	7.544807806628886837e+00	9.545987962553420303e+00	4.592143580997953833e+00	3.273586084261218332e+00	2.397643248678911487e-02	-1.736765872598884153e+00	8.839368002452916429e+00	-1.560938286112836515e+01	1.061034824553597350e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.554960025764976272e+00	8.596234216100159031e+00	9.749960826729342500e+00	6.797061247458810129e+00	2.430224961802974093e+00	1.456856127272918355e+00	3.009670896685953667e-02	-1.491441931925810094e+00	2.169177151909301049e+00	-7.798899583515170875e+00	6.888140222487698638e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.266936764999224252e+00	3.786252484718652500e+00	3.324146084021809777e+00	7.083810886012008368e+00	7.689565831013511321e+00	7.573071767021349210e+00	4.693325242996895102e-02	-1.472704866607983121e+01	7.458991480918427897e+00	4.280332227206832485e+00	-3.270841522752033093e-03
1.000000000000000000e+00	1.000000000000000000e+00	1.508601081920214249e+00	8.393777167996910649e+00	7.009668540306413398e+00	6.691278612350965105e+00	4.258783728928828616e+00	2.094130705660706582e+00	2.398592545692068354e-02	-9.211397057065324745e-01	1.933206467402270867e+00	-3.004030876260002092e-01	6.092905647055101015e-02
