G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	Fg	d1	Fc	d2	W	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	6.234901052232936891e+00	5.556881586853337218e+00	4.617651703360382776e+00	6.862546826925711052e+00	1.035149061337194354e+01	1.467013345420690618e+00	-4.334069777546725163e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	8.219230797152782486e+00	1.625720057827906828e+01	5.244006247497916995e+00	2.568299792932164038e+00	1.002909566414377736e+02	2.711208477498904923e+00	-1.907655397506104782e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	7.787043422693407990e+00	2.298996724709847683e+01	8.648217088318348900e+00	8.879248397364710499e+00	6.759387073079412289e+01	8.482543497028405710e+00	-1.890455627273162099e+04
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.317439694105645653e+00	6.066326051953652154e+00	4.119250591269417505e+00	6.476672335962805782e+00	1.114278293245047635e+01	7.944708861734503635e+00	-9.845951421026798016e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	2.430020895926468416e+00	6.382946806183615429e+00	8.824046222812480522e+00	2.500885795984800541e+00	7.077958507235270247e+01	4.130109466338556246e+00	-3.427846654206497533e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	3.357024163268922390e+00	7.741187631468621433e+00	1.897402612881378126e+00	9.642417756236294935e+00	4.184590399078418343e+00	4.440596968751117757e+00	-2.409013733711461782e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	4.248171582493783127e+00	1.020029201298710397e+01	7.944394953279910965e+00	5.658820420705101384e+00	4.326556590588079843e+01	5.849807416961027684e+00	-2.054121374476228993e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	4.622868034333623477e+00	1.337938929542788635e+01	8.532926844279144163e+00	1.584354095469742374e+00	2.099661900193130464e+02	1.069124500367716779e+00	-1.055837741536396497e+05
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	7.038383757697200593e+00	7.796980154839789456e+00	2.620973529977190797e+00	6.630950846844393176e+00	8.756258201929700391e+00	3.147653903756248095e+00	-1.270497623293012339e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	1.494198356835453101e+00	2.772856492012708340e+00	4.916416960076603004e+00	3.307742719585100133e+00	1.234129917367301132e+01	2.808775993909547353e+00	-1.965331771302510788e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.224291956056415387e+00	3.067595960053769222e+00	1.219563749142297704e+00	5.948168448427922250e+00	1.260973588842084991e+00	1.190805125002475817e+00	2.438633233223190366e+00	8.274719966402294347e+00	1.199106000481540590e+00	3.221756113293643420e+00	2.688430455066878721e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.743061752210381954e+00	9.905355881031118415e+00	1.560414075074733509e+00	3.582416600697275300e+00	4.489522429984092788e+00	1.484947172588554132e+01	7.286465453463526032e+00	8.445364792858804037e+00	3.911759513261714716e+01	8.238109749106394375e+00	-1.142222942174592390e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.565783089715310439e+00	9.529520837028274016e+00	9.191073419462675531e+00	3.793170102451334014e+00	7.383744729537959905e+00	2.298869113470675174e+01	5.830689280303327671e+00	9.838825831493128504e+00	4.152882903836225381e+01	3.606116076073899279e+00	-2.267822688032014048e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.927393418871398367e+00	1.312993321154241499e+00	2.252025696387997655e+00	4.110110937449555912e+00	2.764061959436614924e+00	1.230469020739594077e+00	6.637609599119987713e+00	5.531889247405971766e+00	4.006481896454056724e+00	2.840934858028006271e+00	-6.842145828037970432e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.609058951623971723e+00	7.407277858561944761e+00	5.762293804177221368e+00	6.574039728630872048e+00	6.824276989463455401e+00	1.669797271713025921e+01	2.785208414782488262e+00	5.070334449775708130e+00	2.690101754851425397e+01	5.556780720235142468e+00	-7.084156693609243121e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.654979083915150362e+00	9.456194499112044127e+00	4.762059492037423958e+00	4.071149562915321596e+00	3.383372016766413637e+00	1.044980051303703483e+01	2.887025564916679610e+00	7.745283230575891409e+00	1.141418567082435942e+01	8.791306913885268415e+00	-4.093658498448596674e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.794395369262930195e+00	2.581147532364095554e+00	4.133850974795177713e+00	7.529715510549573665e+00	8.969281138065289483e+00	7.858690130642271399e+00	1.400603253581560459e+00	2.245015290318764567e+00	1.502090749648721335e+01	3.153457578628450442e+00	-1.216862012877221844e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.614984641695811796e+00	6.045756467447541915e+00	9.117438434282302495e+00	4.720697277369484191e+00	9.037258270044290498e+00	1.843269393566104597e+01	3.822688475353139381e+00	5.973975750533008444e+00	3.647543322674482624e+01	1.750875668924403161e+00	-1.125444992517150422e+04
1.000000000000000000e+00	1.000000000000000000e+00	4.871916056424400843e+00	9.249160368425398460e+00	1.260143393822021007e+00	1.557395511151429268e+00	3.689144178620884063e+00	1.113961858747355826e+01	6.108921522408679472e+00	5.857641283310953462e+00	3.461175092124688746e+01	4.324542096120001844e+00	-5.839893549899506070e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.695917599780880192e+00	1.354219519491054458e+00	6.967302189591687345e+00	8.099818793615773060e+00	3.079119215680610644e+00	1.467413792931892225e+00	8.711372627954222736e+00	1.844592932221357673e+00	1.858310350899563090e+01	7.824254708675150383e+00	-6.233169137733402749e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.478972150562243293e+00	7.271698260207656084e+00	9.784307751964954392e+00	3.551635275644438927e+00	4.670753215256937985e+00	1.135901003133301046e+01	7.044235260976232205e+00	4.797236209063654222e+00	5.067676434470583047e+01	6.016998049458008424e+00	-7.366402185735024432e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.339124922455541267e+00	3.617549557856362785e+00	6.016786865964843578e+00	4.832923737686189547e+00	3.171857013678848869e+00	4.036271515693215406e+00	4.971227409446665746e+00	8.618974442008266124e+00	6.500861034507553704e+00	8.411139687525375663e+00	-3.400064256986533451e+02
