G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m2	m1	Fg	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	6.234901052232936891e+00	4.790113801609614974e+00	4.617651703360382776e+00	6.862546826925711052e+00	2.103429900676677278e+01	1.467013345420690618e+00	-2.684989432641554572e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	8.219230797152782486e+00	2.855690386342527365e+00	5.244006247497916995e+00	2.568299792932164038e+00	8.041091248843038386e+00	2.711208477498904923e+00	-6.285200612436062784e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	7.787043422693407990e+00	9.341316776991064330e+00	8.648217088318348900e+00	8.879248397364710499e+00	6.419640916881853343e+00	8.482543497028405710e+00	-3.813288295473280414e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.317439694105645653e+00	1.236228810616751828e+00	4.119250591269417505e+00	6.476672335962805782e+00	2.122113095887755918e+01	7.944708861734503635e+00	-1.089778882420505681e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	2.430020895926468416e+00	3.308562007854720655e+00	8.824046222812480522e+00	2.500885795984800541e+00	3.376552674560740819e+00	4.130109466338556246e+00	-6.493753593884551378e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	3.357024163268922390e+00	1.101643251443970328e+01	1.897402612881378126e+00	9.642417756236294935e+00	9.146748993047209808e+01	4.440596968751117757e+00	3.648190100559629911e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	4.248171582493783127e+00	1.405497428154552786e+01	7.944394953279910965e+00	5.658820420705101384e+00	1.295339536835550476e+01	5.849807416961027684e+00	-1.216316431550322932e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	4.622868034333623477e+00	4.178169225817328858e+00	8.532926844279144163e+00	1.584354095469742374e+00	2.195292141932406182e-01	1.069124500367716779e+00	-8.283009194827349120e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	7.038383757697200593e+00	1.834612943788928918e+00	2.620973529977190797e+00	6.630950846844393176e+00	3.545521596051413837e+01	3.147653903756248095e+00	-2.022104287026997724e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	1.494198356835453101e+00	1.143245746275609598e+00	4.916416960076603004e+00	3.307742719585100133e+00	2.047580990823975711e+00	2.808775993909547353e+00	-2.061649436790020928e+01
