G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	Fc	d2	Fg	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	2.830917347291253439e+00	3.466753351347286460e-01	6.836778300866514613e+00	1.943320548110330503e-01	1.254940932607419235e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	6.103180572416038174e+00	1.845257067586532629e-01	2.548767205776064415e+00	6.881711925708123845e-01	3.989441274075236632e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	-6.909311237637386638e-01	3.822174918921018016e-01	8.866185790569041103e+00	-2.673137202999621709e-02	-4.954051404161173844e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	-2.773700653336266697e+00	2.118170863379898183e-01	6.514948950628724589e+00	-5.284637831157708993e-02	-8.545112762451311239e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	-9.961334444987135939e+00	1.223827291195097589e+00	2.412467594209704025e+00	-1.340148569326848671e+00	-3.256184053988206539e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	3.440864207680065956e+00	2.483930393186759567e-01	9.656283930181439601e+00	1.686263106719633476e-01	3.255879432680318875e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	-8.563424215471567180e+00	1.748824541687837852e+00	5.672240536571023561e+00	-1.406067370877946088e+00	-6.960226127759684189e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	-1.096228583305883797e+00	3.267114025456099302e-01	1.654058251855242023e+00	-1.171404392644046499e-01	-3.721408222857837678e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	7.915579588137426015e+00	1.367208617911676860e-01	6.637552766808325622e+00	4.412707289691733537e-01	2.321322698268490914e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	-1.232911237456465248e+00	2.206409843264279524e-01	3.282635839408188705e+00	-2.551142356486313378e-02	-7.476986027136477420e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.486408805629983565e+00	-1.748367300914577038e+00	6.996072576685314903e-01	8.225732254325366810e+00	-7.835461557007246391e-02	-4.089480960884958272e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	7.354244136288627942e+00	-2.540936296103786685e+00	2.527895648472412438e-01	8.363799123568142591e+00	-4.707438844483872314e-02	-1.216936790251659017e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	5.824332182984757189e+00	1.369438912239471229e+00	2.287421193910731676e-01	9.820216621754923381e+00	4.001970415276293047e-02	8.411510753804403162e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	6.718079133500286737e+00	-4.152787460151698973e+00	7.692519144263316733e-01	5.519908001703892175e+00	-2.363177444520996873e-01	-3.768399786151039432e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	2.776835545493351987e+00	6.599894334476545943e+00	3.500174455434624798e-01	5.098081946217983607e+00	1.109443787087416755e+00	3.869898492036007109e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	2.902824382822793758e+00	4.335153510424453738e-01	3.651398180018360362e-01	7.786013385778220552e+00	2.338760912883541127e-02	6.352805826199183770e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	1.371090567874053701e+00	1.443149748350261419e+01	1.226037822671072475e-01	2.201536344776792387e+00	5.268402713688072225e+00	2.228927268105297177e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	3.903082317161201242e+00	5.989275832000543254e+00	2.276079095664527985e-01	5.928821176425579154e+00	5.338969217878836160e-01	2.671117849113599174e+00
