G c dx1dt d2x1dt2 dx2dt d2x2dt2 d1 d2 m2 m1 W Fc Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 1.40657935e+00 4.54271968e+00 1.64893013e-01 6.83431259e+00 3.19309183e-01 3.74733821e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 8.63177153e-01 5.26092093e+00 1.09844767e-01 2.55147726e+00 5.64650032e-02 -6.13769458e-01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 1.03340863e+00 8.69092654e+00 1.50308336e-01 8.85155107e+00 1.19233555e+00 1.12616343e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 3.73376117e-01 4.06003947e+00 1.15049658e-01 6.51804615e+00 1.86311119e+00 2.52999694e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 9.74659615e-01 8.82684716e+00 4.42242019e-01 2.41483495e+00 7.96231148e-01 2.32102401e-02
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.41998309e+00 1.79320988e+00 5.41435365e-02 9.66104252e+00 2.40789074e+00 -1.79120670e+00
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 2.79078347e+00 7.99118593e+00 3.76339422e-01 5.66528917e+00 6.12397047e-01 -6.45321808e-01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 5.31641735e-01 8.62792870e+00 1.45856540e-01 1.65608607e+00 8.58962384e-01 1.61839834e-01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 1.11033323e+00 2.63635888e+00 8.67079942e-02 6.64149614e+00 1.14272443e-01 -3.15278810e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 2.04827740e-01 4.87311879e+00 1.06737817e-01 3.27879016e+00 6.15500007e+00 4.00992641e-01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 1.10697555e+00 2.48949797e+00 2.87849523e-01 8.23324107e+00 3.59438684e+00 7.29215087e-01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 4.65320925e-01 7.35943716e+00 1.68761951e-01 8.36039866e+00 6.48608062e-01 -3.65145735e+00
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 8.56628254e-01 5.81812991e+00 9.46934334e-02 9.81052620e+00 1.35285571e+00 8.34844172e-01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 9.41555867e-01 6.71791012e+00 3.65027770e-01 5.51682578e+00 1.32404365e+00 3.73421798e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.56921441e+00 2.76838270e+00 9.91503538e-02 5.09461192e+00 3.45452831e-01 -5.35297491e-01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 1.25948922e+00 2.90571276e+00 1.17629984e-01 7.78128045e+00 2.42419461e+00 2.69409344e+00
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 2.40084066e+00 1.37347593e+00 5.02534267e-02 2.19223591e+00 5.57731724e-02 6.01854422e-01
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 1.58335029e+00 3.89860782e+00 7.76820421e-02 5.92223962e+00 4.65039784e-01 -3.48451617e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 7.52037023e-01 6.03770195e+00 2.60928999e-01 5.91622840e+00 1.07988655e+00 7.09817714e-01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.47801988e-01 8.72141423e+00 2.46321914e-01 1.80525811e+00 5.17502872e-01 -1.28054390e+00
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.22601788e-01 7.00234703e+00 1.27226680e-01 4.76185677e+00 1.48036368e+00 7.78510490e-01
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 1.40317526e+00 4.91856691e+00 1.81187245e-01 8.67956319e+00 3.07792871e+00 -1.36538066e-02
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 1.94292316e+00 9.57808103e+00 2.23727277e-01 8.70538260e+00 7.76453499e-01 3.75606166e+00
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 1.96278300e+00 7.47320681e+00 3.45981971e-01 1.89313898e+00 3.75633062e-02 2.51547436e-01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 1.38263290e+00 9.37148683e+00 2.69869932e-01 1.81648794e+00 3.18375756e-01 2.77383332e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 1.04370752e+00 5.74829176e+00 1.35923644e-01 3.36425929e+00 1.33210512e-01 -1.59079427e+00
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 1.63490338e+00 3.33013847e+00 9.81750301e-02 8.87289456e+00 1.15267430e+00 -1.20647350e+00
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 4.27648493e-01 1.47544018e+00 2.83697789e-02 2.16012327e+00 1.35026204e+00 1.52783604e+00
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 1.20686719e+00 7.53476366e+00 2.13732539e-01 7.47997122e+00 2.26764691e-01 -1.63032339e+01
1.00000000e+00 1.00000000e+00 1.41805371e+00 8.46023927e+00 6.88757141e+00 6.69053938e+00 4.24427055e+00 2.99302523e+00 2.09172698e+00 7.94278570e-02 1.91049058e+00 3.51471209e-01 4.60753354e-01
1.00000000e+00 1.00000000e+00 6.46790367e+00 1.33306871e+00 2.78287869e+00 2.79092925e+00 7.04143743e+00 1.08867383e+00 3.72497615e+00 1.08852977e-01 6.60824068e+00 4.65641945e-01 -5.11001623e-01
1.00000000e+00 1.00000000e+00 2.53471711e+00 6.36642891e+00 6.08797229e+00 4.76500478e+00 3.43579548e+00 1.35549465e+00 5.79223817e+00 2.03932048e-01 4.20460569e+00 1.32687343e+00 -8.91241797e+01
1.00000000e+00 1.00000000e+00 1.58546434e+00 3.07007954e+00 5.17539238e+00 7.75845819e+00 1.73106671e+00 1.09183579e+00 6.07974929e+00 2.78019924e-01 8.10022567e+00 5.20640817e+00 4.74627504e-01
1.00000000e+00 1.00000000e+00 9.53996984e+00 2.08510197e+00 9.74804797e+00 1.91235608e+00 9.93323616e+00 1.04122302e+00 6.40524877e+00 9.50276922e-02 3.10321404e+00 4.23791689e-01 -2.04216268e-01
1.00000000e+00 1.00000000e+00 9.69068830e+00 1.69257881e+00 6.47674545e+00 3.50067498e+00 2.40581357e+00 2.48260340e-01 2.49629797e+00 4.28968849e-02 6.75281646e+00 4.88079908e+00 -3.47128308e-01
1.00000000e+00 1.00000000e+00 8.27557613e+00 7.26659898e+00 4.14555735e+00 3.48687198e+00 9.89578895e+00 1.19578248e+00 4.41763664e+00 9.70078156e-02 3.12114281e+00 1.35315159e-01 -1.46747909e+00
1.00000000e+00 1.00000000e+00 3.74152392e+00 4.05887467e+00 2.02686206e+00 4.88817035e+00 9.79551939e+00 2.61805606e+00 6.55474804e+00 3.11438548e-01 7.42294255e+00 1.23098764e-01 1.31584207e+00
1.00000000e+00 1.00000000e+00 1.87904903e+00 7.52290094e+00 2.36122146e+00 9.82331867e+00 8.14436294e+00 4.33430039e+00 9.72836978e+00 6.66333065e-01 8.86310231e+00 1.24789470e-01 6.72262545e-01
1.00000000e+00 1.00000000e+00 7.15809724e+00 1.58820707e+00 3.02785237e+00 1.60752292e+00 6.93480666e+00 9.68805875e-01 7.54868024e+00 2.00145589e-01 2.14121619e+00 2.63800696e-01 -1.84451135e-01
1.00000000e+00 1.00000000e+00 4.96137244e+00 3.83761304e+00 3.25869995e+00 5.66830895e+00 6.20026345e+00 1.24970732e+00 9.30343381e+00 3.14076116e-01 8.79936120e+00 4.81695068e-01 3.21241867e+00
1.00000000e+00 1.00000000e+00 2.09834411e+00 5.85542163e+00 8.65554452e+00 2.61428214e+00 8.79491391e+00 4.19135920e+00 7.85990852e+00 2.28751637e-01 6.34217729e+00 7.88888909e-01 9.32745490e-01
1.00000000e+00 1.00000000e+00 5.45659219e+00 8.11650848e+00 6.05100509e+00 9.73608891e+00 3.60495569e+00 6.60660641e-01 6.32545272e+00 1.58217863e-01 2.14399442e+00 3.49824405e-01 4.33755950e-01
1.00000000e+00 1.00000000e+00 1.30949669e+00 3.86877253e+00 5.71051820e+00 2.01973154e+00 5.20913091e+00 3.97796417e+00 2.72821032e+00 1.21960941e-01 4.84787670e+00 1.30966865e+00 8.08402393e-01
1.00000000e+00 1.00000000e+00 9.18388362e+00 6.63302239e+00 2.03291985e+00 4.63240902e+00 6.57450972e+00 7.15874678e-01 7.00017087e+00 1.63424448e-01 2.44774264e+00 9.31858105e-02 -8.49051528e-01
1.00000000e+00 1.00000000e+00 3.32901983e+00 8.97379973e+00 8.74125724e+00 7.64096486e+00 4.70071428e+00 1.41204154e+00 6.61041609e+00 1.67183637e-01 7.30313100e+00 1.21637561e+00 9.98812664e+00
1.00000000e+00 1.00000000e+00 6.96270056e+00 6.54276869e+00 7.50532873e+00 7.34098985e+00 4.84737809e+00 6.96192238e-01 6.42222253e+00 1.27509074e-01 7.82981321e+00 1.12537927e+00 8.57574948e+00
1.00000000e+00 1.00000000e+00 3.80539968e+00 3.09663527e+00 1.60901526e+00 4.80455773e+00 3.97256201e+00 1.04392767e+00 5.40807281e+00 2.69747554e-01 1.95216868e+00 1.52824362e-01 4.92950151e-01
1.00000000e+00 1.00000000e+00 5.68061219e+00 1.21960703e+00 7.37051588e+00 4.11871751e+00 6.07808635e+00 1.06997030e+00 5.75790944e+00 1.28427307e-01 5.55525867e+00 8.31554701e-01 -5.31801648e-01
1.00000000e+00 1.00000000e+00 5.92039251e+00 8.83088987e+00 5.89184396e+00 4.57851141e+00 8.65517075e+00 1.46192516e+00 4.00998274e+00 9.69599551e-02 8.33162550e+00 4.98386753e-01 1.26577828e+00
1.00000000e+00 1.00000000e+00 2.66369010e+00 1.19142470e+00 1.73552811e+00 3.37848637e+00 2.81375540e+00 1.05633737e+00 5.67381423e+00 3.57713317e-01 9.42546737e+00 2.06858702e+00 7.03300085e+00
1.00000000e+00 1.00000000e+00 9.72626165e+00 8.87231505e+00 5.12470577e+00 2.84799645e+00 9.40989735e+00 9.67473186e-01 2.77800315e+00 5.11799179e-02 5.62166080e+00 3.83610566e-01 -3.23657055e-01
1.00000000e+00 1.00000000e+00 7.97619541e+00 5.76043421e+00 5.36226658e+00 5.34735728e+00 7.20178888e+00 9.02910287e-01 8.24656958e+00 1.71833670e-01 9.55251301e+00 6.48470530e-01 -5.84669802e+00
1.00000000e+00 1.00000000e+00 9.45549047e+00 9.45160929e+00 2.49197086e+00 3.41680380e+00 8.40945891e+00 8.89373104e-01 2.67199259e+00 5.89871517e-02 5.82120073e+00 2.20972830e-01 -2.14814518e+00
1.00000000e+00 1.00000000e+00 9.05344615e+00 8.18904912e+00 9.51128332e+00 3.58715498e+00 6.00571623e+00 6.63362451e-01 1.76469661e+00 2.72549973e-02 4.54771445e+00 9.27683637e-01 2.32493744e-01
1.00000000e+00 1.00000000e+00 6.38109981e+00 9.98140699e+00 8.64977834e+00 6.91080457e+00 8.01565031e+00 1.25615498e+00 4.92621424e+00 9.57034555e-02 8.63382816e+00 5.81900381e-01 -6.45500233e-01
1.00000000e+00 1.00000000e+00 9.29686812e+00 4.15640634e+00 7.02120104e+00 9.71683599e+00 1.14580358e+00 1.23246190e-01 6.92476696e+00 1.18877924e-01 5.43684439e+00 7.34035366e+00 -8.83117508e-01
1.00000000e+00 1.00000000e+00 1.79643252e+00 7.90469460e+00 5.16066005e+00 6.43273481e+00 8.36542382e+00 4.65668693e+00 4.93945142e+00 2.17906942e-01 5.24712260e+00 2.19555194e-01 1.31635608e+01
1.00000000e+00 1.00000000e+00 2.76384576e+00 4.61737822e+00 4.70588987e+00 1.69281520e+00 1.36124973e+00 4.92520151e-01 3.49078719e+00 1.38671588e-01 5.41281240e+00 1.06771267e+01 1.37453873e+00
1.00000000e+00 1.00000000e+00 1.40704560e+00 5.31888058e+00 6.85876120e+00 1.68025252e+00 9.00922039e+00 6.40293419e+00 6.02354066e+00 2.29866949e-01 8.62106502e+00 1.19350784e+00 1.03371600e+00
1.00000000e+00 1.00000000e+00 3.92797298e+00 6.64754917e+00 5.90888682e+00 9.56280899e+00 9.92766473e+00 2.52742694e+00 4.12302102e+00 1.23301421e-01 8.48747388e+00 2.00374094e-01 9.87269695e-01
1.00000000e+00 1.00000000e+00 4.49809561e+00 8.86309403e+00 1.56045795e+00 3.67561711e+00 3.64660716e+00 8.10700234e-01 9.39580921e+00 4.14391382e-01 4.63167993e+00 5.29802769e-01 6.63919877e-01
1.00000000e+00 1.00000000e+00 3.44214129e+00 9.85675122e+00 5.61252384e+00 1.82860287e+00 2.89286701e+00 8.40426574e-01 9.30380626e+00 3.03984994e-01 3.99969874e+00 2.84704115e+00 5.78082256e-01
1.00000000e+00 1.00000000e+00 8.45863758e+00 7.91446072e+00 8.25763256e+00 6.39140128e+00 7.88827027e+00 9.32569837e-01 5.52134638e+00 9.42089541e-02 5.42735222e+00 3.87320644e-01 -1.69680920e+00
1.00000000e+00 1.00000000e+00 4.21077994e+00 4.75990104e+00 5.13315890e+00 6.61283900e+00 3.27723707e+00 7.78296922e-01 3.95095595e+00 1.22538393e-01 6.15495259e+00 1.43861883e+00 9.57890087e-01
1.00000000e+00 1.00000000e+00 3.52841059e+00 4.79221302e+00 1.46760920e+00 6.83654338e+00 8.79006145e+00 2.49122409e+00 7.63419173e+00 4.12291962e-01 3.14503490e+00 3.41190221e-02 5.10313890e-01
1.00000000e+00 1.00000000e+00 5.88426475e+00 7.63824071e+00 8.07650379e+00 3.40661825e+00 1.92558333e+00 3.27242810e-01 1.33041649e+00 2.78524600e-02 8.14559576e+00 9.33715720e+00 1.60519110e+00
1.00000000e+00 1.00000000e+00 2.26831802e+00 3.14899431e+00 2.81227404e+00 1.13599616e+00 2.13359677e+00 9.40607421e-01 5.27292105e+00 3.01136076e-01 5.37834489e+00 5.41566335e+00 1.34564828e+01
1.00000000e+00 1.00000000e+00 8.21977283e+00 1.99426702e+00 3.32758751e+00 9.68513833e+00 9.81236400e+00 1.19375124e+00 4.02691055e+00 9.39509187e-02 4.00640994e+00 5.52516471e-02 -3.21553529e-01
1.00000000e+00 1.00000000e+00 1.67095579e+00 4.19159942e+00 2.48235718e+00 3.25803741e+00 7.06455008e+00 4.22784978e+00 9.28482297e+00 6.57058392e-01 1.96138894e+00 1.08113915e-01 1.90889500e-02
1.00000000e+00 1.00000000e+00 9.88198243e+00 3.58515092e+00 3.97193558e+00 7.08423659e+00 8.62198502e+00 8.72495482e-01 1.10802725e+00 2.15386230e-02 3.14960644e+00 8.92174441e-02 -3.58468456e-01
1.00000000e+00 1.00000000e+00 7.95020292e+00 3.66677308e+00 7.81076355e+00 7.35966883e+00 3.91896440e+00 4.92938914e-01 5.97533388e+00 1.08183926e-01 9.54353055e+00 2.07577935e+00 -2.27574952e+00
1.00000000e+00 1.00000000e+00 2.78844113e+00 3.10246976e+00 5.67447274e+00 6.49006675e+00 7.08835375e+00 2.54204891e+00 7.66597223e+00 2.72063119e-01 3.74589718e+00 2.32106465e-01 3.92971869e-01
1.00000000e+00 1.00000000e+00 1.04969905e+00 1.37883871e+00 2.84393147e+00 3.81616655e+00 6.34817645e+00 6.04761567e+00 5.36516189e+00 4.21438569e-01 2.51973360e+00 1.66802454e-01 1.88094204e-01
1.00000000e+00 1.00000000e+00 8.33915286e+00 1.16086541e+00 8.90047070e+00 3.43986628e+00 6.42835108e+00 7.70863803e-01 1.76862727e+00 2.94486426e-02 5.14605512e+00 9.18971598e-01 -2.23743752e-01
1.00000000e+00 1.00000000e+00 7.36171609e+00 9.88950151e+00 8.91623669e+00 6.37901454e+00 7.14279214e+00 9.70261831e-01 9.75215251e+00 1.73539511e-01 3.76378969e+00 3.44953163e-01 -2.10903384e-01
