G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m2	m1	W	Fc	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	1.439485541034640548e+00	4.522314055692651102e+00	1.844162469018806316e-01	7.027008234244541462e+00	3.588099125579286008e-01	2.349342286771983979e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	6.718984299484763723e-01	5.235062822299270557e+00	1.087798506170097462e-01	2.369196379271700348e+00	-6.647012787992351290e-02	-8.250666950192042659e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	1.097257958122344723e+00	9.206367075409827905e+00	1.413082569735650829e-01	8.830221822724979575e+00	1.234168610021194379e+00	1.522291704939028545e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	4.298172890330815843e-01	3.806102907922362277e+00	1.348751349315831238e-01	6.899355182333007264e+00	1.807897726455191645e+00	1.941833777564279551e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	9.491346687027557572e-01	8.186532768879841271e+00	4.359872474586356517e-01	2.031690353464461030e+00	7.175102602731939783e-01	-2.737517060357338994e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	1.280900185832730465e+00	1.880287731076332181e+00	4.755370133262483423e-02	9.493753614353435566e+00	2.352394716209533776e+00	-1.154379784171475354e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	2.807865770043163955e+00	8.320632854076258411e+00	3.716344123287744217e-01	5.858391534051563099e+00	7.287089516156594060e-01	-1.153039550285796189e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	5.546549953028345747e-01	8.688248328077142091e+00	1.472610917494070193e-01	2.008129904330194559e+00	8.843499368434274421e-01	3.721890767605678940e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	1.079301159684529887e+00	2.774117844038429315e+00	9.464987289284000627e-02	6.807128697175375720e+00	4.494877993048454479e-02	-3.369097990773502804e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	2.179807393817762007e-01	5.079507081130344659e+00	8.413898355801210927e-02	3.113775830250334220e+00	6.214037032932603566e+00	5.813071633484150347e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.532084216383831299e+00	3.283383521335048183e+00	1.553598327027576387e+00	5.988512351030881753e+00	1.630255579430110346e+00	1.182486717998663117e+00	2.519921877868721793e+00	2.957541954715054988e-01	8.379172758093508477e+00	3.657565885573482944e+00	7.512577332358465476e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.625111365120737617e+00	1.027750202429465709e+01	1.531495345311459477e+00	3.558025378258921734e+00	4.168969436956037278e+00	6.342263788718720541e-01	7.512037359079792864e+00	1.640307992358878419e-01	8.473081726082208220e+00	6.195739911393661759e-01	-3.775977192892273848e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.804813728117418137e+00	9.250849097205907867e+00	9.295644825670940747e+00	3.790058239639721105e+00	7.110577969524694453e+00	8.669776207481533215e-01	5.966150321170982984e+00	9.117072036290087278e-02	9.905945853758174380e+00	1.425890389672548331e+00	1.005653656022196918e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.018653258075672863e+00	1.228847758221596420e+00	2.111652366810796266e+00	4.090887737194320195e+00	2.686530565219201971e+00	9.650800926504362609e-01	6.180647212106184618e+00	3.796613613537950793e-01	5.490422809844004881e+00	1.400700925828517907e+00	3.517455060814588919e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.866973848110053513e+00	7.538050792802163613e+00	5.362582334279530905e+00	6.242337517320528661e+00	7.047475134809385366e+00	2.511178466969323342e+00	2.799617416044436702e+00	1.009702461432803872e-01	5.109025787705923527e+00	4.102760870856640985e-01	-1.319716380609649686e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.424201572952315420e+00	9.290509128127169447e+00	4.700327364338654057e+00	4.423901318327017940e+00	3.195066469951407306e+00	1.224166140151680571e+00	2.474284242211235885e+00	1.214496609197971144e-01	7.534450490693219038e+00	2.372892882514058499e+00	2.286230272051233303e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.796173143517171944e+00	2.359723228895613367e+00	4.313930555482381912e+00	7.908085778137382782e+00	8.722385974755376026e+00	2.391256453920249658e+00	1.363005141837038359e+00	4.983912383787220818e-02	2.866824121578563478e+00	-3.400377210015342877e-02	1.411745906529413563e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.341759324064843106e+00	6.261905546944643852e+00	8.732859623666460180e+00	4.612599843992571280e+00	9.105513087301417841e+00	1.666320549573785614e+00	3.762747788234055424e+00	8.419725132717542637e-02	5.964941737365100138e+00	3.361392184336210454e-01	-4.189749992182390415e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.350609527317827130e+00	9.426174773531482032e+00	1.067969424779148691e+00	1.483007662675307481e+00	3.617311832626667556e+00	8.097326135876716791e-01	6.321340563990581529e+00	2.747334641216141460e-01	6.065417694564368745e+00	1.029973478541170495e+00	8.722205002384468830e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.076043199927218197e+00	1.212501808027201422e+00	6.905882647281369913e+00	7.888882033648143555e+00	2.942651177831515863e+00	9.837249703705642778e-01	8.788458854486531635e+00	2.252052705459941517e-01	1.745988661020066557e+00	4.894965185914504358e-01	-1.356498926759340584e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.410674727048990995e+00	7.293847046819565527e+00	1.045777388007206632e+01	2.871969338128672611e+00	4.760694972928774860e+00	6.176153235809763720e-01	7.132148095943698252e+00	1.364803718322172565e-01	4.991771862304766216e+00	1.458553480835918847e+00	9.341168920779441276e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.003310010447237222e+00	3.515762780911627416e+00	6.103182545009770088e+00	4.990669964922727075e+00	2.836987975918662475e+00	1.309918104364087066e+00	4.866050251152302941e+00	1.943861476086832518e-01	8.326403741646918988e+00	3.074334476456346721e+00	2.152889543572539255e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.811886195797741461e+00	9.014916941014439189e+00	8.905306496162474161e+00	7.380204177555448553e+00	6.582515803794859899e+00	2.020564925227819053e+00	9.866703841146275522e+00	2.280022244230780204e-01	8.230597134974299678e+00	9.084090284852641695e-01	4.088635089147093282e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.817906086001858768e+00	9.601261818863479292e+00	8.759562856629943273e-01	4.029431206353923045e+00	9.017059733655152343e+00	2.064855243012833519e+00	7.035046061009993856e+00	3.402028827200979100e-01	1.884851065847532592e+00	1.170676738137613193e-02	4.304462250472063656e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.281860003485584265e+00	9.518963258936555150e+00	4.970817869371346731e+00	1.485902333311669654e+00	7.086203991138453340e+00	1.384966776846267011e+00	9.125842429833239677e+00	2.600390291100480034e-01	2.375168334364131439e+00	3.146619320496340522e-01	-1.532911048388083675e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.867952767255024682e+00	4.857620396051355982e+00	4.027494151236781228e+00	4.401392170379690327e+00	8.466591739488311674e+00	7.291056368864347048e-01	6.101137406116681206e+00	1.560743259254500914e-01	3.692909238488069068e+00	-5.186994207416306679e-03	-1.336012074296578866e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.424172140430902012e+00	8.640441361246349317e+00	7.499816520290711885e+00	9.269095611981155614e+00	4.359956689133335672e+00	1.582521735404603946e+00	3.210636157081292019e+00	9.045393362113074431e-02	8.653006042073826620e+00	1.322319479949503718e+00	-1.108959419928564838e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.275989421749311070e+00	8.625375224786010264e+00	9.737579458817943845e+00	6.640395580314017110e+00	2.651338681659698882e+00	4.512840276251959826e-01	8.868191052947627107e-01	4.131792057777505800e-02	2.300493357028746466e+00	1.250064460569110469e+00	2.490692169942380740e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.090040611206680943e+00	4.204208217204424614e+00	3.427699804561560093e+00	6.998291183589441466e+00	7.496265209045424704e+00	1.143503526781886492e+00	7.933236265190526382e+00	2.170642848170104833e-01	7.306989092113763462e+00	1.729424156926661627e-01	-1.629975268660858490e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.450864397655884597e+00	8.373289272254442750e+00	6.667175680574610297e+00	6.879107972620610134e+00	3.485470484714452866e+00	3.006067371525773524e+00	2.387140258478972932e+00	9.688237829820106617e-02	2.026471218880895986e+00	4.044458066170293353e-01	6.290911474063514142e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.190002610328684263e+00	9.865112690724702205e-01	2.080481926744178089e+00	3.164143151964692535e+00	6.887007376746153042e+00	1.222427100031131975e+00	3.920001471270863735e+00	1.061376601712654966e-01	6.745430254744933407e+00	4.843878585579140528e-01	-5.526906871911909658e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.331305556250175215e+00	6.308110344777782430e+00	6.374342915361209450e+00	4.702981614851895031e+00	3.359153361264584081e+00	1.455965736179170467e+00	5.818134589261449108e+00	1.902165660611434272e-01	4.456597798928926046e+00	1.451991114383466286e+00	-8.910268316247326936e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.753376767422203164e+00	2.912483876008885364e+00	5.006103477974386706e+00	7.475667372071947980e+00	1.684744883400836724e+00	1.148822265156868916e+00	6.535307177237422493e+00	2.780384451301468607e-01	7.674382401629590511e+00	5.261232411753616667e+00	4.664443420579220678e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.204630784467934035e+00	2.238694735082243703e+00	1.003796721628612509e+01	1.922004553063659138e+00	9.879035852045948474e+00	1.036682566993545329e+00	6.750499157995582422e+00	8.234568942728121010e-02	2.758988056755507845e+00	4.176024501705293823e-01	-3.952938723918333896e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.384027952149619267e+00	1.598587812094257377e+00	6.266650256059076440e+00	4.045122808316548024e+00	2.230172753968803878e+00	2.134109652485605968e-01	2.920888851534932051e+00	6.573690173871306330e-02	6.732262101213214223e+00	4.960299108897004317e+00	-2.691566702205221984e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.167725386417284739e+00	6.512633766148575809e+00	4.179178445303549871e+00	3.227623688872825802e+00	9.693837620936841759e+00	1.249166075590516733e+00	4.608418695292466616e+00	1.023785384022451589e-01	2.840335042406333610e+00	2.237410201878037297e-01	-1.194128765047442808e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.659136921691096056e+00	5.085728772882400328e+00	2.262866266750044542e+00	5.127939776766208269e+00	9.714365676287282980e+00	2.619845113785722823e+00	6.588432049632897858e+00	3.180773641040027244e-01	7.121110378683081166e+00	7.283207358117302355e-02	1.131410447534329178e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.152374886808863241e+00	7.562500398185023620e+00	2.656726708597664910e+00	1.018492147249027369e+01	7.696221813905104625e+00	4.338506568969476618e+00	9.618875255361013288e+00	6.729773400062811772e-01	8.937044520647843271e+00	1.981177401833738028e-01	1.039613399866259336e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.914370210217256840e+00	1.613016383155475353e+00	3.092176481671587762e+00	1.510078140171271066e+00	6.401660408614637809e+00	8.595227034869120653e-01	7.200602984151688979e+00	1.942280537780943783e-01	1.892064613313665156e+00	2.468769895962576455e-01	1.295877576100435413e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.766453548694291165e+00	3.408857852830927460e+00	3.309289071729344833e+00	5.478644689392785594e+00	6.226968607260309874e+00	1.199368640023025456e+00	9.441149450839889212e+00	3.129496645667360633e-01	9.413418989554289240e+00	4.738159149082522004e-01	2.825420790626000045e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.255753029684399280e+00	5.448040283598116318e+00	8.826634599051129015e+00	2.769904959005029088e+00	8.826161654139564661e+00	4.244327785231739369e+00	8.020477316934568890e+00	2.296932406765961610e-01	6.197162018185649046e+00	7.997723260033858805e-01	5.090696145267219475e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.673461874753486178e+00	8.090932161386968247e+00	6.179154211103921490e+00	9.831693659966154186e+00	3.844458147275942039e+00	5.830904596495041226e-01	6.229504545584211073e+00	1.748026375015510336e-01	2.070494271681770471e+00	3.208304790733185197e-01	6.307817966902695694e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.696131603163032464e+00	3.962281203957398912e+00	5.354045751077833870e+00	2.207785211417533588e+00	5.139528363428413016e+00	3.996683240506831325e+00	2.896548561495965401e+00	1.120889206046913333e-01	4.928804447431676117e+00	1.276577430183730044e+00	5.500985723244704584e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.310834835464888215e+00	6.828320905401949581e+00	1.681720075786860669e+00	5.193697404257903827e+00	6.249428457723445796e+00	7.449355646575149814e-01	6.909051494504632629e+00	1.572083508604601165e-01	2.037595397504915251e+00	1.681657409704357675e-01	-1.308787023975582775e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.364298358619511209e+00	9.039844863386923279e+00	8.158982768322060153e+00	7.686179145384825162e+00	4.172456522359172304e+00	1.445215596208017539e+00	6.848359330048314320e+00	1.640871987682668842e-01	7.441438622406213454e+00	1.099957101119459768e+00	1.074294222976909730e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.118314836631554954e+00	6.212889630873195124e+00	7.716948233970533977e+00	7.018291814787835925e+00	4.604935507535500072e+00	7.356628634504150943e-01	6.180252542767171064e+00	1.217616876939872222e-01	7.922688646986891570e+00	1.044543452724840948e+00	8.150913906978200174e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733033643467190466e+00	2.399998379592704900e+00	1.499761164377568567e+00	4.822595097519318585e+00	4.087634161695834045e+00	1.088150983225381285e+00	5.118646198702320405e+00	2.573003551417083479e-01	1.857161429976704303e+00	2.042008584249928593e-01	-1.768822838658111185e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.606255834078528899e+00	1.191729403056595693e+00	7.596958048945920972e+00	4.184099390733719837e+00	6.470661204093172358e+00	1.026024063964022570e+00	5.691916525072168831e+00	1.053514384979223478e-01	5.629763878349967499e+00	8.260038929828781296e-01	-8.763440599562533073e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.440290851274251160e+00	8.682360657136570126e+00	6.003301415380132511e+00	4.921494388277036336e+00	8.669900771284231311e+00	1.358528866105908284e+00	4.237326049739530198e+00	8.137377097333069187e-02	8.448113622818429036e+00	5.738838340676389871e-01	1.367619929514586108e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.905462260259675134e+00	8.402305428837103518e-01	1.458775568749937523e+00	3.325228392815725798e+00	2.483237354579911127e+00	9.947967824107960544e-01	5.355948924646757980e+00	3.670899679474806665e-01	9.815823424605060410e+00	2.095841177738765992e+00	7.065337233722948085e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.783485707359398376e+00	9.102645893392246279e+00	5.091514450766682742e+00	2.737274561995753697e+00	9.170253265964085188e+00	1.018896149184497002e+00	3.065941767629167369e+00	5.110979627421949334e-02	6.301704360592347953e+00	2.820578439457859243e-01	5.060361345970383340e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.186474239955781940e+00	5.322175267689741140e+00	5.236698136014310556e+00	4.976217885576954991e+00	6.970646032328041031e+00	8.183106200156350374e-01	7.795992838377163281e+00	1.789622809126693859e-01	9.263796441573834528e+00	6.532549523029933525e-01	-6.184513756954443053e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.693488648749379877e+00	9.623223977230791704e+00	2.323774871752842142e+00	3.564971347928372225e+00	8.298888971900998612e+00	8.160620604133779210e-01	2.604307970644240910e+00	5.401729009835563866e-02	5.468336534282636663e+00	2.616750828568131793e-01	-2.044321542765459743e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.040699700169909647e+00	7.796808261048296274e+00	9.763978203287885904e+00	4.493410105618892203e+00	6.310989179239069991e+00	5.896615848451947084e-01	1.377077082203259639e+00	2.641602182298659340e-02	4.575661211736016476e+00	9.455041973703447455e-01	7.286218078780916096e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.149485051864244767e+00	1.001870480208697600e+01	9.342950866904526919e+00	6.850556141813902045e+00	8.342170175777512853e+00	1.126106042075882385e+00	4.210295302769073267e+00	1.094665154143669578e-01	8.068385247773472102e+00	5.462444232307179792e-01	-9.352294986950244748e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.703160008347685661e+00	4.416198570829665826e+00	7.329365417589176701e+00	9.839166082311308514e+00	1.098890135757879749e+00	4.243970905088388645e-02	7.025287995493320281e+00	1.321253683687936553e-01	5.613478174989817937e+00	7.319494930145552303e+00	-5.737326904394347560e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.962649106364594553e+00	7.810695816669177560e+00	5.153217866640175338e+00	6.284453564608912579e+00	8.415282487620268981e+00	4.727164912913584871e+00	4.890676229022903776e+00	2.259436147308556131e-01	5.277879321142725288e+00	1.769084417644276319e-01	1.235806638147711567e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.827233480867262561e+00	5.087442581920512907e+00	5.053618017804048179e+00	1.346011384770297248e+00	1.144036915390202358e+00	4.420240666215343728e-01	3.107550350708504272e+00	1.403985663840422726e-01	5.512710306646278369e+00	1.057622177327401936e+01	2.147756342909057814e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.290157865565603190e+00	5.852355596665086424e+00	7.331663777417998240e+00	1.797786628202168169e+00	8.543531279225874187e+00	6.279721461259129889e+00	5.881828818829840877e+00	2.342861357569862579e-01	8.538496799716359220e+00	1.082129969750075249e+00	1.471050604994436073e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.035463685191217564e+00	6.713521243213918410e+00	5.524477506629752455e+00	9.570438678048484249e+00	1.041471402222225429e+01	2.491381620003251918e+00	4.244217665068358514e+00	1.264636150869278830e-01	8.556835357476369808e+00	2.300715907291269458e-01	6.880182163456005640e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.246914239154209625e+00	9.013684586772702900e+00	1.898619008660248797e+00	3.029922100762759030e+00	3.014083861488469740e+00	8.466682957553947064e-01	9.294822435586462817e+00	4.129672039758398028e-01	4.760123889940320652e+00	4.634470218139359332e-01	1.028740383186758311e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.415154070259734276e+00	1.015179565124902084e+01	5.825019635011996044e+00	2.264387364560245697e+00	2.392880681562613354e+00	7.114485954360255660e-01	9.249306237869799219e+00	3.005350110246357009e-01	4.054102901618027666e+00	2.890869134495305026e+00	1.155409065444142902e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.302123512347550971e+00	8.065897155131123597e+00	8.585651530646316587e+00	6.503989846728643442e+00	8.377516725294817945e+00	9.997305677341770114e-01	5.412046148629725550e+00	1.037847191867706936e-01	5.061500222710303198e+00	3.420102203264430152e-01	-2.263358552898052878e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.824127055627659644e+00	4.881523645929418898e+00	5.357693396494784821e+00	6.632840217765452628e+00	3.281762232181450578e+00	6.767797942169176961e-01	3.791225222906963843e+00	1.114844199244866413e-01	6.201736279094426152e+00	1.338631315869120320e+00	6.941601879786238882e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.926201162042247006e+00	4.646439034519855404e+00	1.404737188799481951e+00	6.722327420597033587e+00	8.483421457887825312e+00	2.463362259580609059e+00	7.470885345517468856e+00	4.249817341219004896e-01	3.649292859601466432e+00	3.056832790823815066e-03	1.102105058525897352e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.171941822182081872e+00	7.168889449885923248e+00	8.637743955643378158e+00	3.516318708981121421e+00	2.111515885590375508e+00	2.984805246877758056e-01	1.159056367572687929e+00	2.550245025203789345e-02	8.211115744715604237e+00	9.496629897353988881e+00	1.634854833818321751e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.865016833596065071e+00	2.762328445681978994e+00	2.906031298917735040e+00	1.258174947898037965e+00	2.344135824217969510e+00	9.010539540471139697e-01	5.066327165645374997e+00	2.899248972371774591e-01	5.415622506001228409e+00	5.408383226310004233e+00	1.364823858735782203e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.453627094943836795e+00	2.656941053104834971e+00	3.207677386975014144e+00	9.793763493201092629e+00	9.449410535982885051e+00	1.189185959022494465e+00	3.747857465722367554e+00	8.929680647872344224e-02	4.430722987701886773e+00	1.044300898747714812e-01	-2.906920686202174031e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.721741291555122011e+00	4.281293890205681407e+00	2.622048894170690758e+00	3.547109775320430369e+00	6.919431029697859614e+00	4.282699372790586878e+00	9.180664456194961076e+00	6.495981606633334238e-01	1.758589726706075940e+00	1.209672002267340729e-01	4.110224803409001093e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.021306964498387160e+01	3.516812146434252551e+00	4.240397146169194720e+00	7.434826063613837022e+00	8.860628298496035171e+00	8.696210097663933380e-01	9.324892678730463125e-01	1.662711213112321590e-02	3.391588951786173034e+00	-1.777902219431880260e-02	-1.329635490884542859e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.037448013421885307e+00	4.018177395061699464e+00	7.836925431999486769e+00	7.902520240647482375e+00	3.696482247888437378e+00	4.502691923137934205e-01	5.681357278786969722e+00	1.031164618130366029e-01	9.399333593537249953e+00	2.186108245376038983e+00	-2.229052236542230503e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.786623225788839253e+00	2.894002188576797696e+00	5.783010845776598963e+00	6.263559704541828310e+00	7.165200309218814567e+00	2.574269134153870375e+00	7.876096959517334462e+00	2.666565922965169477e-01	4.041435872713496913e+00	2.132364856523469854e-01	-5.310148135067553898e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.112964692321331883e+00	1.541034815433691918e+00	2.868328081726966516e+00	3.660959253320110740e+00	6.736220337542667913e+00	6.062217403901728474e+00	5.703285055635313405e+00	4.188111556337651420e-01	2.736793901667855966e+00	6.701565537783450710e-02	4.694680289846889232e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.850520596065440060e+00	1.182336975254061562e+00	8.718235290756089384e+00	3.537627013438881640e+00	5.776764068180731293e+00	7.236972635708240897e-01	1.768599077999247093e+00	2.889601258744399492e-02	5.033919813447236713e+00	8.799684298269941918e-01	9.685923981762126211e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.154044908941311398e+00	1.001746174181493743e+01	8.689345275826692472e+00	6.168138974382848971e+00	7.049854049129619327e+00	9.732419670471788020e-01	9.770386650184521571e+00	1.800565720550507676e-01	3.691451195147810171e+00	3.292490495666284267e-01	-7.558533851651944024e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.662094874432349378e+00	4.756383175123432672e+00	8.447912694897851793e+00	8.627583319595926170e+00	6.249488442688763357e+00	7.641089283299401513e-01	5.472117337143924232e+00	9.768292316492088734e-02	1.582387211507692903e+00	1.762709062257191150e-01	-1.372972663785454905e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.249769212191012002e+00	4.190602586040531818e+00	3.568264782556230141e+00	9.649233367004244499e+00	4.373501337748299633e+00	5.511855149563932299e-01	6.820372525930923580e+00	1.611694097052124020e-01	3.403644766252895693e+00	1.530169043636273318e-01	-1.104766316210108013e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.517429928159989005e+00	6.887937543042962574e+00	4.999472490446192907e+00	2.196982133532608295e+00	3.339065967420057568e+00	2.147083371944464414e+00	3.606286798487668754e+00	1.432963502874695927e-01	5.776777773195581389e+00	3.088174625604795942e+00	9.657438467425610851e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.215148587883495779e+00	2.746241494781428649e+00	8.918613143906684471e+00	2.738811361494147611e+00	8.201698464975475389e+00	1.904860977023705271e+00	5.306552645256384260e+00	1.196990221298814688e-01	6.134158067101798117e+00	9.604738972227441218e-01	1.278613203387382136e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.609568250744965345e+00	9.548824444496808894e+00	8.057588164293703059e+00	9.450491623256096929e+00	2.844633473871043261e+00	1.540674210988769222e+00	4.719307943745675082e+00	1.522723694276458817e-01	4.125228644233994935e+00	1.244066828074287034e+00	1.929710774184843602e+00
