G c dx1dt d2x1dt2 dx2dt d2x2dt2 W d1 Fc d2 m1 Fg m2
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 1.13525464e+00 -4.98929794e+00 6.83431259e+00 -7.67711624e-02 -1.49290430e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 1.26330551e+00 -6.02222597e+00 2.55147726e+00 -1.15396196e-01 -5.77296147e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 2.06533172e+00 -3.57109018e+00 8.85155107e+00 -5.78499735e-02 -7.30673127e+00
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 4.76709096e-01 -3.60388292e+00 6.51804615e+00 -6.37717922e-03 -4.45680715e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.28803364e-01 -7.16767751e+00 2.41483495e+00 -3.75045643e-03 -9.51668194e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 3.72849506e+00 -1.98180608e+00 9.66104252e+00 -9.59364036e-02 -1.75002954e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 6.71079869e-01 -9.75651957e+00 5.66528917e+00 -7.13583831e-03 -1.11533902e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.08264362e+00 -1.20131449e+00 1.65608607e+00 -2.94426718e-01 2.80710007e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 1.07196476e+00 -3.54183976e+00 6.64149614e+00 -9.98885049e-02 -1.93304622e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 4.17430828e-01 -9.04706904e-01 3.27879016e+00 -3.93182300e-02 9.34950847e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 1.71618956e-01 -2.98688704e+00 8.23324107e+00 -3.06145398e-03 -1.48752872e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 2.40506997e-01 -3.50466010e+00 8.36039866e+00 -3.75777805e-03 -5.91892610e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 2.86256792e+00 -2.76513542e+00 9.81052620e+00 -8.08320350e-02 -1.50576503e+01
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 2.29828153e-01 -5.33052299e+00 5.51682578e+00 -1.58107243e-02 -2.11348797e+00
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 3.54276316e+00 -2.37287386e+00 5.09461192e+00 -2.70068736e-01 -2.32700356e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 1.34994970e+00 -1.48922590e+00 7.78128045e+00 -4.16963773e-02 -1.77078523e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 6.74033085e+00 -1.58092496e+00 2.19223591e+00 -6.64886426e+00 -4.06453706e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 5.28672154e+00 -2.30974824e+00 5.92223962e+00 -5.73025128e-01 -3.28489376e+00
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 1.82085361e-01 -1.26521289e+00 5.91622840e+00 -9.67719347e-03 -1.65513215e+01
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.05383858e+00 3.06994379e+00 8.72141423e+00 6.13722627e-01 -1.12730652e+01 1.80525811e+00 -7.09152707e-02 1.40222385e+01
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 3.57182492e+00 4.70173575e+00 7.00234703e+00 1.62332608e+00 -3.16657652e+00 4.76185677e+00 -6.95597926e-02 1.39350330e+00
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 4.89490192e+00 3.16478427e+00 4.91856691e+00 9.71832228e-01 -3.18497787e+00 8.67956319e+00 -3.02648796e-02 -1.96694084e+00
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 7.16899495e+00 7.05145459e+00 9.57808103e+00 1.73586713e+00 -8.76180885e+00 8.70538260e+00 -1.72193946e-02 -9.98966577e+01
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 3.99210541e+00 8.43458216e+00 7.47320681e+00 4.14866833e-01 -4.00860209e+00 1.89313898e+00 -4.73433626e-02 -6.82673437e+01
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 1.50927091e+00 7.05782918e+00 9.37148683e+00 8.97930477e-01 -1.78286435e+00 1.81648794e+00 -2.06021552e-01 -9.48928435e-01
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 4.36528942e+00 8.41915403e+00 5.74829176e+00 1.22349090e+00 -3.34393933e+00 3.36425929e+00 -1.73812706e-01 -2.05101939e+01
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 9.50003724e+00 4.57292946e+00 3.33013847e+00 2.60130804e+00 -4.10132798e+00 8.87289456e+00 -3.73226514e-02 -5.39094609e+01
1.00000000e+00 1.00000000e+00 5.62810995e+00 8.60094459e+00 9.83167381e+00 6.77560958e+00 2.40685274e+00 1.47544018e+00 4.00954769e+00 -1.27516946e+00 2.16012327e+00 -4.07335551e-01 -1.17728126e+01
1.00000000e+00 1.00000000e+00 6.33173112e+00 3.87190426e+00 3.30877056e+00 7.04331234e+00 7.64155853e+00 7.53476366e+00 8.38916953e-01 -7.69076038e+00 7.47997122e+00 -2.87810807e-02 -4.04236517e+01
