G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	d1	Fc	d2	m1	Fg	m2
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	5.339632907430694964e+00	1.181777271451932565e+00	-5.058980276444897228e+00	6.323948441196926673e+00	-3.815601422402817994e-02	-1.584941086889286943e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	5.295723356680010596e+00	1.338049371867799264e+00	-6.396481399763332298e+00	2.337894726647884447e+00	3.718187541445969191e-03	-5.496316621468985630e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	9.104066743826964014e+00	2.283823658082400954e+00	-3.779152971654800464e+00	9.264744893715567642e+00	-6.301923202404832725e-02	-1.045650903114725594e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	4.084481064579708942e+00	1.526354581783242459e-01	-3.612902225875663120e+00	5.924496008925136614e+00	7.850904046999064578e-02	-4.566616533088189556e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	8.906530724004316113e+00	3.663104998063889672e-01	-7.576704841587279304e+00	3.894707582614413077e+00	3.131367364165602019e-02	-9.781312610485956327e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	1.173897370437505527e+00	3.523068727811026868e+00	-1.993745732846208041e+00	8.869417053586211352e+00	-1.792273086346041766e-01	-2.040744165228423057e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	7.868023831830956993e+00	5.448817646544097393e-01	-9.622642868545424832e+00	6.168825019442506274e+00	6.917862644934306970e-02	-1.126895753083843630e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	7.643288132575813520e+00	1.106430663043368234e+00	-8.514050982214427243e-01	1.391381389882268227e+00	-2.339028173428950030e-01	2.597656089050738615e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	2.560934617868895202e+00	1.152768020298015061e+00	-4.101532465977357766e+00	6.201490703149199035e+00	-1.484862907174175073e-01	-1.999942443641419132e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	5.597318062796055038e+00	5.213625251903003521e-01	-1.187019649232574414e+00	3.571304508944401324e+00	-1.767018293574627169e-02	1.090974548442587633e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	8.148988483337687994e-01	2.916283991550873367e+00	-1.404849941150751458e-02	-2.722482397679157895e+00	7.986298417485945045e+00	1.545443602360016544e-01	-1.670911137398930180e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	4.906222116135309896e+00	7.421018513404952444e+00	5.609520228549577103e-01	-4.170494252825966974e+00	9.226168325602076337e+00	-3.987666610270228923e-02	-6.277499893600365510e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	7.780347996727558169e+00	5.707284456540966389e+00	2.780481563182872762e+00	-2.717429155377190320e+00	9.048254310995693217e+00	-2.653329545968233227e-02	-1.349097555010222038e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.553812117367348478e+00	1.013595809955779137e+00	2.181125039652958009e+00	4.815170652399662465e+00	2.408813086974141981e+00	6.421480845168193952e+00	8.850192862341360600e-02	-5.317899932083494541e+00	5.822692875189015460e+00	-9.767959597229244895e-02	-3.963719985241210608e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.344248597838594961e+00	7.289647341455507856e+00	6.217418487146091799e+00	6.276071653839675690e+00	7.125518269257374193e+00	2.264471480485586774e+00	3.292893688968765442e+00	-3.535020550304640796e+00	4.944896937982976581e+00	-3.127131753460514196e-01	-1.880608128075782304e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.558291670832195219e+00	8.809672876589100809e+00	4.146883301056256244e+00	3.200705476279288142e+00	3.645079332259461236e+00	3.354849297488515347e+00	1.080714895600617398e+00	-1.711312527928709137e+00	7.942449633782765694e+00	1.891292424643398890e-02	-1.870674224650651141e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.571636686167005248e+00	3.146759573082256178e+00	4.092857409860521933e+00	6.917886376827383721e+00	8.805567030708592924e+00	5.313286305600748438e-01	6.465342873832801374e+00	-1.432319963315312972e+00	2.471892165275046072e+00	-6.629671105665488895e+00	-4.396628814558271259e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.143764969864151659e+00	5.621109347445037763e+00	8.087217580206244705e+00	4.916374457917647156e+00	9.145011262147303199e+00	3.043855935048565442e+00	5.348476667018825736e+00	-2.404923172982790902e+00	4.980277317043625196e+00	-5.880725247835882907e-01	-8.912170927216809702e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.326623629825025574e+00	9.852695128530893243e+00	1.213850516486768560e+00	2.685364339420334368e+00	4.809031540199660171e+00	6.533848961031681668e+00	3.007752364584160842e-01	-1.478286203382189079e+00	6.043523085526992134e+00	1.176257769626941202e-01	-1.938861994707760417e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.284185464224782969e+00	7.708082942330187759e-01	7.650391596962792029e+00	9.089556699691586417e+00	2.916575152001810611e+00	8.835446191325026177e+00	4.439511335024003413e-01	-1.120290389150970434e+01	2.397679148739650490e+00	-1.398431515227259447e-01	8.455900907307615455e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.707238537658107624e+00	6.940890305842947861e+00	9.709317784380148808e+00	2.718847206431151076e+00	4.567146030359245046e+00	7.026938997583626723e+00	1.399006077936763015e+00	-2.722311668131496720e+00	5.015561087170889998e+00	-8.047528482633017899e-02	2.111751812817272089e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.925304740351355459e+00	3.297950870146092228e+00	6.440080257602020630e+00	4.734789823664779185e+00	3.246492379239191095e+00	5.032164081826105750e+00	9.302548463715265559e-01	-2.943464027161950991e+00	8.478960168024448407e+00	6.507060829788444828e-03	-2.166712781788275866e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.185234133194305262e+00	9.043503051936964354e+00	9.582245515672116909e+00	6.705042845320061673e+00	6.951800828225354500e+00	1.068085031451703060e+01	1.754978865700879131e+00	-9.101378681330361431e+00	7.936303931041003068e+00	-8.238575540757436810e-02	-9.835770982159802145e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.778848200772478627e+00	1.039521885625289066e+01	1.155351653604765882e+00	4.066241752686308608e+00	8.865164697964923235e+00	7.503950718526282593e+00	4.665282781157534253e-01	-4.664058649933604528e+00	2.169452788577007851e+00	-9.266033857237274129e-03	-6.629540892768596905e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.366619127823767155e+00	9.316436127256585209e+00	4.666079453147342626e+00	7.887177203327335739e-01	7.858118710391465811e+00	9.532391310623175684e+00	7.084981376224550598e-01	-1.549491866925179595e+00	2.837048885283376176e+00	-1.256634591572233783e-01	1.399271362695147847e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.833918425881662984e+00	5.100112132720772351e+00	3.992800789515933424e+00	4.069817440780129303e+00	8.284794852861727676e+00	6.877379526052493475e+00	1.190645498688726267e+00	-3.873042683609434711e+00	3.724301445610156414e+00	-1.823819920275927542e-01	-2.105980882121033559e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.074933129166125934e+00	8.345710842533714313e+00	7.973111120033188115e+00	9.030556237304478984e+00	4.106243055412300613e+00	3.295251194512268000e+00	2.909177200001765051e+00	-4.338549305297865644e+00	9.502668129406572461e+00	-8.856244112568878446e-02	-5.370085754230167652e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.158021451380236044e+00	8.456417434176572101e+00	9.490658930042938479e+00	7.059056400039802170e+00	3.482574807901907654e+00	2.422529346919321203e+00	3.774838468534687408e+00	-1.184894235975371357e+00	2.667663808224838728e+00	-4.306980404278404895e-01	-1.035886437404987070e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.463656110029602608e+00	3.992317936940330103e+00	2.542657120884839195e+00	6.764599903590294616e+00	7.706818127545378871e+00	6.378818809950391966e+00	8.331947349239967604e-01	-7.175679228477572558e+00	7.266144982940724972e+00	-2.290571436599286581e-01	-4.236461337209344435e+01
