G c dx1dt d2x1dt2 dx2dt d2x2dt2 m2 m1 d1 d2 Fg Fc W
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 7.05432695e+00 6.14796290e+00 4.54271968e+00 6.83431259e+00 1.68328744e+00 1.34919509e+00 1.27339339e+02 4.93734256e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 8.17013257e+00 8.24889096e+00 5.26092093e+00 2.55147726e+00 5.42421205e-01 2.68095275e+00 2.13707801e+02 3.34115693e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 3.25421109e+00 7.84144837e+00 8.69092654e+00 8.85155107e+00 3.27015183e+00 8.48121225e+00 2.48227938e+02 4.54403545e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 6.62386690e+00 2.38509914e+00 4.06003947e+00 6.51804615e+00 3.69845208e+00 7.90091521e+00 1.45400070e+02 1.53372375e+02
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 6.14571385e+00 2.34324523e+00 8.82684716e+00 2.41483495e+00 3.03217361e+00 4.15578422e+00 2.63307754e+02 5.02642368e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.49547339e+00 3.41356931e+00 1.79320988e+00 9.66104252e+00 1.69170696e+00 4.39129565e+00 9.05631266e+01 6.37230636e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 9.15478354e+00 4.24967254e+00 7.99118593e+00 5.66528917e+00 3.55104844e+00 5.80198990e+00 3.19584106e+02 5.45890942e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 1.10941094e+00 4.67610023e+00 8.62792870e+00 1.65608607e+00 1.01855476e+00 1.00216904e+00 1.45703634e+02 1.43168467e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 7.06617927e+00 7.11727495e+00 2.63635888e+00 6.64149614e+00 8.20040789e-01 3.17119902e+00 9.38995182e+01 1.66977187e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.46652219e+00 1.51012389e+00 4.87311879e+00 3.27879016e+00 3.52684837e+00 2.87408628e+00 6.16880906e+01 2.80207349e+02
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 5.93972799e+00 1.31205434e+00 2.48949797e+00 8.23324107e+00 5.20726323e+00 3.25434652e+00 6.22395211e+01 1.60782405e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 3.58869456e+00 4.52719507e+00 7.35943716e+00 8.36039866e+00 4.53023912e+00 8.25315258e+00 2.13285671e+02 1.37857643e+02
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 3.76098940e+00 7.27447323e+00 5.81812991e+00 9.81052620e+00 2.61548908e+00 3.51706471e+00 1.97014256e+02 4.06808218e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 4.17662653e+00 2.74091809e+00 6.71791012e+00 5.51682578e+00 4.50719291e+00 2.72369190e+00 1.02437200e+02 5.91272193e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.59163204e+00 6.77354033e+00 2.76838270e+00 5.09461192e+00 6.94065182e-01 5.53837115e+00 1.35956042e+02 2.11962066e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.00644969e+00 3.33845324e+00 2.90571276e+00 7.78128045e+00 2.25754905e+00 8.79080533e+00 1.10747189e+02 5.62474704e+01
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 7.59429146e+00 8.97477498e+00 1.37347593e+00 2.19223591e+00 1.11831337e-01 3.17214733e+00 6.48020259e+01 3.44978821e+00
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 4.64074647e+00 9.06120950e+00 3.89860782e+00 5.92223962e+00 8.49352753e-01 1.70682619e+00 1.36895019e+02 8.84498429e+01
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.61517880e+00 3.67558484e+00 6.03770195e+00 5.91622840e+00 3.23943221e+00 4.20764262e+00 1.27416080e+02 3.78849190e+01
