G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	d1	d2	Fg	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	6.234901052232936891e+00	4.592857319901242796e+00	6.908610855580282539e+00	1.696412192407326325e+00	1.280440180540806772e+00	1.309090362380083548e+02	5.051085930196729379e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	8.219230797152782486e+00	5.313396052209465203e+00	2.534705637983312609e+00	5.502411995753690999e-01	2.722695913695533321e+00	2.146244992357795809e+02	3.467969050299781486e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	7.787043422693407990e+00	8.605020833891760645e+00	8.809202845015203565e+00	3.283026998716723988e+00	8.406157733092019413e+00	2.482682725714416847e+02	4.513517437252352238e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.317439694105645653e+00	4.077296403842252559e+00	6.576756477255187860e+00	3.679219363818800659e+00	7.884052317078332095e+00	1.467269448300571639e+02	1.529215206113745182e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	2.430020895926468416e+00	8.790158102607891877e+00	2.412057702493533906e+00	3.072174551090177452e+00	4.160768216901385763e+00	2.625298516545226448e+02	5.168086368101865702e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	3.357024163268922390e+00	1.716066368914871187e+00	9.764354014765388001e+00	1.683049194122113512e+00	4.365299618270770843e+00	9.205687458283702540e+01	6.200737188711481451e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	4.248171582493783127e+00	7.968480399979681827e+00	5.618893940574658963e+00	3.548041426454565883e+00	5.792286318678842250e+00	3.210328972557753104e+02	5.472372752961742748e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	4.622868034333623477e+00	8.578279974760222970e+00	1.561887718074810527e+00	9.852099804730939381e-01	9.280862942769828594e-01	1.477322731195556855e+02	1.439313793189013495e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	7.038383757697200593e+00	2.686872911741529979e+00	6.626240915721021807e+00	8.151387843134848543e-01	3.118455976990210488e+00	9.318614032724339324e+01	1.734811622387836394e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	1.494198356835453101e+00	4.901266370577489262e+00	3.321722124135276566e+00	3.540307036409601871e+00	2.900700269981557611e+00	5.970929752554675218e+01	2.807489823140617773e+02
