G	c	dx1dt	d2x1dt2	m1	m2	d1	Fg	Fc	d2	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	1.251800220887048232e+00	7.064330147792238890e+00	6.141816882249848675e+00	4.541019814974282198e+00	5.997756146033877300e+00	6.836778300866514613e+00	-1.568058169707283582e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	1.235911588823220608e+00	8.176577353921857139e+00	8.255822110410710124e+00	5.265228276086735271e+00	6.374683332151258597e+00	2.548767205776064415e+00	-2.501009016093717889e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	1.640580193569602274e+00	3.253124705569705011e+00	7.832950200795565365e+00	8.695556609634298439e+00	3.426288232935408740e+00	8.866185790569041103e+00	-3.494966076330712781e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	1.239064171749001853e+00	6.621676129391878440e+00	2.396632094308385419e+00	4.058483116214253172e+00	8.344769129700617682e+00	6.514948950628724589e+00	-2.497994259698706969e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	1.265401362080794900e+00	6.151287484952616680e+00	2.341005115860546049e+00	8.834068865250703340e+00	9.712967948810904417e+00	2.412467594209704025e+00	-3.305563375230146335e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	1.593551608485000104e+00	8.506205246825429001e+00	3.414362478195523742e+00	1.777252442425731882e+00	5.848790954046176438e+00	9.656283930181439601e+00	-3.696681672553212366e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	1.431750682531640617e+00	9.159946602334814614e+00	4.239366731699734991e+00	7.984477701383476678e+00	1.194781005868351365e+01	5.672240536571023561e+00	-5.430219500022333250e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.598209484185826978e+00	1.121167723198254418e+00	4.675761778083037612e+00	8.622905376039703640e+00	1.435922343454249406e+00	1.654058251855242023e+00	-1.287802297651027175e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	8.828501611075167954e-01	7.061186235977530146e+00	7.118519480518819442e+00	2.631861775505803358e+00	3.815676575265102510e+00	6.637552766808325622e+00	-1.029391009841140203e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.457131430653985316e+00	1.462086541464202361e+00	1.509654569507747679e+00	4.874963589212926607e+00	2.242734816609416981e+00	3.282635839408188705e+00	-8.865857842203698169e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	7.883563533147303071e-01	5.933291805363944071e+00	1.308987266708068642e+00	2.491089169711135920e+00	7.773554411442180623e+00	8.225732254325366810e+00	-6.291887158089545551e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	8.779205867718208323e-01	3.591085976246704892e+00	4.522039182380646949e+00	7.361598663355887417e+00	4.451080528468471798e+00	8.363799123568142591e+00	-1.197681597832603160e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	1.642908964167579366e+00	3.761940007941912523e+00	7.280631149599698482e+00	5.821400120611479601e+00	3.346759061428820292e+00	9.820216621754923381e+00	-3.537344273860034036e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	1.058916645853351213e+00	4.175803961521652674e+00	2.741085894859378147e+00	6.712697674932304182e+00	5.932813699873051405e+00	5.519908001703892175e+00	-1.337774468421160350e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	1.485418422853449272e+00	6.596012860773909914e+00	6.781932727926480275e+00	2.761699566335328981e+00	3.824840835375356463e+00	5.098081946217983607e+00	-2.365794079389507658e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	1.400976195181252937e+00	4.013120747393020160e+00	3.335585518041525699e+00	2.907887041272608108e+00	3.725737214942448361e+00	7.786013385778220552e+00	-1.946839455458878660e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	1.347719287391027310e+00	7.586032476599259944e+00	8.972406675956651867e+00	1.370018363148451934e+00	2.017390560843002056e+00	2.201536344776792387e+00	-1.011195648137992436e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	1.641505020004059290e+00	4.637514836291828146e+00	9.065651999360392566e+00	3.889991910583282753e+00	2.798044824793405105e+00	5.928821176425579154e+00	-2.289255905807600300e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	7.503486669545680332e-01	1.619618545181407576e+00	3.666744579933914672e+00	6.043030919978058080e+00	2.004112700897935806e+00	5.918620106365500178e+00	-5.096358093727518224e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	1.555255622858347841e+00	8.051306534901192080e+00	3.063334118294914088e+00	8.729068010739124972e+00	1.190555637345803675e+01	1.810175079959737143e+00	-2.713165719625763472e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	1.658140563367329845e+00	3.567503930838253901e+00	4.707713693463406734e+00	7.010889895556807083e+00	4.277772427606151062e+00	4.757037479306749361e+00	-3.539670522060310986e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	1.504930400728524242e+00	4.900415645485265870e+00	3.158400806941634276e+00	4.919592868096694716e+00	5.958688098950143619e+00	8.683786056002436027e+00	-1.913753968279316950e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.622631541337138827e+00	9.316691754751460053e+00	9.427337872997981094e+00	1.650546208031688611e+00	7.162014402005715041e+00	7.041546313886547281e+00	9.581515006398303669e+00	8.252087404493979150e+00	8.699912597188085073e+00	-8.519713231112677931e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.302411608476164773e+00	9.733831692950284165e+00	1.468604021385557123e+00	8.482629674552262244e-01	3.990472845278352665e+00	8.444759930248977753e+00	7.480722154201193241e+00	3.746827932004283213e+00	1.891142458951462491e+00	-1.292552735918328040e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.113772272434384369e+00	9.499956335857499212e+00	4.772507415098722561e+00	1.408639065712648408e+00	1.511049983494471727e+00	7.050237127885593758e+00	9.367967907262835681e+00	1.717107678138960702e+00	1.799719481307355817e+00	-1.169150955752612049e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.075621788065570072e+00	5.253048916511689370e+00	3.341199659982228010e+00	1.249250669185669960e+00	4.362183117376857489e+00	8.420156918770645760e+00	5.754385138143895517e+00	3.538371282769158466e+00	3.366442978853183554e+00	-1.422901535190441678e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.803688428827614043e+00	8.748642910171319897e+00	7.581777968431921977e+00	1.581403302261071842e+00	9.504276755586040792e+00	4.573305763445645766e+00	3.331649343422714793e+00	8.004342893776767554e+00	8.869392038198922634e+00	-6.164782129530453858e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.627040366967531959e+00	8.599957175006828436e+00	9.839123263924044238e+00	1.661911745620278769e+00	6.772530035359836553e+00	2.391543393984375765e+00	1.480452966960736694e+00	5.148592555670975734e+00	2.166167655022605221e+00	-4.659445633333107253e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.329754322977696468e+00	3.872362896387803843e+00	3.314613406522834094e+00	1.246613995476713255e+00	7.050937726155884100e+00	7.640102468101190425e+00	7.535784599884196133e+00	6.990183877930318701e+00	7.482093781785086328e+00	-2.260307285675406206e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.409008822833359487e+00	8.458184692161516693e+00	6.890169401421000650e+00	1.552598905859533085e+00	6.689858668082736770e+00	4.246713033608977561e+00	2.098838478157797116e+00	4.413393196839808574e+00	1.916605413864137519e+00	-3.070957728010825463e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.478922446616445896e+00	1.324282059878606033e+00	2.782944191580707383e+00	1.163796052251406810e+00	2.794563087264859469e+00	7.043367334742716146e+00	3.726202441685577238e+00	1.929964523745769656e+00	6.602346153672079332e+00	-8.403960074416278303e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.537255364263748536e+00	6.361878850298415600e+00	6.082556720387852778e+00	1.507069756711430841e+00	4.769043287737186887e+00	3.440716910094059777e+00	5.784096793166036754e+00	5.982700575675626631e+00	4.210254281133550158e+00	-2.833492916109844941e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.582801717226041127e+00	3.072255898416893505e+00	5.179478093207097622e+00	1.441937135258495095e+00	7.755061080367871895e+00	1.728956064994802366e+00	6.087714821436261303e+00	1.207625780598142740e+01	8.111681064284612219e+00	-2.604695512506679620e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.547157694226108049e+00	2.088338512600462771e+00	9.757322949711422666e+00	1.659086599431584430e+00	1.901239786371896390e+00	9.937117134576810784e+00	6.400050445417988954e+00	1.505766137051669951e+00	3.107370892695584086e+00	-1.101509902912876697e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.685423397870591700e+00	1.692488558270120569e+00	6.478634440338962186e+00	1.526281684402483130e+00	3.502627886338488317e+00	2.402058830478068341e+00	2.503172473396394704e+00	3.568074659184819808e+00	6.757115784377589307e+00	-8.267702595142682753e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.277776894087255144e+00	7.273034626496686528e+00	4.156143786919860972e+00	1.348096068212851995e+00	3.487263303962193195e+00	9.888106207463765784e+00	4.417141551272364630e+00	2.143632807795110562e+00	3.122065383972369101e+00	-1.264389658030672337e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.740589597786282194e+00	4.061085451534687252e+00	2.018438384636462413e+00	1.007399962729451204e+00	4.891179244960969008e+00	9.788450731145276862e+00	6.561199848420269376e+00	3.922159656451846388e+00	7.420088467495136619e+00	-1.419624830074995430e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.882505748019443814e+00	7.518742727783450874e+00	2.354848571974814231e+00	1.082836211861986309e+00	9.822092391746808815e+00	8.136398900521959021e+00	9.734595325336401928e+00	1.069724721127479583e+01	8.867243028705280139e+00	-3.765983735417953540e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.157753160362977596e+00	1.586646593389666515e+00	3.032574494717975799e+00	1.205736538983565476e+00	1.605192853270968278e+00	6.940305822170813599e+00	7.551040081956018390e+00	1.673275272166907079e+00	2.133023430978164381e+00	-1.082462810785119558e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.953519569945722623e+00	3.829808677076000922e+00	3.260159268444573044e+00	1.239606551236159593e+00	5.679181568449245709e+00	6.192013647000726984e+00	9.306223726493611181e+00	6.794668705545281462e+00	8.797088704213098964e+00	-2.055052953983342263e+02
