G	c	dx1dt	d2x1dt2	m2	m1	Fg	Fc	d2	d1	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	1.293523500516060132e+01	4.539877103092379684e+00	-7.297022893085249873e-01	1.076196450192319531e+01	-7.254814556370274836e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	2.090223141172742771e+01	5.257968064005016373e+00	-2.894047400140573600e-01	1.365750117352522075e+01	-1.027288139748132778e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	2.797268913326000472e+00	8.685525872437979800e+00	-5.502012682940803368e-01	9.807925622361487683e+00	-5.750288982583178665e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	4.866121911640033382e+00	4.042305032873931836e+00	-2.258019440395926947e-01	2.227094144901526462e+00	-3.055096445213559164e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	4.180341925309258855e+00	8.835122024870853963e+00	-2.140260481265794934e-01	9.158104702419915810e-01	-8.865585859903417187e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	3.697731310556934048e+00	1.787722215460613606e+00	-8.241600392919068430e-01	2.702106546983073176e+00	-2.228354437837781088e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	7.714546074617677718e+00	7.988923319095138531e+00	-3.659272231734397862e-01	1.315594769229657013e+00	-1.028801714174838722e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	6.523436967772158201e-01	8.619946899114850680e+00	-4.883256130163964315e-01	1.180195800525704719e+01	-1.706519401999313743e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	3.165788309447591331e+01	2.641691065202905531e+00	-2.696019010414580919e-01	1.415930495575380554e+01	-4.861470279561429741e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	4.021257039873080141e-01	4.873905667023544552e+00	-5.553407159021370720e-01	6.152014213110811092e+00	-2.687846059090216144e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	5.972049187384495639e+00	2.484964380966560693e+00	-2.387024803919023941e-01	6.341124574925631752e-01	-1.223451234165767065e+00
