G c dx1dt d2x1dt2 d1 d2 Fc m1 p m2 W Fg
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 4.10548345e+00 1.17305498e+02 1.79444978e+01 7.05432695e+00 2.03500608e+01 6.14796290e+00 1.69714849e+03
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 3.56311259e+00 5.43019200e+02 3.40506316e+01 8.17013257e+00 3.33415707e+01 8.24889096e+00 2.09749679e+04
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 9.38211375e+00 1.84598341e+03 7.11909676e+01 3.25421109e+00 1.75012538e+02 7.84144837e+00 3.12625840e+05
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 3.50941958e+00 4.72129952e+02 2.24179138e+01 6.62386690e+00 2.70753192e+01 2.38509914e+00 3.42364403e+04
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 3.68970613e+00 2.05364986e+02 8.87067253e+00 6.14571385e+00 1.15471338e+01 2.34324523e+00 2.43303092e+03
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 8.12322421e+00 3.91504253e+02 1.95278304e+01 8.49547339e+00 1.83889274e+01 3.41356931e+00 5.07002043e+03
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 5.32426504e+00 1.66727879e+02 8.10753796e+00 9.15478354e+00 7.08485387e+00 4.24967254e+00 4.23265606e+02
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 8.22180255e+00 1.82224491e+03 7.23155657e+01 1.10941094e+00 5.21470001e+02 4.67610023e+00 1.78738048e+06
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 2.20424631e+00 9.91737762e+01 1.41292963e+01 7.06617927e+00 1.59965330e+01 7.11727495e+00 1.42879322e+03
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 5.75818050e+00 6.44118247e+02 4.24530679e+01 1.46652219e+00 2.31585001e+02 1.51012389e+00 7.28261343e+05
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 1.97122080e+00 1.38522385e+01 2.33641005e+00 5.93972799e+00 3.14682431e+00 1.31205434e+00 3.93780701e+01
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 1.76612350e+00 4.51392032e+02 1.71829488e+01 3.58869456e+00 3.83046224e+01 4.52719507e+00 3.71580138e+04
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 9.15793708e+00 9.36854023e+00 2.21560938e+03 7.95574916e+01 3.76098940e+00 1.69226729e+02 7.27447323e+00 4.37693161e+05
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 2.25320834e+00 3.72939599e+00 2.66600522e+01 1.08564656e+01 4.17662653e+00 2.07947070e+01 2.74091809e+00 5.88799873e+02
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 5.79178614e+00 6.06388845e+00 3.36702946e+02 1.59869853e+01 6.59163204e+00 1.94027642e+01 6.77354033e+00 2.54278812e+03
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 4.69986042e+00 4.91428625e+00 3.48586024e+02 1.30260066e+01 4.00644969e+00 2.60100739e+01 3.33845324e+00 7.19875021e+03
1.00000000e+00 1.00000000e+00 3.73818019e+00 2.62517811e+00 4.12608994e+00 4.88794301e+00 1.21472774e+02 1.82720117e+01 7.59429146e+00 1.92481543e+01 8.97477498e+00 9.73878333e+02
1.00000000e+00 1.00000000e+00 5.72280788e+00 6.11150707e+00 9.09850011e+00 9.42575163e+00 9.54659602e+02 5.39417658e+01 4.64074647e+00 9.29880848e+01 9.06120950e+00 5.60659058e+04
1.00000000e+00 1.00000000e+00 4.88750517e+00 9.23939468e+00 1.19641057e+00 1.41287497e+00 1.62081051e+02 6.90543371e+00 1.61517880e+00 3.42026961e+01 3.67558484e+00 7.37145747e+03
1.00000000e+00 1.00000000e+00 3.62106226e+00 1.30551381e+00 6.97410718e+00 8.50607106e+00 9.89070693e+01 3.08010129e+01 8.05383858e+00 3.05951132e+01 3.06994379e+00 3.56931574e+03
1.00000000e+00 1.00000000e+00 6.50667605e+00 7.27678241e+00 9.67054991e+00 9.94539666e+00 1.37363390e+03 6.47114743e+01 3.57182492e+00 1.44937617e+02 4.70173575e+00 2.75519972e+05
1.00000000e+00 1.00000000e+00 2.25544475e+00 3.67614107e+00 6.04151365e+00 6.58556241e+00 1.50276605e+02 1.48533721e+01 4.89490192e+00 2.42756605e+01 3.16478427e+00 2.59986330e+03
1.00000000e+00 1.00000000e+00 3.62930184e+00 9.31956576e+00 9.43140216e+00 9.64600443e+00 9.57009577e+02 3.50082616e+01 7.16899495e+00 3.90662980e+01 7.05145459e+00 1.92425630e+04
1.00000000e+00 1.00000000e+00 4.29725659e+00 9.73952421e+00 1.47032091e+00 1.67566975e+00 1.84613058e+02 7.20078289e+00 3.99210541e+00 1.44300456e+01 8.43458216e+00 1.35724370e+03
1.00000000e+00 1.00000000e+00 5.10462986e+00 9.49839840e+00 4.76913987e+00 4.97970169e+00 6.93706802e+02 2.54195339e+01 1.50927091e+00 1.34738085e+02 7.05782918e+00 6.76019831e+04
1.00000000e+00 1.00000000e+00 8.06658365e+00 5.26792795e+00 3.34142012e+00 3.72107603e+00 4.25972739e+02 3.00163711e+01 4.36528942e+00 5.50091748e+01 8.41915403e+00 2.24511258e+04
1.00000000e+00 1.00000000e+00 2.79706404e+00 8.75838386e+00 7.57738868e+00 7.80574132e+00 5.56887160e+02 2.18331583e+01 9.50003724e+00 1.83857455e+01 4.57292946e+00 6.26262426e+03
