G	c	dx1dt	d2x1dt2	d1	d2	Fc	m1	p	m2	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.210991016248676111e+00	2.624562638077771570e+00	3.334793027915063046e+00	4.058344933944790789e+00	1.148098743651603115e+02	1.781769156792481112e+01	7.106298649503079545e+00	2.012430931547096691e+01	6.124989357517968358e+00	2.875121245246666149e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.528116738624142101e+00	5.806088271232606957e+00	3.309248141261048382e+00	3.571751181144958931e+00	5.498572902886830889e+02	3.376357938230403022e+01	8.186361662291679053e+00	3.244446154990776421e+01	8.245926496712144171e+00	2.118978434985594504e+04
1.000000000000000000e+00	1.000000000000000000e+00	7.541044004065486028e+00	8.854216006282836560e+00	9.186598378977404167e+00	9.446993469376977259e+00	1.853904546255342666e+03	7.119244877641160940e+01	3.348450273410354949e+00	1.756506342176400608e+02	7.796751516434254903e+00	3.133590064735310734e+05
1.000000000000000000e+00	1.000000000000000000e+00	6.406815982355979600e+00	7.685438677713366751e+00	3.224155497018159178e+00	3.528377463154724225e+00	4.663045890769773223e+02	2.264597463147730849e+01	6.606178988649634043e+00	2.728886696150381397e+01	2.287762779601304697e+00	3.542252832461319485e+04
1.000000000000000000e+00	1.000000000000000000e+00	2.582001279610963262e+00	8.263623406816156702e+00	3.511601371881222011e+00	3.622680810128578788e+00	2.066332685033124505e+02	8.633363484538907784e+00	6.131483034795215836e+00	1.248086483329571905e+01	2.385673260073510882e+00	2.301751115800055231e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.441575212796904815e+00	6.910603221632432458e+00	7.859177617704199648e+00	8.102453317993703052e+00	3.893157085629007383e+02	1.951565935298271981e+01	8.508000284563257409e+00	1.825604560907670404e+01	3.412167603601613308e+00	5.069199973984733333e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.670831127393346049e+00	7.272440047796314033e+00	4.996165900213232369e+00	5.290996992081063333e+00	1.631880105924629731e+02	7.886025819605778864e+00	9.179953659476240091e+00	6.797366645671869101e+00	4.252264166064915862e+00	-1.145053718429336641e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.826368883295920398e+00	8.633953293374110771e+00	8.093031614259780682e+00	8.224995850578926238e+00	1.823691465977909957e+03	7.238402910674791713e+01	1.121750581077604281e+00	5.224218802112421827e+02	4.622351185096454707e+00	1.788615902688308619e+06
1.000000000000000000e+00	1.000000000000000000e+00	6.375943720600571574e+00	3.350933661010814468e+00	1.602622936417902322e+00	2.284498950132130002e+00	1.049681467786072204e+02	1.394963601763465277e+01	6.996649062512998007e+00	1.730761125946647994e+01	7.107170669414967890e+00	1.283579511151182260e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.391483493138721883e+00	5.404607011014319617e+00	5.389178600223284654e+00	5.749199912650367672e+00	6.464120110412500253e+02	4.221123190362237665e+01	1.483439809221510419e+00	2.315914108107249376e+02	1.569854782405490257e+00	7.272589513059979072e+05
1.000000000000000000e+00	1.000000000000000000e+00	1.281634112819453719e+00	3.029854722622936869e+00	1.255282867199901231e+00	1.965903311872796655e+00	1.222959723200423987e+01	2.114046192665631985e+00	5.919472569095112213e+00	2.630622102207195834e+00	1.312099077786486268e+00	7.766448022928698265e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.828210250693951266e+00	9.847032252937774288e+00	1.629008822859039141e+00	1.873350761971822154e+00	4.540067501371601679e+02	1.734754822596286417e+01	3.557244093066774582e+00	3.886044252930171439e+01	4.528784694097447883e+00	3.498546911513286614e+04
1.000000000000000000e+00	1.000000000000000000e+00	8.460844733964568931e+00	9.524521698706871931e+00	9.186499226574969867e+00	9.421392840609049912e+00	2.213781244054450326e+03	7.952585244601729642e+01	3.762747775571135822e+00	1.690525348171063627e+02	7.285777187179442116e+00	4.372653118953781086e+05
1.000000000000000000e+00	1.000000000000000000e+00	2.924755083898026520e+00	1.370145178570760569e+00	2.287952679640952613e+00	3.764024484611447896e+00	2.875297118223728887e+01	1.071636240206587942e+01	4.124575697091302118e+00	2.120565049084744658e+01	2.673572999582337850e+00	1.494095474258349896e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.559068360324536329e+00	7.347033026278912970e+00	5.763762027779704589e+00	6.182002647766859482e+00	3.437948852201282648e+02	1.607247024204820107e+01	6.530169045040343789e+00	1.922496612962442342e+01	6.807579422115528800e+00	2.106519430993749211e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.695274204028756948e+00	9.299321294276127858e+00	4.745916547032149602e+00	4.943831589529312787e+00	3.380371862809952290e+02	1.289045080626664230e+01	3.864864535942752255e+00	2.708259392482957395e+01	3.270083252599716328e+00	6.483211639233047208e+03
1.000000000000000000e+00	1.000000000000000000e+00	3.822252545867011353e+00	2.589683498175297860e+00	4.176437109285558336e+00	4.768115998432850944e+00	1.255216130388022435e+02	1.864040748476881504e+01	7.688875976243420673e+00	1.876848052943958578e+01	8.923594608798227412e+00	5.591050998503997107e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.724961949429080654e+00	6.127214788451495586e+00	9.061572506112730352e+00	9.475977900405636589e+00	9.468435246293527143e+02	5.362329044513829501e+01	4.670830292684525098e+00	9.331760722088510818e+01	9.004059318140443580e+00	5.406264916278440069e+04
