G c dx1dt d2x1dt2 m2 Fc m1 Fg p d2 W d1
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.35535115e+00 4.47301252e+00 7.05432695e+00 4.05748200e+00 2.10885154e+00 6.14796290e+00 4.54271968e+00 -5.49767746e+00
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.22280919e+00 9.47039969e+00 8.17013257e+00 6.16925331e+00 5.81398260e+00 8.24889096e+00 5.26092093e+00 -7.37475198e+00
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 9.15629122e+00 4.05464039e+01 3.25421109e+00 -6.29023453e+01 -3.35741422e+02 7.84144837e+00 8.69092654e+00 -2.54935247e+01
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 3.24591580e+00 1.23182894e+01 6.62386690e+00 1.18367996e+01 9.26317472e+00 2.38509914e+00 4.06003947e+00 -1.75792088e+00
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 3.44754754e+00 1.42367343e+01 6.14571385e+00 1.81908054e+01 6.13330601e+00 2.34324523e+00 8.82684716e+00 -6.11000051e+00
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 7.83458436e+00 2.71431146e+01 8.49547339e+00 3.21771147e+02 1.78336828e+02 3.41356931e+00 1.79320988e+00 1.86898310e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 5.04765858e+00 1.82485201e+01 9.15478354e+00 2.24274401e+01 4.70750652e+00 4.24967254e+00 7.99118593e+00 -7.26175435e+00
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 7.99039501e+00 3.45295367e+01 1.10941094e+00 -4.00966831e+01 -6.35022343e+02 4.67610023e+00 8.62792870e+00 -1.75018604e+01
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 1.58829542e+00 2.57860720e+00 7.06617927e+00 7.47659154e-01 2.69308898e-01 7.11727495e+00 2.63635888e+00 9.68347585e+00
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 5.38814074e+00 1.45609780e+01 1.46652219e+00 -2.00061780e+01 -1.35480951e+02 1.51012389e+00 4.87311879e+00 -5.13157858e+00
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 1.30252240e+00 1.94784734e+00 5.93972799e+00 5.47121483e-01 3.55513596e-02 1.31205434e+00 2.48949797e+00 1.01268019e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.56387883e+00 7.73260832e+00 3.58869456e+00 5.97232740e+00 6.33033722e+00 4.52719507e+00 7.35943716e+00 -1.36935730e+01
