G	c	dx1dt	d2x1dt2	m2	Fc	m1	Fg	p	d2	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	1.043599003823618698e+00	6.639707853261678672e+00	7.731312870253885805e+00	6.652141137226181833e+00	6.586307273128944040e+00	3.453076512392803998e+00	-6.957929546094915985e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	8.880408975837237762e+00	8.136447807081280459e+00	9.348673729117844999e+00	6.535338167423052624e+00	8.676452110175652876e+00	5.661172443991193681e+00	-7.531965750879206389e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	4.093593158053621295e+01	3.370674699562987264e+00	-6.211243159500453004e+01	-3.379709503407852367e+02	7.912402440127285885e+00	8.919317443746654916e+00	-2.526195670338086785e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	1.333133867180701948e+01	6.877869892360561899e+00	1.353169083391017402e+01	6.065836889284096145e+00	3.095814738290776358e+00	4.398714150835440151e+00	-2.398485008121988393e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	1.213157590822069309e+01	6.964237226525664681e+00	1.546594635394437134e+01	6.688544622698522346e-02	2.183081657332251346e+00	9.347823971043247582e+00	-5.955623600807400386e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	2.506421781038528707e+01	9.186165145897138729e+00	3.215502702722263848e+02	1.760247684059218614e+02	4.567980162530867361e+00	1.891143066153904595e+00	1.878065499740709399e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	1.743273390605774154e+01	9.262097632184838503e+00	2.340291057135011599e+01	1.226791225292909626e+00	3.736465745841033748e+00	7.875587681553455788e+00	-7.090089303752317385e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	3.453470165394332980e+01	1.086948023659565443e+00	-4.460231414694243313e+01	-6.258290979674607115e+02	4.061234810400685014e+00	8.183050574982688730e+00	-1.697909184835589969e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	4.137435604953862089e+00	7.280541219049116108e+00	1.970110213207645344e+00	-5.740232489781104341e+00	6.357439788102428047e+00	2.393258430235467138e+00	9.628847765033237138e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.567004417237655822e+01	1.137262565710179363e+00	-2.273684356065609791e+01	-1.295263739252573316e+02	8.451241919415449777e-01	5.535023503750005069e+00	-4.769860487675521732e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	1.379457709280391242e+00	6.470243840194783935e+00	-1.871419208855627181e+00	-1.501295024600307393e+00	4.245527066398422367e-01	2.029871468384120803e+00	-1.757618954160644620e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	8.289141388022008172e+00	3.478547636479791816e+00	4.465022023767528658e+00	5.145158873633963736e+00	4.643812331997750675e+00	6.348281569343528830e+00	-1.432934662649560487e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	4.218084446855797864e+01	4.026732708527520188e+00	-7.387424941230399611e+01	-3.791377615234682708e+02	7.739545563086296376e+00	5.276351531041059140e+00	-1.991870505859445828e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	1.641253275448019577e+00	5.104075008293650129e+00	-1.992464228454963626e+00	-7.440541789516947446e+00	2.759512559986929237e+00	7.050396067247833187e+00	-8.219547045240632954e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	2.118886517198698982e+01	6.890886936503446414e+00	1.565683914610720535e+02	8.466898610955850302e+01	6.018979588923361490e+00	2.602232495624666075e+00	5.166347346278882924e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	2.408836113664856882e+01	4.131337975056126766e+00	-1.480550701849460609e+02	-1.226073683991389629e+02	3.082621272647124933e+00	3.237348885075464366e+00	-4.374658721335810796e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.586281612802257879e+00	2.494258897854792156e+00	3.865146607157690983e+00	6.178530698978896396e+00	7.314210205170467383e+00	1.192310959269986803e+01	1.088823456519595556e+00	9.433127993239654785e+00	2.759868924313295668e-01	6.304777115362601592e+01
