G	c	dx1dt	d2x1dt2	m2	m1	Fg	Fc	d2	p	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	2.934320597049832280e+00	1.533829396519299504e+00	4.547856830343945944e+00	-1.344621306958573070e+00	-5.763564041767712354e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	3.243994133786985756e+00	6.729238033906468353e-01	5.259864256330250676e+00	-2.930295944913006423e+01	-1.838924849173412923e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	2.207405929940979306e+01	2.410532333828266705e+00	8.686686634731104917e+00	1.197911067220154280e+02	-2.504094898285100790e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	1.167638608731140337e+00	1.006920671070670181e+00	4.059414064345844508e+00	5.371080477097715189e+00	-1.218566501392361801e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	1.317806687406863686e+00	2.872336302107164396e+00	8.824981947965222062e+00	1.878134905822221015e+02	-1.555786858417154406e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	3.144075513614955408e+00	6.515199020539080621e+00	1.803924086139575111e+00	7.664150260757763533e+01	-9.580509598129659521e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	2.350461098066701116e+00	6.628458361150830314e+00	7.984462425424242227e+00	3.710258053978869839e+02	-4.799961533184132101e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	3.368225621040548390e+01	1.812704318741506171e+00	8.628668244926700481e+00	5.965230642453697385e+01	-1.955404744440382370e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	1.593318792010369078e+00	4.983750882100021484e-01	2.636258274058211892e+00	-1.274687980238094909e+01	-1.350799578856340766e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	5.539089734563886758e+00	1.462070466945625480e+00	4.872474655911181785e+00	2.657089626914269864e+00	-9.258508243064281773e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	1.312768540130596406e+00	2.761304220955445587e-01	2.195477993170813935e+00	2.488902079436277948e+00	1.348342963828086205e+01	-8.059933304682823874e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	4.532014761450971818e+00	1.974349550838902179e+00	3.203479399060774613e-01	7.358800374596198957e+00	-4.822100673560195361e+01	-3.740451794835236399e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	7.285646265236402463e+00	1.771774638311319450e+01	2.161694356649459081e+00	5.822919707943311707e+00	6.978036224282176647e+01	-2.167942220616985161e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	2.737138973480741200e+00	1.483838171604798806e+00	1.547826218481578531e+00	6.721251118535853664e+00	-5.467279838702035377e+00	-2.349863892108814767e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	6.599313812512714428e+00	6.772999369976015593e+00	5.950684829903615913e+00	4.393141636086218327e+00	2.770680924672747736e+00	8.221863036970522387e+01	-8.115316371302783161e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	4.008037714705738885e+00	3.336969344863224052e+00	3.907068778780046436e+00	3.543485746234803280e+00	2.889067747019610888e+00	8.836203611650468304e+01	-1.694564681054123723e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	7.598242246203957606e+00	8.964128413732796119e+00	4.870713517405834025e+00	2.202062196620007128e+00	1.375120658763442805e+00	2.833719014188730068e+00	6.358643493052851703e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	4.648281460333716808e+00	9.059518784780649980e+00	1.777426524330508784e+01	3.179270185013754357e+00	3.889524683788411874e+00	5.342565782635369231e+01	-5.713300874344112712e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	1.615297292406683072e+00	3.680383939834062534e+00	2.718767771426113811e+00	4.905202195911672614e-01	6.041247779012819841e+00	-2.281429437990082132e+00	-1.971356155385791453e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	8.055554360207063169e+00	3.072888353071217438e+00	2.659512489997690299e+00	3.855146411834284415e+00	8.729503588561694727e+00	1.240462935378406684e+01	-4.381515221758039980e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.505399196849892540e+00	7.284520605866596554e+00	9.669089179732344164e+00	3.576209901550470693e+00	4.705107863771348597e+00	1.272119388014667507e+01	2.966000502324730004e+00	6.997265515132367497e+00	1.058318810678116648e+02	-3.112090107561133578e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253242561337372329e+00	3.668597595783949394e+00	6.043533249188643985e+00	4.890977974818873086e+00	3.162738892145307013e+00	3.908793998824048987e+00	5.354017764457696060e+00	4.917130733731297276e+00	8.578587753074583588e+01	-2.277531606992906799e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626407571668317065e+00	9.318476576044735893e+00	9.420681499173436890e+00	7.169287551943595460e+00	7.047880862536102242e+00	9.273135685505931036e+00	5.195685542251942124e+00	9.574792856476733505e+00	4.290724623858260998e+02	-3.427657325503747465e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.298853066658552713e+00	9.733725890825573046e+00	1.457152292835720786e+00	3.992785051634235138e+00	8.441495729520559266e+00	3.114824152020642778e+00	6.842967190150899270e-01	7.479984611596942834e+00	1.767014909950583501e+01	-6.975898984691892402e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.096526239001746283e+00	9.501571741828488626e+00	4.771051009279839050e+00	1.504095406126780832e+00	7.055120319412465868e+00	2.230814922688300683e+01	1.868135343777517665e+00	9.372008170121883808e+00	1.185142552161724154e+02	-1.885232897277279385e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.073516490773528176e+00	5.266084145662294880e+00	3.344136851407524258e+00	4.377835658047215972e+00	8.420755879544547184e+00	6.440525214550431699e+00	8.281079981946993795e-01	5.757773686776952893e+00	-2.132986303610826795e+01	-9.571911854475745329e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.793462568920394684e+00	8.755498436258237760e+00	7.588786584276144609e+00	9.492419032250351663e+00	4.573819135496421495e+00	3.646439776840943114e+00	5.419281468316801131e+00	3.332408400199715626e+00	1.487472174008806292e+02	-2.119287958111131243e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.632017114716871831e+00	8.605691083078250259e+00	9.832546754814002199e+00	6.768582456222335786e+00	2.414814636436642292e+00	3.488063214585541694e+00	3.491163228105065297e+00	1.476770305429618402e+00	3.601707243725240204e+01	-1.824071292796895172e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.324857495186838818e+00	3.872067986965213038e+00	3.313296877068082402e+00	7.050426741854222357e+00	7.646849762504678516e+00	3.578546050359629138e+00	1.047839873106756414e+00	7.535137854714042405e+00	-1.714999880863745929e+01	-1.943078793452686170e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.421673679444686034e+00	8.463113443518290424e+00	6.886492078177496090e+00	6.694400557997031598e+00	4.237215343772172460e+00	4.362456362668330812e+00	9.715372302540020044e+00	2.096214632224451702e+00	1.690188646195340425e+02	-5.089365400693940389e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.471540441834883417e+00	1.327609440977102873e+00	2.784519875144303214e+00	2.785375317265117889e+00	7.034968889768403066e+00	7.022699273896042982e+00	8.595949035521073256e-01	3.715442890033265666e+00	-1.985380098762756163e+01	-4.485038242301199851e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.536796530324421095e+00	6.358613694545651285e+00	6.097178301299451597e+00	4.768292263433193234e+00	3.438948771619621425e+00	4.392299548230409023e+00	4.808298166791619366e+00	5.792706382336259452e+00	1.624622912379781496e+02	-3.007877311215019667e+00
