G	c	dx1dt	d2x1dt2	d1	d2	m2	m1	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	6.101435608729842919e+00	9.836085064916787246e+00	4.584952918396552057e+00	1.710829220419291419e+00	1.072702967679594721e+01	5.767241751624598010e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	8.289775197376487270e+00	1.220330916454929415e+01	5.673895120719499197e+00	1.932450220545231856e+00	1.280680886275264641e+01	2.447600072662515231e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	7.750308088049854938e+00	-4.618849822937309568e+01	8.666303221729695139e+00	1.038357714942783616e+01	-2.807566571781829001e+00	-5.183926887866499783e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.262416306849603043e+00	4.066556571502366602e+00	4.083655932766159680e+00	1.331419857186038502e+00	9.534664113438559241e+00	3.071161181426796816e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.904019591426791891e+00	4.339432670983137008e+00	8.841992406615275968e+00	3.986870531255239936e+00	8.599607118540683715e+00	2.243536168656751215e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	3.505416143578832688e+00	9.434127041817145454e+00	1.606036649141084016e+00	1.290710429053880448e+00	9.269324257822109558e+00	8.444940795715901913e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	3.725552343449346715e+00	7.419577347676197476e+00	7.718699825405343162e+00	3.192406965328800972e+00	1.324924181173769178e+01	1.041350707702413501e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	4.684564655834606128e+00	-8.230186937899265587e+00	8.356565108818569954e+00	1.361814405510306791e+01	-5.830881525080195082e+00	-1.987303156061724110e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	6.627279547845912333e+00	8.930195997941435593e+00	2.737354851999948213e+00	7.067990452451902161e-01	1.233368861277774364e+01	7.455422930403816508e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.523878765366553978e+00	-5.026324831581175268e+00	5.081010014986516943e+00	6.126375908329427133e+00	-2.925233999851057920e+00	1.989271823064027700e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	1.310387845039582055e+00	1.594863019295199358e+00	2.710339289951161579e+00	4.460576987504429325e-01	1.062523205006099403e+01	-9.707129097529683293e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	3.544397690935713108e+00	4.637045021296329672e+00	7.062646736938737568e+00	7.255599440708556891e+00	2.669519634846555523e+00	5.714084414066092243e+00	5.256204478736761985e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	3.337822195995070462e+00	7.509314498850707231e+00	-7.415904606907861307e+01	6.118034304564085701e+00	6.499609140788735751e+00	-1.898975448679710576e+00	-9.693691913653010488e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	3.882201533332452215e+00	3.026226067995103186e+00	4.840034356393651649e+00	6.802222788153780009e+00	2.662216366919488486e+00	5.958547039127995326e+00	1.128311420004351646e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	6.573221830108399999e+00	6.335049421970575523e+00	1.748019327511503107e+01	2.787787929541419629e+00	1.914802084876979560e+00	7.800536497356040044e+00	2.840637567665522965e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	4.308070999490610120e+00	3.322600973046923034e+00	1.282334781221926789e+01	1.989697106011614647e+00	1.754160986408985323e+00	3.620601550571105776e+00	7.679642448864534572e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.631354844251960756e+00	2.865177532026740970e+00	3.932581402667221226e+00	7.434454900144245038e+00	9.522449491721626913e+00	1.568689890414830046e+01	1.149253100394183047e+00	8.440198601825130709e-01	1.066874201294080571e+01	1.434487594965165499e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.491247932277187438e+00	5.952469172271389830e+00	8.866600996374156551e+00	4.532495546061613645e+00	9.093646229591890062e+00	9.101489693990457681e+02	3.481356944913212903e+00	3.966709696145906516e+00	1.605426069594679817e-01	1.169112183255799027e+05
1.000000000000000000e+00	1.000000000000000000e+00	5.150025424714101518e+00	9.314586639610324070e+00	1.581783664217808250e+00	2.097264782282805662e+00	3.449169339521568123e+00	8.229418326596128708e+00	6.209713869273178588e+00	3.142776524589238285e+00	2.419881250459271715e+00	2.184771260366619856e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.377200560400079876e+00	1.268887722023712694e+00	7.584514496135152051e+00	7.973498028571880170e+00	3.048237395823287788e+00	7.516806635566912753e+00	8.747482730161559417e+00	5.438263576591152670e+00	9.076163245657991041e+00	2.352435578230504234e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.539768114687381839e+00	7.105799701837401727e+00	9.929243132126847726e+00	3.536965617797189765e+00	4.597245330545580266e+00	-3.142102017390115520e+01	6.708291494756393192e+00	7.851098642079367806e+00	-2.598238586370833048e+00	-1.803284209331230386e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.270140225180890869e+00	3.816022361291512510e+00	5.740064448253211715e+00	4.863708756420903612e+00	2.844378955395618025e+00	1.346080491473517249e+01	5.002056305177980278e+00	3.776358082999731192e+00	4.038144262329158352e+00	3.558984783032454970e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.885214061010276776e+00	9.261782444169366357e+00	9.918279121550986233e+00	6.804808724983163692e+00	7.288152851776914076e+00	3.419758865306632600e+01	9.187604233861266678e+00	7.647270699060707777e+00	5.168412759101311593e+00	8.035677373574501871e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.592056478638474104e+00	9.329795992732128340e+00	1.039236668337261138e+00	4.146873305607630122e+00	8.593729057098746793e+00	1.227896237878093721e+01	7.186893177264799704e+00	2.370271487305612101e+00	6.761983777335824897e+00	1.969864887602969020e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.292970078688797209e+00	8.997417837488288939e+00	4.685075084760834230e+00	1.332557733044679393e+00	6.694379110398878119e+00	-3.130421626613927799e+01	9.176666712653949176e+00	1.131495268819845279e+01	-1.820090815806748363e+00	-1.705182749722889184e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.162091512082872313e+00	5.487410429393106526e+00	3.356543307058430514e+00	4.357150243027771985e+00	8.393750940063252841e+00	1.888920324269178863e+01	5.896456025182697402e+00	3.085762718280371519e+00	5.564993068401139276e+00	1.888501844919526775e+03
1.000000000000000000e+00	1.000000000000000000e+00	2.513284192336831424e+00	8.418864434966957688e+00	8.108582005689591199e+00	9.620315124364333670e+00	4.418654560694969646e+00	1.056192621903988815e+01	3.714017945753603556e+00	1.923510010771010359e+00	1.181917447089390016e+01	2.171066762446326720e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.338857191288317594e+00	8.678657562496809419e+00	1.008364309638879952e+01	7.301399256181527520e+00	1.970663190568578305e+00	1.521839006600691846e+01	1.314692776745994607e+00	1.099534068641902840e+00	3.706316093794707722e+00	1.034240868428422345e+03
