G	c	dx1dt	d2x1dt2	Fc	m1	Fg	m2	W	p	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.633015611544486489e+00	2.681357189359989679e+00	3.265870279217852445e+00	6.883502915097724717e+00	7.231508787855854337e+01	5.891497177301700638e+00	4.550220109965910531e+00	3.564416066534487015e+01	6.814079551759095743e+00	8.322541141623819527e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.452487823713097370e+00	5.527904358124086315e+00	2.971996442030820251e+00	8.392260748119850788e+00	1.866067315409806895e+02	8.726744236557518519e+00	5.020893015393417258e+00	-5.474227133523589828e+02	2.525837854213339728e+00	-1.786099658151845304e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.550733489384989561e+00	8.984575653095609127e+00	9.354434351905439371e+00	3.395833775045566938e+00	1.009569744217972129e+02	7.449507108699926938e+00	8.725658481652667220e+00	-5.607164757765391805e+00	9.362632128181729740e+00	-2.433994366231185147e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.091875979834694199e+00	7.117984703681791814e+00	3.221303593810572075e+00	6.440180517566400198e+00	1.956486583501135783e+02	2.352085719640259587e+00	3.744541858937630696e+00	6.838027890783290097e+00	6.266257324826442598e+00	1.470563667373103289e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.945996089477473934e+00	8.165537630734945651e+00	3.677260128086336177e+00	6.363783397589688917e+00	1.862605804341664282e+02	2.390488152193771310e+00	8.621037229663182089e+00	1.404317013388868851e+01	1.779936190393361706e+00	2.176040042094721016e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.395409592964930390e+00	6.982200811454434941e+00	7.932023989901360927e+00	8.450996843870115072e+00	2.232797401616007278e+02	3.173186806709712648e+00	2.002751949393435371e+00	1.781745584517575809e+00	9.747383886685291543e+00	1.254145861804976780e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.264049034539498795e+00	7.891732529176467281e+00	4.828721417343476929e+00	9.391684546460384198e+00	2.534164566382326313e+02	4.080480978929633906e+00	7.872251898214870813e+00	1.506390918059450001e+01	5.991949707937195946e+00	5.944100505882862429e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.046666025211401063e+00	8.731367637052741770e+00	8.287000979568126979e+00	1.640182284228187459e+00	2.875661512323130609e+01	4.893060465948545712e+00	8.879538353025052899e+00	-2.482496706259909924e+00	1.715895528567869643e+00	-4.205272064694351997e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.333970994926795051e+00	3.285825513648859442e+00	1.347775052721286615e+00	7.106995820470665137e+00	7.710349714713164815e+01	7.509878901444386301e+00	2.594250490505680240e+00	-3.648615140877683984e+02	6.778089970477068071e+00	-5.326204130346248888e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.456162480656893798e+00	5.387291710400706535e+00	5.560782426079446061e+00	1.390430369611932448e+00	2.741260515822082766e+01	9.342152660053810731e-01	4.497633605407895807e+00	-1.637900201502393998e+02	3.483432866541011474e+00	-5.026645150313377997e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.555334045909417817e+00	2.617571943543568480e+00	1.656352898060207579e+00	6.224351410429409093e+00	7.497697887549175277e+01	1.361141250092086974e+00	2.809991103936036794e+00	3.855512881207619369e+00	8.263407659469349298e+00	3.933506050451658353e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.327244847490439028e+00	9.912885195753197820e+00	1.457698896005978018e+00	3.966724956627352139e+00	1.397175140080200890e+02	4.496335685252311087e+00	6.998631350456014033e+00	-2.666474053773428921e+01	8.511708201773684479e+00	-6.856158416901259045e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.295891110047316275e+00	9.525151677548125306e+00	9.477087007477404512e+00	3.521919166899499132e+00	1.365701658324111634e+02	7.303722347703376805e+00	5.653054168117067846e+00	-6.137502001595082746e+00	9.957294688655265347e+00	-2.000698077621111182e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.960001903277911683e+00	1.085415304121849500e+00	2.362983420104185051e+00	4.054025191035004916e+00	1.743881199476239274e+01	2.654647565493339467e+00	6.663130860512387343e+00	1.974877454292218459e+01	4.984106917930214209e+00	9.231677772227840251e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.720998743356403793e+00	7.020074015774738108e+00	6.026992973584919255e+00	6.774448027228070046e+00	1.790846270675549476e+02	6.422079565359219977e+00	3.044290563353245549e+00	-1.008225652024795380e+02	5.125582460016422814e+00	-2.936298753239568882e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.949264061772774781e+00	9.193282224441460926e+00	4.468846752691008284e+00	3.970712747943098808e+00	1.447862347684347810e+02	3.758493804526652049e+00	2.761293224173733130e+00	1.711880071089018074e+01	7.353500855160914895e+00	1.286466869279215253e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.972845223363607570e+00	2.643239723644104533e+00	4.185254500263307698e+00	7.335983586446992888e+00	7.952418306336402054e+01	9.290515376232036715e+00	1.119269053223787225e+00	-7.639534784780539489e+00	2.181853681349573471e+00	-5.937748063914257690e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.749039616649934459e+00	5.984234811326317960e+00	8.709753393656328058e+00	4.787095674819876301e+00	9.674843975718953004e+01	9.032888315279601343e+00	3.943230510861513771e+00	-3.367488345451061349e+00	5.787528661064000879e+00	-7.505948053666008368e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.969611161161159529e+00	8.947085490172344890e+00	1.668870825858804530e+00	1.796930096421543332e+00	5.582667205911262442e+01	3.542594008562870656e+00	5.979009222119977984e+00	-4.228607701735361601e+00	6.197468063978398334e+00	-3.203698163747141781e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.710656510892142101e+00	1.385977139551603621e+00	6.418077333808787976e+00	7.963330798246106568e+00	3.366524141115530711e+01	2.903964222188319066e+00	8.593204772758893384e+00	1.528192418737805269e+01	1.871735686507886465e+00	3.470717618940348803e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.108949178538838787e+00	7.426672413472954482e+00	9.572609113530470282e+00	3.588430114944910265e+00	1.106597141720503714e+02	3.997539829446358439e+00	7.061730916010999337e+00	-2.305339670067795765e+01	4.890560008449950757e+00	-4.305197246353126950e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.213127129983623487e+00	3.709880972404666188e+00	5.784285140534179526e+00	4.738841595751539515e+00	6.721784988161275010e+01	3.261146245671691535e+00	4.588409611521528042e+00	1.310042601959169595e+01	8.627490704946589872e+00	1.126864689675181808e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.696542531451764368e+00	9.162967734006612019e+00	9.617675189162653737e+00	6.872548381433608355e+00	2.468798797451634357e+02	7.263973687197366580e+00	9.105764638385011267e+00	5.848629581873472034e+02	8.991564305943516189e+00	1.955656201088425235e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.421347536537632905e+00	9.904983872275217038e+00	2.001488864278124336e+00	3.857565543570552258e+00	1.416989458983160262e+02	8.472139442108925778e+00	8.059879770050493164e+00	-5.823181342981696318e+00	1.458684093619246447e+00	-8.848656914151655783e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.854482832631550338e+00	9.445398969086925334e+00	4.949950517997478094e+00	1.529282088395813810e+00	5.676593731113465680e+01	7.034315676929743688e+00	9.400066015181343104e+00	-2.528746158355440254e+00	1.572921143543404510e+00	-8.456037638653843835e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.723227333215806567e+00	4.937175057022448854e+00	4.158978953539134160e+00	3.966028832580126728e+00	1.029047039103717793e+02	8.455480681093021644e+00	5.796071147056710338e+00	-8.940406020422631883e+00	3.714120648980520745e+00	-9.007523531118122317e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.733595897171523514e+00	9.046623296913656631e+00	7.196963405449663398e+00	9.385270180800196371e+00	3.236299446521356913e+02	4.340555586661677623e+00	3.115631729233232505e+00	5.962929094698163013e+00	8.754402970096043290e+00	1.951955891669659549e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.160509613492538783e+00	8.699275598440278756e+00	9.472439541866600976e+00	6.799382453547738514e+00	2.213188768295381408e+02	2.270800175089376705e+00	1.721687070132023045e+00	2.494937691854074213e+00	1.576480616654494460e+00	4.517460592571367339e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.110030086504075086e+00	3.838722732518529135e+00	3.062197281604417398e+00	7.366669470227227734e+00	1.082476371856384816e+02	7.596258163032645783e+00	7.388423841034795103e+00	-8.926276702132066987e+01	7.875073635752539047e+00	-1.479588715339945537e+01
