G c dx1dt d2x1dt2 d1 m1 d2 m2 Fg Fc W p
1.00000000e+00 1.00000000e+00 4.37086107e+00 2.66619636e+00 3.27872405e+00 3.35535115e+00 7.05432695e+00 7.21919371e+00 6.14796290e+00 -1.24120573e+01 -1.85195318e+02 2.21123538e+01
1.00000000e+00 1.00000000e+00 9.55642876e+00 5.87710853e+00 3.25208518e+00 3.22280919e+00 8.17013257e+00 8.09658325e+00 8.24889096e+00 -2.42288094e+01 -3.91131297e+02 5.35005096e+01
1.00000000e+00 1.00000000e+00 7.58794548e+00 8.85651252e+00 1.71352899e+00 9.15629122e+00 3.25421109e+00 1.73889701e+01 7.84144837e+00 -2.47634918e+01 -3.91191998e+02 1.21565907e+02
1.00000000e+00 1.00000000e+00 6.38792636e+00 7.59002398e+00 1.68324273e+00 3.24591580e+00 6.62386690e+00 1.27732702e+01 2.38509914e+00 -2.21807486e+01 -2.75196170e+02 2.86960720e+01
1.00000000e+00 1.00000000e+00 2.40416776e+00 8.25905033e+00 5.82189881e-01 3.44754754e+00 6.14571385e+00 3.63930074e+01 2.34324523e+00 -3.89106248e+01 -2.42949906e+02 -1.98160421e+01
1.00000000e+00 1.00000000e+00 2.40395068e+00 6.92905030e+00 6.93875951e-01 7.83458436e+00 8.49547339e+00 9.59227696e+01 3.41356931e+00 -5.22385828e+01 -5.69928504e+02 -5.82548608e+01
1.00000000e+00 1.00000000e+00 1.52275251e+00 7.23048908e+00 4.21203183e-01 5.04765858e+00 9.15478354e+00 1.09710049e+02 4.24967254e+00 -1.02577256e+02 -4.63740104e+02 -9.43373790e+01
1.00000000e+00 1.00000000e+00 8.79558531e+00 8.64276086e+00 2.03536473e+00 7.99039501e+00 1.10941094e+00 4.35530377e+00 4.67610023e+00 -1.51582113e+01 -1.69172357e+02 1.36205098e+02
1.00000000e+00 1.00000000e+00 6.41003511e+00 3.24701208e+00 3.94826687e+00 1.58829542e+00 7.06617927e+00 2.84255866e+00 7.11727495e+00 -1.21144750e+01 -1.79935342e+02 1.75195001e+01
1.00000000e+00 1.00000000e+00 7.37265320e+00 5.40482467e+00 2.72817479e+00 5.38814074e+00 1.46652219e+00 2.89637893e+00 1.51012389e+00 -1.01112880e+01 -1.25464078e+02 7.65534073e+01
1.00000000e+00 1.00000000e+00 1.18526045e+00 2.99088498e+00 7.92581766e-01 1.30252240e+00 5.93972799e+00 9.76130046e+00 1.31205434e+00 -1.45024499e+01 -5.76224987e+01 -6.67364389e+00
1.00000000e+00 1.00000000e+00 9.72918867e+00 9.88901207e+00 1.96767657e+00 1.56387883e+00 3.58869456e+00 2.85223880e+00 4.52719507e+00 -2.35076334e+01 -1.94266197e+02 2.75783056e+01
1.00000000e+00 1.00000000e+00 8.49198377e+00 9.49653406e+00 1.78843854e+00 9.15793708e+00 3.76098940e+00 1.92586457e+01 7.27447323e+00 -2.70164181e+01 -4.72039824e+02 1.36279460e+02
1.00000000e+00 1.00000000e+00 2.91105200e+00 1.35484130e+00 4.29725901e+00 2.25320834e+00 4.17662653e+00 2.18995637e+00 2.74091809e+00 -2.63273966e+00 -4.66908464e+01 1.09284569e+01
1.00000000e+00 1.00000000e+00 2.63642470e+00 7.35017655e+00 7.17377246e-01 5.79178614e+00 6.59163204e+00 5.32179175e+01 6.77354033e+00 -7.01655941e+01 -4.31615667e+02 -2.26787014e+01
1.00000000e+00 1.00000000e+00 2.65064059e+00 9.32723486e+00 5.68365787e-01 4.69986042e+00 4.00644969e+00 3.31296408e+01 3.33845324e+00 -3.88490040e+01 -2.41870875e+02 -8.21435917e+00
