G	c	dx1dt	d2x1dt2	d1	m1	d2	m2	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.210991016248676111e+00	2.624562638077771570e+00	3.268606194857905489e+00	3.312200764817184062e+00	7.027725059243007166e+00	7.135200362038958133e+00	6.200256915683133307e+00	-1.250099856125995323e+01	-1.863532411543757803e+02	2.256511664189791233e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.528116738624142101e+00	5.806088271232606957e+00	3.294626847175653683e+00	3.230716917407143285e+00	8.243022619728066047e+00	7.906446878866204564e+00	8.265220701281096538e+00	-2.458225123655538980e+01	-3.912807132549808102e+02	5.358307594619943615e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541044004065486028e+00	8.854216006282836560e+00	1.728444916806684217e+00	9.215681822758700292e+00	3.338645777343958176e+00	1.738995119504317088e+01	7.936272002522058777e+00	-2.451209552448708706e+01	-3.934448295653539844e+02	1.218477051440247152e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.406815982355979600e+00	7.685438677713366751e+00	1.672533211275054166e+00	3.263269760812408382e+00	6.561771932660087181e+00	1.292433211912712920e+01	2.367301532409678444e+00	-2.209661534485436007e+01	-2.801021624283105211e+02	2.915195400777402313e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.582001279610963262e+00	8.263623406816156702e+00	6.137145207308406514e-01	3.386192864217123955e+00	6.159233000937312852e+00	3.623581969003084424e+01	2.328926158647355749e+00	-3.854275472396425073e+01	-2.408114287296749580e+02	-1.986650049724953959e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.441575212796904815e+00	6.910603221632432458e+00	7.059797325562741088e-01	7.815570779054587192e+00	8.472144784187898736e+00	9.591470779601415586e+01	3.426173893398568815e+00	-5.229093538633118499e+01	-5.699991534566781866e+02	-5.825517614854729942e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.670831127393346049e+00	7.272440047796314033e+00	3.958606214173686078e-01	5.017205158846453017e+00	9.117050609698802432e+00	1.095633247737435596e+02	4.274998758600159654e+00	-1.026905198236298276e+02	-4.636094796598314360e+02	-9.494017453255317207e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.826368883295920398e+00	8.633953293374110771e+00	2.085878210262762877e+00	7.993318142960397665e+00	1.124830382082945501e+00	4.400652256832782605e+00	4.688516398611116465e+00	-1.478319122962648535e+01	-1.718814413159289813e+02	1.366799421632562144e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.375943720600571574e+00	3.350933661010814468e+00	3.955318279416842220e+00	1.661758325144987669e+00	7.127943877044821797e+00	2.723556081305415155e+00	7.047313532622039745e+00	-1.159793817965207374e+01	-1.804446226412798069e+02	1.746368609988149956e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.391483493138721883e+00	5.404607011014319617e+00	2.728685581761696621e+00	5.379919950808191409e+00	1.490972375354800095e+00	2.736192678418872148e+00	1.527146428291989988e+00	-1.010876267153316199e+01	-1.224534938290153860e+02	7.616813038247381940e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.281634112819453719e+00	3.029854722622936869e+00	7.693324269856245401e-01	1.297654795329858501e+00	5.922431581540642753e+00	9.614012077265225997e+00	1.291673299768557603e+00	-1.470582254014916934e+01	-5.762024380531457979e+01	-6.390269780184929971e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.828210250693951266e+00	9.847032252937774288e+00	1.999730851535580500e+00	1.662034182424835471e+00	3.616565928612651692e+00	2.961265435622206343e+00	4.495549554714310503e+00	-2.328865214529464467e+01	-1.941860760282069691e+02	2.674327142684998648e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.460844733964568931e+00	9.524521698706871931e+00	1.802495644068107250e+00	9.206318121588724424e+00	3.741502538265913280e+00	1.923768869791759073e+01	7.276242510600268609e+00	-2.708504688604332600e+01	-4.714700767020207763e+02	1.361150129228929018e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.924755083898026520e+00	1.370145178570760569e+00	4.314358733118798916e+00	2.284907107925468583e+00	4.198935824298813735e+00	2.097155436938937356e+00	2.688544450144594755e+00	-2.470836705258460331e+00	-5.008520491432726374e+01	1.127641419133614775e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.559068360324536329e+00	7.347033026278912970e+00	7.035849401289058225e-01	5.899907344393239050e+00	6.667227971115312180e+00	5.327454063567227394e+01	6.711696156092194165e+00	-7.023564274070675140e+01	-4.299000128754639150e+02	-2.284638460878880295e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.695274204028756948e+00	9.299321294276127858e+00	5.910327027713884185e-01	4.726906090668838267e+00	3.894005239363822479e+00	3.303985195630633598e+01	3.195990008326577758e+00	-3.842645402681198874e+01	-2.453168908478863557e+02	-8.489381894715034349e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.822252545867011353e+00	2.589683498175297860e+00	2.872722838818412505e+00	4.016400833572204121e+00	7.637449720043399282e+00	1.124659536127095549e+01	9.069946087027624060e+00	-2.039658351638475153e+01	-2.574892248314239396e+02	1.968613503414510646e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.724961949429080654e+00	6.127214788451495586e+00	1.854623364759427906e+00	9.144477011601253480e+00	4.557431649023190978e+00	2.233490961104216765e+01	9.091479895432806657e+00	-2.548543450709510694e+01	-4.048483479998716348e+02	8.082210938329538408e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.851384282895312872e+00	9.274383542222876642e+00	1.019463757587294905e+00	1.108505410590496787e+00	1.681672790481144375e+00	1.786031281471276433e+00	3.669224759142921233e+00	-2.054666470687728008e+01	-8.312968241746050069e+01	1.014248095736409994e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.640553659815466858e+00	1.298439545590591271e+00	5.563135575101543218e+00	6.999065341372524784e+00	8.019353992153035904e+00	9.820991658899087540e+00	3.033600487889339892e+00	-4.074202052755718562e+00	-1.408333652323703120e+02	4.033499771241882570e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.529270222641955890e+00	7.292763572306649067e+00	1.745582627651101948e+00	9.575922961633471786e+00	3.505907796827847367e+00	1.923972213142335974e+01	4.545079769920306489e+00	-1.935386765683594845e+01	-3.545909782152361913e+02	1.064270894393807652e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.259836504897848375e+00	3.674031817404701084e+00	1.231202991178000028e+00	6.015735521065515456e+00	4.932539453510807803e+00	2.373632158624824484e+01	3.125101681653103203e+00	-1.661256131432758565e+01	-1.730874066140541743e+02	3.049528983431760487e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.638974454722910146e+00	9.325046916216292558e+00	7.667024144876168901e-01	9.411315245936776819e+00	7.188708842721165837e+00	8.697313459666148105e+01	7.090447456441228979e+00	-7.624477575762610115e+01	-8.061005391984595008e+02	-1.834727008758870781e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.287849193239611445e+00	9.728373143427681669e+00	9.155542241336813714e-01	1.427797616494363764e+00	3.938015671696394993e+00	6.817701739341202050e+00	8.485901903473246577e+00	-4.905146809150554077e+01	-1.851314650728569120e+02	6.235343875377303391e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.158534018016354139e+00	9.499398242581916563e+00	1.064164477657574048e+00	4.749877478342283688e+00	1.441441329008864791e+00	6.866599280406250116e+00	7.092814490277418393e+00	-2.187861661432982885e+01	-1.392999099180522364e+02	4.197270371279241630e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.106430554127307175e+00	5.418024142715523794e+00	3.092616641964168078e+00	3.398434580081904244e+00	4.355140343220554655e+00	4.769075711770181414e+00	8.427781557312552962e+00	-1.407939423360808107e+01	-2.078562010565294997e+02	4.862325022598876956e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.743855460085240949e+00	8.775720561402076569e+00	6.247431478753378009e-01	7.537966688066707555e+00	9.434855492884919315e+00	1.125126612403958148e+02	4.643950805451003028e+00	-8.071734648827415981e+01	-7.871983317281783457e+02	-7.009389833521910873e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.573413664035019366e+00	8.636843464824751848e+00	1.335894064578775131e+00	9.861774589741296282e+00	6.718148062888829486e+00	5.072800077766654425e+01	2.388957488670512497e+00	-2.700492330673062824e+01	-6.808197318198243693e+02	5.995711179929656964e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.317963590584652067e+00	3.896272195370705127e+00	3.326593496327770350e+00	3.255450751852094982e+00	7.049571327460518511e+00	7.456959032298281720e+00	7.700668204912163084e+00	-1.728533859348322466e+01	-2.565467196098600766e+02	3.485371802135996688e+01
