G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	p	d2	m1	W	d1	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	1.920171962455870229e+01	6.221693446417200235e+00	4.562390254412920676e+00	-3.719324207064548915e+01	6.939663699725011625e+00	1.062533505686151791e+01	-5.327948585219918698e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	4.797189590686012650e+01	8.248907571244490811e+00	5.262822518692792606e+00	-9.750820690001040703e+01	2.467378129703412082e+00	5.576462931630237208e+00	-6.589359165499699600e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	2.850973094421687648e+01	7.844756635118780963e+00	8.674265658052847883e+00	-1.310201044371814305e+02	8.926109144494443370e+00	1.739668293943626409e+01	-3.059847565314127564e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	4.979750436469941377e+01	2.343291281945850013e+00	4.124370638585022952e+00	-5.016317567768867747e+01	6.425361481404013198e+00	2.585249475627893201e+00	-4.290280339644699126e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	5.052552199162371238e+01	2.313686773542334318e+00	8.777265874948964708e+00	-4.126375273859306958e+01	2.342637636861281791e+00	6.576328403637669240e+00	-1.111948919369469024e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	5.874220898459470419e+01	3.391327423735940982e+00	1.808291505854332737e+00	-8.436338725231420810e+00	9.569812273115873680e+00	3.684383231155723415e+00	-4.832665135907302556e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	6.644018730612646095e+01	4.328268733768231513e+00	8.070991437278022929e+00	-2.428430502171714878e+01	5.678907800006099293e+00	1.028403485350859903e+01	-1.428564201570725913e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	9.251264303583836224e+00	4.672185465739331356e+00	8.589162155704006096e+00	-1.514273761069740942e+02	1.592239442073297706e+00	1.590925755275321229e+01	-2.713033829323877626e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	2.341127945290386592e+01	7.045256877862809297e+00	2.620071179399379613e+00	-2.908095493322346670e+01	6.568149878462754998e+00	2.160161287808782138e+00	-1.224059559261380592e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	7.524130388214548937e+00	1.524032907983170038e+00	5.001786429343178852e+00	-7.123399723767099090e+01	3.289820270534169921e+00	8.781472246603769349e+00	-9.414885696040668961e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.846626626277820549e+01	1.357061932616718147e+00	2.515523919648419149e+00	-4.117195271961618275e+00	8.257816655068420886e+00	-2.476836841569146908e-01	7.170321937606749518e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	3.600761468775728957e+01	4.525810925951586405e+00	7.331666253237824726e+00	-1.409335059660923832e+02	8.362566374299369443e+00	1.428142301698753114e+00	-3.169569607885255635e+01
