G	c	dx1dt	d2x1dt2	dx2dt	Fc	p	d2	m1	Fg	m2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	5.840926049236864870e+00	6.197741998112785033e+00	4.617651703360382776e+00	6.862546826925711052e+00	1.280440180540806772e+00	5.145250382960141700e+00	1.893391785132315652e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	6.622489935765873525e+00	8.300990824734173046e+00	5.244006247497916995e+00	2.568299792932164038e+00	2.722695913695533321e+00	1.565494399959947280e+01	9.871199672197122910e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	1.357357378718438756e+00	7.756156988490354287e+00	8.648217088318348900e+00	8.879248397364710499e+00	8.406157733092019413e+00	2.745738106385233834e+01	2.416466040618477085e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.741766687097680677e+00	2.402232666918127535e+00	4.119250591269417505e+00	6.476672335962805782e+00	7.884052317078332095e+00	1.550139487969280694e+01	3.677217600109856099e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	9.530117168930215543e-01	2.306818541564230607e+00	8.824046222812480522e+00	2.500885795984800541e+00	4.160768216901385763e+00	4.167671343020532326e+00	4.776155937003909724e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	1.435569009632782445e+00	3.336977463741672700e+00	1.897402612881378126e+00	9.642417756236294935e+00	4.365299618270770843e+00	1.901024752608721613e+01	3.621849299088650276e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	9.629937973361767378e-01	4.227129380632895561e+00	7.944394953279910965e+00	5.658820420705101384e+00	5.792286318678842250e+00	1.143304970052005132e+01	1.244831349024906053e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	5.286159592965833376e-01	4.626806550246552519e+00	8.532926844279144163e+00	1.584354095469742374e+00	9.280862942769828594e-01	2.395951794752888109e+00	2.640533505089752153e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	6.921588782058979206e+00	7.167427748318527136e+00	2.620973529977190797e+00	6.630950846844393176e+00	3.118455976990210488e+00	1.918838634923064390e+01	1.029211958288495765e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	9.894925717778090268e-01	1.538070183003903635e+00	4.916416960076603004e+00	3.307742719585100133e+00	2.900700269981557611e+00	2.904273404259738456e+00	4.196300450800122817e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.224291956056415387e+00	3.067595960053769222e+00	1.219563749142297704e+00	5.948168448427922250e+00	1.142482865691688554e+00	1.249281290209836914e+00	2.438633233223190366e+00	8.274719966402294347e+00	3.255931391738414504e+00	3.126339876550329855e+00	1.058142649385690026e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.743061752210381954e+00	9.905355881031118415e+00	1.560414075074733509e+00	3.582416600697275300e+00	1.739942378493857023e+00	4.487747112332410637e+00	7.286465453463526032e+00	8.445364792858804037e+00	8.216269161014489342e+00	1.815457851123903410e+01	4.460444735363345292e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.565783089715310439e+00	9.529520837028274016e+00	9.191073419462675531e+00	3.793170102451334014e+00	1.755263653523275069e+00	7.253736839558181160e+00	5.830689280303327671e+00	9.838825831493128504e+00	3.587798829057075256e+00	1.529727142046806598e+01	7.251000030738061208e-02
